"﻿Province",City,Name,URL,Direct Link,Licence,Attribution Statement,License name,Include,Last Updated,Update Frequency,Notes,localfile,date_format
AB,Banff,Business Licences,https://maps.banff.ca/opendata/,https://maps.banff.ca/opendata/,https://banff.ca/881/Open-Data,Contains information licensed under the Open Government Licence - Banff'.,,y,2018-01-05 00:00,,,AB_Banff_Business_Licences.csv,%Y%m%d
AB,Calgary,,https://data.calgary.ca/Business-and-Economic-Activity/Calgary-Business-Licences/vdjc-pybd,,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary.,Open Government Licence -  City of Calgary,y,,,,AB_Calgary_Business_Licences.csv,%Y-%m-%d
AB,Chestermere,Businesses,https://data-chestermere.opendata.arcgis.com/datasets/businesses-2/explore?location=51.036600%2C-113.824000%2C13.01&showTable=true,,https://www.chestermere.ca/DocumentCenter/View/13563/OPEN-DATA-LICENCE,Contains information licensed under the Open Data License – City of Chestermere.,Open Government Licence -  City of Calgary,y,2021-01-26 00:00,,,AB_Chestermere_Businesses.csv,%Y-%m-%d
AB,Edmonton,City of Edmonton - Business Licenses,https://data.edmonton.ca/Sustainable-Development/City-of-Edmonton-Business-Licenses/qhi4-bdpu,,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information licensed under the Open Government Licence – City of Edmon,,y,2021-11-16 00:00,,,AB_Edmonton_Business_Licences.csv,"mmm %d, %Y"
AB,Medicine Hat,,,,,,,,,,,,
AB,Grand Prairie,,,,,,,,,,,,
AB,Airdrie,,,,,,,,,,,,
AB,Lethbridge,,,,,,,,,,,,
AB,Red Deer,,,,,,,,,,,,
AB,St Albert,,,,,,,,,,,,
AB,Strathcona County,Business Directory,https://data.strathcona.ca/Business-Economy/Business-Directory/mbdk-4nqc/data,,https://open.canada.ca/en/open-government-licence-canada,Contains information licensed under the Open Government Licence – Canada.,Open Government Licence - Canada,y,2021-11-13 00:00,,,AB_Strathcona_Business_Directory.csv,N/A
all,,Indigenous Business Directory,https://www.sac-isc.gc.ca/rea-ibd,,Unknown,"This material has been reproduced from the Indigenous Business Directory, available at https://www.sac-isc.gc.ca/REA-IBD/eng/results",Custom,y,,,,Indigenous_Business_Directory.csv,N/A
BC,New Westminster,,https://opendata.newwestcity.ca/datasets/newwestcity::business-licenses-childcare/explore,,https://opendata.newwestcity.ca/pages/terms-of-use,Contains information licenced under the Open Government Licence - City of New Westminster.,Open Government Licence,y,,,,BC_New_Westminster_Business_Licences_(Childcare).csv,%Y
BC,Abbotsford,,,,,,,,,,,,
BC,Burnaby,Business Licences,https://data.burnaby.ca/datasets/business-licences/explore,https://data.burnaby.ca/pages/open-government-licence,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence – British Columbia.,,y,2021-09-14 00:00,,,BC_Burnaby_Business_Licences.csv,%Y-%m-%d
BC,Courtenay,,,,,,,,,,,,
BC,Chilliwack,Business Licenses,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=142,,https://www.chilliwack.com/main/page.cfm?id=2391,,,maybe - city assumes no liability,,,,BC_Chilliwack_Business_Licences.csv,N/A
BC,Delta,Business Licences,https://www.delta.ca/your-government/municipal-information/open-data-catalogue,,https://www.delta.ca/your-government/municipal-information/open-data/open-data-government-license,Contains information licensed under the Open Government Licence – Delta.,Open Government Licence - Delta,y,,,,,
BC,Kamloops,,,,,,,,,,,,
BC,Kamloops,,,,,,,,,,,,
BC,Kelowna,Business Licence,https://opendata.kelowna.ca/datasets/business-licence/explore?location=49.899750%2C-119.458400%2C11.15,https://opendata.arcgis.com/datasets/f2c521d63ecc46e3a704f38ad79fbbbc_8.geojson,http://apps.kelowna.ca/images/opendata/opengovernmentlicence.pdf,Contains information licensed under the Open Government Licence – City of Kelowna,Open Government License of Kelowna,y,2021-08-11 00:00,,,BC_Kelowna_Business_Licence.csv,N/A
BC,Langley,Business Licenses,https://data-tol.opendata.arcgis.com/datasets/business-licenses/explore?location=49.097898%2C-122.569883%2C11.00,,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,Contains information licensed under the Open Government License – Township of Langley.,Open Government License – Township of Langley,y,2021-11-17 00:00,Weekly,,BC_Langley_Business_Licences.csv,N/A
BC,Maple Ridge,,https://opengov.mapleridge.ca/datasets/business-licences/data,https://opengov.mapleridge.ca/datasets/business-licences/explore?location=49.235000%2C-122.545000%2C11.76&showTable=true,https://opengov.mapleridge.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence – Maple Ridge,Open Government Licence - Maple Ridge,y,2021-08-10 00:00,,,BC_Maple_Ridge_Business_Licences.csv,%Y-%m-%d
BC,Nanaimo,Business Licenses,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/BusinessLicences,,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Contains information licenced under the Open Government Licence – Nanaimo,Open Government Licence – Nanaimo,y,,,,BC_Nanaimo_Business_Licences.csv,%Y-%m-%dTHH:MM:SS.ms...Z
BC,New Westminster,Business Licenses (Active - Resident),https://opendata.newwestcity.ca/datasets/business-licenses-residents/explore,,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,y,2021-11-04 00:00,,,BC_New_Westminster_Business_Licences_(Residents).csv,%Y
BC,New Westminster,Business Licenses (All),http://opendata.newwestcity.ca/datasets/business-licenses-all,,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,Open Government Licence - City of New Westminster,y,2021-11-04 00:00,,,BC_New_Westminster_Business_Licences.csv,%Y
BC,New Westminster,Business Licenses (New this Year),https://opendata.newwestcity.ca/datasets/business-licenses-new-this-year/explore,,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,y,2021-11-04 00:00,,,BC_New_Westminster_Business_Licences_(New_this_Year).csv,%Y
BC,New Westminster,Business Licenses (Inter-Municipal),https://opendata.newwestcity.ca/datasets/business-licenses-intermunicipal/explore,,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,y,2021-11-04 00:00,,,BC_New_Westminster_Business_Licences_(Intermunicipal).csv,%Y
BC,New Westminster,Business Licenses (Non-Residents),https://opendata.newwestcity.ca/datasets/business-licenses-nonresidents/explore,,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,y,2021-11-04 00:00,,,BC_New_Westminster_Business_Licences_(Nonresidents).csv,%Y
BC,Penticton,,https://www.penticton.ca/business-building/business-economic-development/business-directory,,,,,maybe,,,,,
BC,Port Moody,Business Directory,https://data.portmoody.ca/datasets/16ebf34b002d41b4b207d167f75ef08f_0/explore?location=49.289213%2C-122.854153%2C13.83,,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,Contains information licensed under the Open Government Licence – Port Moody.,version 2.0 of the Open Government Licence – British Columbia,y,2021-11-17 00:00,,,BC_Port_Moody_Business_Directory.csv,N/A
BC,Port Moody,Business Licenses,https://data.portmoody.ca/datasets/b82634bcf4b247cebaa3096a487ba6f8_0/explore,,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,Contains information licensed under the Open Government Licence – Port Moody.,,y,2021-11-11 00:00,,,,
BC,Prince George,Business License,https://data-cityofpg.opendata.arcgis.com/datasets/business-license-1/explore,,https://pgmapinfo.princegeorge.ca/opendata/CityofPrinceGeorge_Open_Government_License_Open_Data.pdf,Contains information licensed under the Open Government License – City of Prince George.,Open Government Licence – Nanaimo,y,2021-11-17 00:00,,,BC_Prince_George_Business_Licence.csv,%Y/%m/%d HH:MM:SS+TZ
BC,Richmond,Business Directory,https://www.richmond.ca/busdev/directory/search/bddownload.aspx,,,,,y,,,,BC_Richmond_Based_Businesses.csv,N/A
BC,Squamish,Business License Annual 2021,https://data.squamish.ca/datasets/squamish::business-licence-annual-2021/,,https://squamish.ca/discover-squamish/maps-and-data/open-data/,Contains information licensed under the Open Government Licence - Squamish,,y,2021-11-15 00:00,,,BC_Squamish_Business_Licence_Annual_2021.csv,%Y-%m-%d
