BUSINESS_NAME,CEASED_DATE,LICENSE_NUMBER,RESIDENT,UNIT,STREET_NUMBER,STREET_NAME,ROLL_NUMBER,dSHORTLEGAL_1,dSHORTLEGAL_2,dSHORTLEGAL_3,dSHORTLEGAL_4,dSHORTLEGAL_5,dLONGLEGAL_1,dLONGLEGAL_2,dLONGLEGAL_3,dLONGLEGAL_4,dLONGLEGAL_5,dLONGLEGAL_6,APPROVAL_DATE,TEMPORARY_LICENSE,APPLICATION_DATE,HOME_OCCUPATION,DATE_EXPIRED,ACTIVE,BUSINESS_NUMBER,PROPOSED_BUSINESS,OFF_STREET_STALLS,START_DATE,DATE_ISSUED
AARDVARK PIZZA,19000101,0000001,1,           ,202,BANFF AVE,000135,                     ,                     ,1&2,7,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
ELK + AVENUE HOTEL,19000101,0000002,1,           ,333,BANFF AVE,000255,                     ,                     ,                     ,13,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
THE ABOMINABLE SKI SHOP (BANFF) LTD.,19000101,0000005,1,           ,229,BANFF AVE,000127,                     ,                     ,15,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL,0,20040101,20170101
EARLS RESTAURANT (BANFF) LTD.,19000101,0000007,1,           ,229,BANFF AVE,000127,                     ,                     ,15,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
ACTION PARTS (CANMORE) LTD.,19000101,0000009,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,SERVICE SECTOR,0,20040101,20170101
CANADA COACH LINES INC.,19000101,0000013,1,           ,101,OWL ST,000690,                     ,                     ,1,60,3939JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,TOUR COMPANIES,0,20040101,20170101
RE/MAX ALPINE REALTY,19000101,0000019,1,           ,229,BEAR ST,000114,                     ,                     ,14&15,5,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,AGENCY OR SALES BUSINESS,0,20040101,20170101
ATHENA PIZZA & SPAGHETTI HOUSE,19000101,0000038,1,           ,108,BANFF AVE,000022,                     ,                     ,"4,5,6-1",2,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
AVIS BUDGET GROUP,19000101,0000039,1,           ,317,BANFF AVE,000225,                     ,                     ,1~3,11,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PUBLIC VEHICLE OPERATIONS - VEHICLE RENT,0,20040101,20170101
BANFF PHOTOGRAPHY FOTOSOURCE,19000101,0000048,1,           ,101,BANFF AVE,000001,                     ,                     ,1,1,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
