TRADE_NAME,LICENSE_DESCRIPTION,GISLINK,ADDRESS,PHONE
0763636 BC LTD (INC NO 0763636),DEVELOPMENT,,BUSINESS-NON RESIDENT,604-813-8825
0861640 BC LTD (DBA) KELBY HOMES,RESIDENTIAL BUILDING & DEVELOPMENT,993.46339,"46339 HOPE RIVER RD, CHILLIWACK BC  V2P 3P4",604-798-9197
0868289 BC LTD,PROPERTY MANAGEMENT & BUILDING MAINTENANCE,793.44687,"44687 CHALMER PLACE, CHILLIWACK BC  V2R 0H8",604-795-6620
0901819 BC LTD,RESIDENTAL BUILDING & DEVELOPMENT,NW879,"520-45715 HOCKING AVE, CHILLIWACK BC  V2P 6Z6",604-393-7880
0975297 BC LTD,4-PLEX RENTAL ACCOMMODATION,4659.08814,"8814 BROADWAY, CHILLIWACK BC  V2P 5W1",
0980040 BC LTD (DBA) SARDIS ANIMAL HOSPITAL,VETERINARY OFFICE,4569.07236,"A-7236 VEDDER RD, CHILLIWACK BC  V2R 5K7",604-858-4415
0983238 BC LTD (DBA) TAIL BLAZERS),PET AND PET SUPPLIES STORE,762.453,"104-45300 LUCKAKUCK WAY, CHILLIWACK BC  V2R 3C7",604-824-6566
0998330 BC LTD,SUPERSTORE GAS STATION,780.45779,"45779 LUCKAKUCK WAY, CHILLIWACK BC  V2R 4E8",604-824-2368
1 - CALL CLEANING SERVICES INC,COMMERCIAL CLEANING - JANITORIAL - OFFICE ONLY,4423.08603,"8603 SUNBURST PL, CHILLIWACK BC  V2R 3J1",604-795-3829
1056728 BC LTD,BUSINESS ANALYTICS,4582.06836,"6836 SHEFFIELD WAY, CHILLIWACK BC  V2R 5T1",778-986-4903
1060401 BC LTD (DBA) THE FUZZY PICKLE GOURMET GRILL,FOOD TRUCK,793.4399,"43990 PROGRESS WAY, CHILLIWACK BC  V2R 0C3",
1064507 BC LTD,PROPERTY MANAGEMENT,,BUSINESS-NON RESIDENT,604-858-8117
1110507 BC LTD (DBA) MARSHALLS FARM,MUSHROOM FARM,444.43025,"43025 VEDDER MTN RD, CHILLIWACK BC  V2R 5J8",604-789-6666
1137200 BC LTD,RESIDENTIAL BUILDER & DEVELOPER,5010.07312,"7312 MOUNT THURSTON DR, CHILLIWACK BC  V4Z 0A3",778-955-8795
"1179465 BC LTD (DBA) PRODUCE GONE WILD 'PGW' SOUTH PROCEE, TERA",RETAIL PRODUCE STORE,4531.05817,"2-7481 VEDDER RD, CHILLIWACK BC  V2R 4E7",604-392-9453
1193094 BC LTD,DISPATCH OF STREET SWEEPER & TWO FLAT DECK TRUCKS,,BUSINESS-NON RESIDENT,604-858-7992
1196683 BC LTD (DBA) SMOOTH EFFECTS CHILLIWACK,LASER HAIR REMOVAL,762.453,"109-45300 LUCKAKUCK WAY, CHILLIWACK BC  V2R 3C7",778-220-5898
1197643  BC LTD DBA QUESADA BURRITOS & TACOS,MEXICAN RESTAURANT,819.44046,"2-44046 PROGRESS WAY, CHILLIWACK BC  V2R 0L2",778-552-9070
1199472 BC LTD (DBA) 4ELEM TECHNOLOGIES,"FABRICATION, MANUFACTURING & REBUILDER",EPS6279,"107-43815 PROGRESS WAY, CHILLIWACK BC  V2R 0E6",604-991-0657
1206609 BC LTD (DBA) FRESHCO,SUPERMARKET,200.45858,"45858 YALE RD, CHILLIWACK BC  V2P 2N8",778-861-5835
1216662 BC LTD (DBA) YARROW SUPERMARKET,SUPERMARKET,440.42231,"42231 YARROW CENTRAL RD, CHILLIWACK BC  V2R 5E3",604-543-3986
1223464 BC LTD (DBA) MERTIN CHEVROLET BUICK GMC CADILLAC,"NEW & USED VEHICLES - SALES & SERVICE, BODY SHOP",841.4586,"45860 AIRPORT RD, CHILLIWACK BC  V2P 6K2",250-860-7700
1223464 BC LTD (DBA) MERTIN CHEVROLET BUICK GMC CADILLAC,AUTOMOTIVE STORAGE & SERVICE,4597.08287,"8287 YOUNG RD, CHILLIWACK BC  V2P 4N8",250-860-7700
1223465 BC LTD (DBA) MERTIN NISSAN,AUTOMOTIVE RETAIL AND SERVICE,4597.08287,"8287 YOUNG RD, CHILLIWACK BC  V2P 4N8",250-860-7700
1227573 BC LTD DBA TKY CONTRACTING,CONSTRUCTION - OFFICE USE ONLY,4554.0616,"6160 MILLER DR, CHILLIWACK BC  V2R 3W7",
1229352 BC LTD (DBA) VEDDER RIVER BOATS LTD,MARINE BOAT SALES & SERVICE,788.44395,"44395 YALE RD, CHILLIWACK BC  V2R 4H2",604-792-3662
1236318 BC LTD,HVAC & PLUMBING CONTRACTOR TQ# LGA0209006,,BUSINESS-NON RESIDENT,604-218-6044
1250597 BC LTD,"RETAIL BELL CELL PHONES, INTERNET & BELL TV SERVICES",I.R.7,"402-8249 EAGLE LANDING PKY, CHILLIWACK BC  V2R 0P9",
1251850 BC LTD (DBA) FOURSQUARE CREATIVE,ARCHITECTURAL DRAFTING - DAY TRADING - DRONE PHOTOGRAPHY,LMS2815,"12-8465 HARVARD PL, CHILLIWACK BC  V2P 7Z5",
1257699 BC LTD,BOOKKEEPING & PAYROLL SERVICE - HOME OFFICE USE,4643.10074,"10074 KILLARNEY DR, CHILLIWACK BC  V2P 5P8",604-788-5505
1258500 BC LTD DBA KUMON,AFTER SCHOOL MATH AND READING PROGRAM,4569.0664,"110A-6640 VEDDER RD, CHILLIWACK BC  V2R 0J2",604-997-7865
1261953 BC LTD,AIR CONDITIONING CONTRACTOR,EPS5899,"7-5480 PEBBLE LANE, CHILLIWACK BC  V2R 6B8",604-791-2102
1264373 BC LTD,BICYCLE RACK SALES,650.42523,"42523 PETERS RD, CHILLIWACK BC  V2R 4K3",
1265645 BC LTD (DBA) CHICKEN ON TIRES,FOOD TRUCK - FVA 2022 - UPPER VEDDER PARK,537.4545,"PARK-45450 PETAWAWA RD, CHILLIWACK BC",604-991-9678
