NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
SUBWAY STORE #7935,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,,,4065141,3001 PANDOSY ST
ART OF YARN,RETAIL - YARN,7205,7205 - Retail,,,4082239,3003 PANDOSY ST
CHAO,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,,,4080847,B-3009 PANDOSY ST
MAESTRO,Catering,7100,7100 - Restaurant - Catering or Meal Prep,,,4088279,3005 PANDOSY ST
ZABB RESTAURANT LTD,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,,,4073395,3005 PANDOSY ST
1231 SUTHERLAND INVESTMENTS LTD,RENTAL PROPERTY,7310,7310 - Apartment,,,4085736,1231 SUTHERLAND AVE
HALLOWEEN ALLEY,halloween,7205,7205 - Retail,,,4088786,1473 WATER ST
VERTICE PROPERTIES GP LTD,Property Management - Leasing out office space,3350,3350 - Management Company - Property,,,4086863,1473 WATER ST
BANK OF NOVA SCOTIA,BANKER,805,805 - Bank / Credit Union,,,4000017,190 HIGHWAY 33 W
SANDHU BIKER,APARTMENT RENTAL - 21 UNITS,7310,7310 - Apartment,,,4020608,165 PRIOR RD S
JOHN HOWARD SOCIETY OF OKANAGAN & KOOTENAY DBA CARDINGTON,APARTMENT      NON-PROFIT SOCIETIES,7320,7320 - Apartment - operated by non-profit society,,,4073622,1436 ST. PAUL ST
BAI TONG THAI  RESTAURANT (KELOWNA) LTD,CLASS B - DINING LOUNGE (LESS 140 SQ M),3215,3215 - Liquor Primary Establishment (with a floor area of 140 sq. metres or less),,,4066217,275 BERNARD AVE
PACIFIC COASTCOM DBA WOOD COMMUNICATIONS,SERVICE & MAINTENANCE OF TWO-WAY RADIOS,8074,8074 - Service & Maintenance of Large Appliances,,,4066221,1744 SPRINGFIELD RD
LEGEND SECURITY SERVICES,Security Services,7420,7420 - Security Serv/Investigation/Collections,,,4088739,761 BAY AVE
EVENTIUM FOOD SERVICES,FOOD & BEVERAGE PROVIDER,7100,7100 - Restaurant - Catering or Meal Prep,,,4076196,1223 WATER ST
TALL CLOUD PRODUCTIONS INC.,Craft and Artisan Market,2151,2151 - Flea Market,,,4088240,1223 WATER ST
IMPERIAL PARKING CANADA CORP,PARKING LOT #217,3700,3700 - Parking Lot,,,4057358,1223 WATER ST
MANHATTEN POINT,RESTAURANT & LOUNGE,3230,3230 - Food Primary Establishment (with a floor area over 140 square metres),,,4035411,1223 WATER ST
"VAN POPPEL, GREG A",Lee Berry Farms Fruit Stand at Prospera Place. We would like to sell fresh blueberries in 5lb boxes,3300,3300 - Mail Order or Outside Merchant Sales,,,4088003,1223 WATER ST
RG TICKETING LTD DBA SELECT YOUR TICKETS,RETAIL   TICKET SALES,7205,7205 - Retail,,,4073681,1223 WATER ST
KELOWNA FIGURE SKATING CLUB,PRIVATE SCHOOL - FIGURE SKATING (CAPITAL NEWS CENTRE),8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",,,4003258,1223 WATER ST
PROSPERA PLACE,ARENA - 7500 SEATS,7502,"7502 - Theatres, Halls & Arenas",,,4035190,1223 WATER ST
KELOWNA ROCKETS HOCKEY ENTERPRISES LTD,SPORTS HOCKEY CLUB,2020,2020 - Fitness and Recreational Sports,,,4029798,101-1223 WATER ST
LIFE STYLES BY DIONNE,HOME OCCUPATION - HAIRSTYLIST - 1 CHAIR - MAJOR,2400,2400 - Hairstylist or Barber,,,4062963,777 FULLER AVE
GUY PERRON ENTERPRISES LTD,CONTRACTOR - RENOVATIONS,1566,1566 - Contractors,,,4067281,777 FULLER AVE
WESCO INDUSTRIES LTD,MANUFACTURER - TIRE CHAINS & WIRE ROPE SLINGS,3405,3405 - Manufacturer,,,4063784,378 TOTOM AVE
BRIGHT PATH LAWRENCE AVENUE,CHILD CARE CENTRE,1902,1902 - Child Care Services,,,4072562,1370 LAWRENCE AVE
SHASTA PROPERTIES LTD,MOBILE HOME PARK (148 SPACES),7600,"7600 - Trailer, Mobile Home, and Tent  - Park or Campground",,,4002197,3745 LAKESHORE RD
KELOWNA MEDICAL AESTHETICS,Aesthetic Services (skincare),850,850 - Beauty Parlour and/or Aesthetic Services,,,4086804,1562 WATER ST
BENCH SITE DESIGN INC,LANDSCAPE ARCHITECT & DESIGN,5099,5099 - Professional Services,,,4073185,4-1562 WATER ST
JOHN C. CHANDLER PROFESSIONAL LAW CORPORATION DBA CHANDLER LITIGATION,BARRISTER & SOLICITOR,5099,5099 - Professional Services,,,4081880,2-1562 WATER ST
WHITE KNIGHT LANDSCAPERS,LANDSCAPING,8042,8042 - Landscaping/Garden  (Service Only),,,4016771,855 BERNARD AVE
EVILGENIUSARTWORX INC,ART STUDIO INCLUDING TATTOOING & AIRBRUSHING,7205,7205 - Retail,,,4078412,549 LAWRENCE AVE
AMORA DAY SPA INC.,SPA,850,850 - Beauty Parlour and/or Aesthetic Services,,,4071867,A-549 LAWRENCE AVE
CRYSTAL GLASS CANADA LTD,SALES & INSTALLATION OF GLASS,1566,1566 - Contractors,,,4072730,1-1995 HARVEY AVE
1ST PLACE AUTO REPAIR LTD,GARAGE (REPAIR),2204,2204 - Garage (Repair),,,4075446,2-1995 HARVEY AVE
BERCO LUBE (BC DIVISION) INC. DBA JIFFY LUBE #1080,OIL CHANGE,2204,2204 - Garage (Repair),,,4081877,3-1995 HARVEY AVE
KIQ X INDUSTRIES,SALE & ASSEMBLE OF AUTOMOTIVE MODIFICATION KITS,7205,7205 - Retail,,,4082320,848 CROWLEY AVE
1314586 BC LTD,Spray Foam Insulation,1566,1566 - Contractors,,,4088967,848 CROWLEY AVE
AESTHETIKS LAB,Fashion Art & Music Creative Centre,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",,,4089127,454 LEON AVE
IMPERIAL PARKING CANADA CORP,Parking Lot,3700,3700 - Parking Lot,,,4086820,1551 WATER ST
