X,Y,FID,PropertyNumber,Business_Name,Civic_Unit,Civic_House,Civic_Street,Mailing_Address,GISLink,CommunityName,Phone,Licence_Desc,Category,Category_Desc,Detail,Detail_Desc,NAICS_Primary,NAICS_Primary_Desc,Approved_Date,Permitted_Use,Permitted_Use_Desc,Seasonal_Employees,PartTime_Employees,FullTime_Employees,Latitude,Longitude
-13655110.99,6302015.65,1,150466,LINDSAY KENNEY BARRISTERS & SOLICITORS,400,8621,201 ST,"400-8621 201 ST 
LANGLEY BC  V2Y 0G9",148253,Willoughby,604-534-5114,LAW FIRM,65,PROFESSIONALS,LAWYERS,LAWYER,541110,"Professional, scientific & technical services / Professional, scientific & technical services / Legal services / Offices of lawyers / Offices of lawyers",,261,,,5,30,49.15977599,-122.6659491
,,2,136578,SITKA FIRE PROTECTION INC,,,OUT OF TOWN,"207 8475 ONTARIO ST 
VANCOUVER BC  V5X 3E8",136578,,,FIRE ALARM & WATER WORKS CONTRACTOR,23,CONTRACTOR - MISC,FIRE,FIRE PROTECTION,238220,"Construction / Specialty trade contractors / Building equipment contractors / Plumbing, heating & ac contractors / Plumbing, heating & ac contractors",,,,,,3,,
-13654577.37,6305261.856,3,149216,WALNUT GROVE BOTTLE DEPOT,6,20280,97 AVE,"8 20280 97 AVE 
LANGLEY BC  V1M 4B9",149216,Northwest Langley,604-513-0420,RECYCLING & BOTTLE DEPOT,35,GARBAGE COLLECTOR,RECYCLE,RECYCLING EQUIPMENT,418190,Wholesale trade / Miscellaneous wholesaler-distributors / Recyclable material whl. / Other recyclable material whl. / Other recyclable material whl.,,289,,,1,5,49.17884232,-122.6611555
-13650665.24,6291711.37,4,102680,CANADIAN MUSEUM FLIGHT ASSOCIATION,3,5333,216 ST,"3-5333 216 ST 
LANGLEY BC  V2Y 2N3",102680,Murrayville,,FLIGHT MUSEUM,,,,,712119,"Arts, entertainment & recreation / Heritage institutions / Heritage institutions / Museums / Other museums",,,,,,,49.09920599,-122.6260122
-13650331.94,6290096.797,5,109491,MURRAYVILLE COMMUNITY MEMORIAL HALL,,21667,48 AVE,"21667 48 AVE 
LANGLEY BC  V3A 3M7",109491,Murrayville,604-530-5589,COMMUNITY HALL,58,NON-PROFIT,SOCIETY,SOCIETY,813410,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Civic & social organizations / Civic & social organizations / Civic & social organizations",,,,,,,49.0897086,-122.6230181
-13652734.7,6287228.767,6,113954,LANGLEY ROD & GUN CLUB,,3854,208 ST,"3854 208 ST 
LANGLEY BC  V3A 4X7",113954,Brookswood / Fernridge,604-539-9900,SHOOTING RANGE,58,NON-PROFIT,SOCIETY,SOCIETY,711211,"Arts, entertainment & recreation / Performing arts, spectator sports & related / Spectator sports / Spectator sports / Sports teams & clubs",,,,,4,1,49.07283352,-122.6446025
-13655555.38,6297617.285,7,151328,DR. SUKHRAJ K SAMRA INC,101,19941,72 AVE,"101 19941 72 AVE 
LANGLEY BC  V2Y 3J2",141459,Willoughby,604-530-9737,DENTAL OFFICE,65,PROFESSIONALS,DENTIST,DENTIST,621210,Health care & social assistance / Ambulatory health care services / Offices of dentists / Offices of dentists / Offices of dentists,,,,,,5,49.13393083,-122.6699411
-13653150.4,6288480.256,8,102219,LANGLEY RIDERS SOCIETY,,4303,208 ST,"4303 208 ST 
LANGLEY BC  V3A 2H7",102219,Brookswood / Fernridge,,NOT FOR PROFIT EQUESTRIAN SOCIETY,58,NON-PROFIT,SOCIETY,SOCIETY,813410,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Civic & social organizations / Civic & social organizations / Civic & social organizations",,,,,,,49.08019781,-122.6483368
-13655870.77,6304877.468,9,148226,THE CIRCUS LAB INC,B3,19840,96 AVE,"B3 19840 96 AVE 
LANGLEY BC  V1M 3C1",115768,,604-357-5277,Recreational coaching for children and adults,69,RECREATION,FITNESS,FITNESS,71394,"Arts, entertainment & recreation / Amusement, gambling & recreation industries / Other amusement & recreation industries / Fitness & recreational sports centres",,,,,2,,49.17658503,-122.6727743
-13656094.67,6304354.222,10,121700,MORFCO SUPPLIES LTD,C105,19770,94A AVE,"C105-19770 94A AVE 
LANGLEY BC  V1M 3B7",104616,,604-513-8101,HEAVY EQUIPMENT PARTS DISTRIBUTION,42,INDUSTRIAL,EQUIP SALE,EQUIPMENT SALES,416330,Wholesale trade / Building material & supplies whl. / Lumber & other building supplieswhl. / Hardware whl. / Hardware whl.,,396,,,0,3,49.17351215,-122.6747857
-13633044.21,6284578.438,11,112743,ALDERGROVE OLD AGE PENSIONERS SOCIETY,,3015,273 ST,"3015 273 ST 
LANGLEY BC  V4W 3J6",112743,Aldergrove,604-857-2332,pensioners society,58,NON-PROFIT,SOCIETY,SOCIETY,813410,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Civic & social organizations / Civic & social organizations / Civic & social organizations",,,,0,,0,49.05723427,-122.4677199
-13650417.81,6296054.984,12,142027,MILNER COMMUNITY ASSOCIATION,,6716,216 ST,"6716 216 ST 
LANGLEY BC  V2Y 0W9",142027,,,WEDDING CHAPEL AND HALL,58,NON-PROFIT,CHURCHES,CHURCHES,81341,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Civic & social organizations / Civic & social organizations",,,,0,0,0,49.12474738,-122.6237895
-13646256.16,6303134.168,13,129676,APCO PLUMBING & HEATING LTD,,9013,NASH ST,"9013 NASH ST 
LANGLEY BC  V1M 1A0",129676,Fort Langley,604-888-2383,OFFICE FOR PLUMBING AND HEATING CONTRACTOR,21,CONTRACTOR,PLB & HTG,PLUMBING AND HEATING,238220,"Construction / Specialty trade contractors / Building equipment contractors / Plumbing, heating & ac contractors / Plumbing, heating & ac contractors",,9,,0,0,2,49.16634634,-122.5864048
-13638350.13,6296234.019,14,118583,ALDERGROVE FESTIVAL DAYS SOCIETY,,6795,256 ST,"6795 256 ST 
LANGLEY BC  V4W 1T9",118583,,,NON PROFIT COMMUNITY EVENTS SOCIETY,58,NON-PROFIT,SOCIETY,SOCIETY,813410,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Civic & social organizations / Civic & social organizations / Civic & social organizations",,,,,,,49.12579987,-122.5153837
-13655234.16,6297957.065,15,139537,DUCKIE VIEW DAYCARE,,7361,200A ST,"7361 200A ST 
LANGLEY BC  V2Y 3G5",139537,Willoughby,,FAMILY DAYCARE,25,DAY CARE,FAMILY,FAMILY DAY CARE,624410,Health care & social assistance / Social assistance / Child day-care services / Child day-care services / Child day-care services,,,,,,1,49.13592789,-122.6670556
-13656114.2,6296040.334,16,103192,JOYCE'S PIANO STUDIO,,2319,WAKEFIELD DR,"2319 WAKEFIELD DR 
LANGLEY BC  V2Y 1E7",103192,Willoughby,604-532-0762,PIANO LESSONS,84,TEACHER,MUSIC,MUSIC,611710,Educational services / Educational services / Educational support services / Educational support services / Educational support services,,,,,,1,49.12466126,-122.6749611
-13645308.26,6303726.127,17,154753,KIZMIT GIFT GALLERY INC,150,9220,GLOVER RD,"150-9220 GLOVER RD 
LANGLEY BC  V1M 1A0",149544,Fort Langley,604-881-0066,HAND MADE CANADIAN GIFTS,74,RETAIL MERCHANTS,GIFT,GIFT & NOVELTY  & SOUVENIR STORE,453220,"Retail trade / Misc. store retailers / Office supply, stationery & gift stores / Gift, novelty & souvenir stores / Gift, novelty & souvenir stores",,,,0,2,1,49.16982326,-122.5778897
-13655695.98,6305056.841,18,106674,NORTH LANGLEY HUSKY,,19889,96 AVE,"19889 96 AVE 
LANGLEY BC  V1M 3C7",106674,,604-882-1169,GAS BAR AND CONVENIENCE STORE,36,GASOLINE/OIL,GAS BAR/CO,GAS BAR/CONVENIENCE STORE,447190,Retail trade / Gasoline stations / Gasoline stations / Other gasoline stations / Other gasoline stations,,,,,2,4,49.1776384,-122.6712041
