licence number,establishment name,location address line 1,location address line 2,location address  city,location postal code,licence type,licence subtype,capacity
304406,"""Cuckoo"" Trattoria Pizzeria",2310 Alberni Hwy,,COOMBS,V0R1M0,Food Primary,,565
145813,"""The Oakwood"" Canadian Bistro",2741 West 4th Ave,,VANCOUVER,V6K1P9,Food Primary,,100
300413,#12 (Vancouver) Service Batalion,5500 No. 4 Rd,,RICHMOND,V6X3L5,Liquor Primary,,210
184229,#9 RESTAURANT,812  5300 NO 3 RD,,RICHMOND,V6X2X9,Food Primary,,189
304745,0755 Restaurant & Lounge,Unit 2188 - 3779 Sexsmith Road,,RICHMOND,V6X3Z9,Food Primary,,283
164690,10 Acres Bistro & Bar & Market ,609 Courtney Street,,VICTORIA,V8W1B7,Food Primary,,225
019839,100 Mile House Curling Club,Airport Rd,,100 MILE HOUSE,V0K2E0,Liquor Primary,,94
303725,1029 Cafe,9231 Beckwith Rd.,,RICHMOND,V6X1V7,Food Primary,,81
306264,104 Sushi & Co,110 - 10422 168th St.,,SURREY,V4N1R9,Food Primary,,30
054119,108 Resort,108 Mile Ranch,,108 MILE RANCH,V0K2Z0,Food Primary,,858
104159,108 Resort,108 Mile Ranch,,108 MILE RANCH,V0K2Z0,Liquor Primary,,42
195226,110th Street Liquor Store,11004/11008 100 Ave,,FORT ST. JOHN,V1J4M7,Licensee Retail Store,,
302003,1181,1181 Davie Street,,VANCOUVER,V6E1N2,Liquor Primary,,59
195494,11th Ave Liquor Store,1352  11th Ave E,,PRINCE RUPERT,V8J2X1,Licensee Retail Store,,
083491,131 Water Kitchen & Bar,127 131 WATER ST,,VANCOUVER,V6B4M3,Food Primary,,140
306749,1423,1423 Ellis Street,,KELOWNA,V1Y2A3,Liquor Primary,,35
195249,14th Ave Pub Beer Wine & Liquor Store,32516 14th Ave,,MISSION,V2V2N7,Licensee Retail Store,,
030501,14th Avenue Pub,32516 14th Ave,,MISSION,V2V2N7,Liquor Primary,,120
305301,1500 Duncan Eatery,1500 Duncan Ave E,,PENTICTON,V2A2X6,Food Primary,,57
082591,1550'S RESTAURANT,1550 CEDAR HILL X RD,,VICTORIA,V8P2P4,Food Primary,,100
300432,15TH FIELD ARTILLERY REGIMENT ,2025 W. 11TH AVE,,VANCOUVER,V6J2C7,Liquor Primary,,235
116940,1609 Restaurant and Lounge ,148 Silver Lode Lane,,SILVER STAR MOUNTAIN,V1B3M1,Food Primary,,150
195193,17 Mile House Licensed Liquor Store,5126 Sooke Road,,SOOKE,V9C4C4,Licensee Retail Store,,
163660,18 BELOW,4900 GLACIER DR,RR  4,WHISTLER,V0N1B4,Food Primary,,165
300604,19 Wing Comox,Corner of Pritchard & Ryan Rd,,COMOX,V0R2K0,Liquor Primary,,1999
300603,19 Wing Sailing Club,Goose Spit Site,,COMOX,V0R2K0,Liquor Primary,,118
306988,1912 Lakeside Bistro,100 Alder Ave,,KALEDEN,V0H1K0,Food Primary,,132
195502,1st Avenue Liquor Store,243 - 2800 East 1st Avenue,,VANCOUVER,V5M4P1,Licensee Retail Store,,
303563,1st Beach Bar & Grill,5866B Beach Ave.,,PEACHLAND,V0H1X7,Food Primary,,50
305784,1st R.O.W. Estate Winery,104 - 2762 190th Street,,SURREY,V3S3W6,Manufacturer,Winery,0
101598,2 Guys Sushi & Seafood Grill ,15169 ROPER AVE,,WHITE ROCK,V4B5C9,Food Primary,,80
307388,2% Jazz Coffee,105 740 Hillside Ave,,VICTORIA,V8T1Z4,Food Primary,,15
184921,21 Steps Kitchen and Bar,10 4433 SUNDIAL PLACE,,WHISTLER,V0N1B4,Food Primary,,159
165803,28 Inn Beer & Wine Store,4545 10th Avenue,,NEW HAZELTON,V0J2J0,Liquor Primary,,113
194853,28 Inn Beer & Wine Store,4545 10th Avenue,,NEW HAZELTON,V0J2J0,Licensee Retail Store,,
304307,293 Wallace Street Restaurant,293 Wallace St,,HOPE,V0X1L0,Food Primary,,88
307506,3 Dogs Brewing,15222 North Bluff,,WHITE ROCK,V4B3E6,Manufacturer,Brewery,0
304032,3 G Vegetarian Restaurant,3424 Cambie St.,,VANCOUVER,V5Z2W8,Food Primary,,40
304800,3 Gringo's Fresh Mexican Grill,113 - 735 Goldstream Ave,,LANGFORD,V9B2X4,Food Primary,,26
307270,328 Taphouse & Grill,102-328 Wale Rd,,VICTORIA,V9B0J8,Food Primary,,298
305453,33 Acres Brewing Company,15 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Brewery,0
306278,33 Acres Cider Company,15 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Winery,0
306779,37 Grille,1530 Kitwanga Road North,,KITWANGA,V0J2A0,Food Primary,,40
307686,4 Quarters Restaurant,2744 Dunsmuir Ave,,CUMBERLAND,V0R1S0,Food Primary,,
303720,40 Knots Estate Winery,2400 Anderton Road,,COMOX,V9M4E5,Manufacturer,Winery,0
302280,41 Noodle & Rice Pot House,2279 41st Ave W,,VANCOUVER,V6M2A3,Food Primary,,40
300415,44th FIELD ENGINEER SQUADRON (Combined Mess),1990 7TH AVE,,TRAIL,V1R3C3,Liquor Primary,,500
307127,5 Star Catering Ltd. ,5640 188 Street,,SURREY,V3S4N5,Catering,,
305716,5 Tastes Chinese Bistro,2158 Western Pkwy,,VANCOUVER,V6T1V6,Food Primary,,84
306211,5-Forty Cafe & Grill,3190 Creekside Way,PO Box 1006,SUN PEAKS,V0E5N0,Food Primary,,69
304649,50th Parallel Estate,17101 Terrace View Road,,LAKE COUNTRY,V4V1B7,Manufacturer,Winery,0
301433,52 Ridge Restaurant,373 Clearwater Valley Road,,CLEARWATER,V0E1N0,Food Primary,,252
306203,54th Avenue Cafe Restaurant,7088 Kerr St.,,VANCOUVER,V5S4W2,Food Primary,,85
