OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE,geometry,lon,lat,BusinessDescription
1,00458525,250,22529,LOUGHEED HWY,V2X 0L5,VN NAILS & SPA SALON,PERSONAL SERVICES,NAIL SALON,2022-01-10,COMMERCIAL,,,Work,,,POINT (-122.59840121404079 49.21745530293932),-122.59840121404079,49.21745530293932,NAIL SALON
2,00434318,3,22722,LOUGHEED HWY,V2X 2V6,CARE PLACE WELLNESS CENTRE INC,PROFESSIONAL SERVICES,ACUPUNCTURE,,COMMERCIAL,,604 466 2818,Work,,,POINT (-122.59283025717899 49.216186893755356),-122.59283025717899,49.216186893755356,HEALTH CARE ACUPUNCTURE
3,00435936,,11771,225 ST,V2X 6E6,CIRCUIT BUILDING,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,2021-12-03,COMMERCIAL,,,Work,,,POINT (-122.59928015532367 49.21644749951952),-122.59928015532367,49.21644749951952,4 RENTAL UNITS (DWELLING).  THERE ARE 15 ROOMS RENTED IN TOTAL.
4,00460494,102,12310,222 ST,,ROMSAN TRUCKING,TRANSPORT GOODS & SERVICES,TRUCKING,2021-12-09,HOME BASED,,604 761 0037,Work,,,POINT (-122.60649406450864 49.22571820241141),-122.60649406450864,49.22571820241141,TRANSPORTATION
5,00434673,1,20726,LOUGHEED HWY,V2X 2R1,ANDIAMO'S PIZZA AND PASTA HOUSE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-01-07,COMMERCIAL,,604 463 9292,Work,,,POINT (-122.64710593497642 49.217729576603524),-122.64710593497642,49.217729576603524,PIZZA AND PASTA HOUSE
6,00432115,,28316,DEWDNEY TRUNK RD,V2W 1M1,CAMP GOOD DOG INC,ANIMAL SERVICES,KENNEL COMMERCIAL - BOARDING,2022-01-31,COMMERCIAL,,604 515 2267,Work,,,POINT (-122.43707009696463 49.21806012610665),-122.43707009696463,49.21806012610665,COMMERCIAL KENNEL
7,00433576,,23476,133 AVE,V4R 2W7,A LASTING IMPRESSION INTERIOR DESIGN,DESIGN SERVICES,INTERIOR,2022-01-04,HOME BASED,,604 476 9978,Work,,,POINT (-122.57258856869915 49.245009215358586),-122.57258856869915,49.245009215358586,INTERIOR DESIGN
9,00457592,,22219,DEWDNEY TRUNK RD,V2X 3H8,ALISSA BANNS,PROFESSIONAL SERVICES,CHIROPRACTOR,2021-12-03,COMMERCIAL,,604 467 7444,Work,,,POINT (-122.60647369338001 49.22076283754624),-122.60647369338001,49.22076283754624,CHIROPRACTOR
10,00434994,,10442,TAMARACK CRES,V2W 1B5,SMART CLEANING,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,2021-12-23,HOME BASED,,604 862 9797,Work,,,POINT (-122.56325938888402 49.19622411143115),-122.56325938888402,49.19622411143115,JANITORIAL/CLEANING
11,00434155,,12968,232 ST,,SC ATM SERVICES,FINANCIAL & INSTITUTIONAL SERVICES,ATM/KIOSK,2021-12-24,COMMERCIAL,,604 945 2055,Work,,,,,,1 ATM MACHINE AT BLACK SHEEP PUB
12,00434153,5,11250,WARESLEY ST,V2X 1Z2,NEW MAPLE MARKET,FOOD & BEVERAGE RETAIL,GROCERY/SUPERMARKET,2021-12-17,COMMERCIAL,,604 460 1288,Work,,,POINT (-122.65248899473117 49.20725346126845),-122.65248899473117,49.20725346126845,GROCERY STORE
13,00434660,,20855,LOUGHEED HWY,,7069252BC LTD  DBA WHITE SPOT RESTAURANT,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-01-04,COMMERCIAL,,604 467 3922,Work,,,POINT (-122.6437959811398 49.21832360349727),-122.6437959811398,49.21832360349727,RESTAURANT
14,00439296,160,20398,DEWDNEY TRUNK RD,V2X 3E3,WESTGATE LIQUOR STORE,FOOD & BEVERAGE RETAIL,LIQUOR RETAIL STORE,2021-12-08,COMMERCIAL,,604 460 9119,Work,,,POINT (-122.6554331690206 49.220809554532394),-122.6554331690206,49.220809554532394,LIQUOR RETAIL STORE
15,00458375,,27580,SAYERS CRES,V2W 1N3,SUGARING PRO,PERSONAL SERVICES,SPA SERVICES,2021-12-06,HOME BASED,,778 344 2395,Work,,,POINT (-122.4583041706444 49.22802402042622),-122.4583041706444,49.22802402042622,SUGARING PRACTITIONER
17,00440565,C,20779,LOUGHEED HWY,V2X 2R2,WESTERN HEATING & POOL SERVICES,RETAIL,UNCLASSIFIED MISCELLANEOUS RETAIL,2022-01-21,COMMERCIAL,,604 477 3188,Work,,,POINT (-122.64555210413994 49.21841911773386),-122.64555210413994,49.21841911773386,POOL SUPPLIES
18,00458985,,11677,FULTON ST,V2X 6L3,PACIFIC NORTHWEST BRAND MANAGEMENT & DISTRIBUTION,WHOLESALE & DISTRIBUTION,AGENT/BROKER,,HOME BASED,PACIFICNORTHWESTBRANDS.COM,604 928 3581,Work,,,POINT (-122.59189544509098 49.2149132183314),-122.59189544509098,49.2149132183314,CABINETRY & MILLWORK
19,00435243,5,20121,115A AVE,V2X 0Z3,STICKLE CONSTRUCTION LTD,MANUFACTURING,WOOD PRODUCTS,2021-12-30,COMMERCIAL,,604 576 8012,Work,,,POINT (-122.66461601991308 49.21231186073314),-122.66461601991308,49.21231186073314,INCOME TAX PREPARATION
20,00440748,307,12283,224 ST,,LEON ZUVIC TAX SERVICES,FINANCIAL & INSTITUTIONAL SERVICES,TAX PREPARATION,2021-12-23,HOME BASED,,604 773 9905,Work,,,POINT (-122.602041858066 49.225786130493546),-122.602041858066,49.225786130493546,LAWYER
21,00434469,,10417,TAMARACK CRES,V2W 1B3,ROBERT J. D'EITH LAW CORP (DBA D'EITH & CO),PROFESSIONAL SERVICES,BARRISTER/LAWYER/SOLICITOR,2021-12-29,HOME BASED,,604 675 6227,Work,,,POINT (-122.56503262873524 49.197863575267895),-122.56503262873524,49.197863575267895,GENERAL CONTRACTOR
23,00433100,,12590,254 ST,V4R 1V4,BELLA VISTA HOME BUILDERS LTD,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),,HOME BASED,,604 462 0602,Work,,,POINT (-122.51602313035008 49.23078779545132),-122.51602313035008,49.23078779545132,LIQUOR STORE
24,00434157,100,20690,LOUGHEED HWY,,MAPLE RIDGE LIQUOR STORE,FOOD & BEVERAGE RETAIL,LIQUOR RETAIL STORE,2021-12-09,COMMERCIAL,,604 465 2779,Work,,,POINT (-122.6489349734509 49.217917405522925),-122.6489349734509,49.217917405522925,MOBILE HOME PARK
25,00458345,,22618,LOUGHEED HWY,,DREA'S LASER BEAUTY CO,PERSONAL SERVICES,SPA SERVICES,,COMMERCIAL,,778 318 0464,Work,,,POINT (-122.59587002208889 49.216864788789465),-122.59587002208889,49.216864788789465,DAYCARE - OCCUPANT LOAD = 30
26,00435850,,12892,232 ST,V2X 6T9,G.E.N. ENTERPRISES LTD DBA GARIBALDI TRAILER COURT,RENTAL UNIT,TRAILER COURT,2021-12-14,COMMERCIAL,,604 802 1906,Work,,,POINT (-122.57722584429467 49.236647680842694),-122.57722584429467,49.236647680842694,MONITORED ALARM/CAMERA INSTALLATIONS
27,00436448,,22330,DEWDNEY TRUNK RD,V2X 3J2,HAPPY HEARTS CHILDCARE CENTRE INC,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,2021-12-20,COMMERCIAL,,778 846 4838,Work,,,POINT (-122.60373123337081 49.22021086268456),-122.60373123337081,49.22021086268456,COMMUNITY HALL IN FRASERVIEW VILLAGE- NON PROFIT
28,00459872,,26505,124 AVE,V2W 1P1,PROACTIVE INTEGRATED SECURITY LTD,SECURITY,SECURITY SYSTEMS SALES/SERVICE,2021-12-20,HOME BASED,WWW.PROACTIVEALARMS.COM,604 522 2121,Work,,,POINT (-122.48745773435306 49.22797863767831),-122.48745773435306,49.22797863767831,BOOKKEEPING SERVICES (ACCOUNTING & ADMIN)
29,00436108,,22610,116 AVE,V2X 9V1,FRASERVIEW VILLAGE COMMUNITY ASSOCIATION,COMMUNITY GROUPS,CIVIC/SOCIAL ORGANIZATIONS,2021-11-17,COMMERCIAL,,604 463 2902,Work,,,POINT (-122.59517962686199 49.21046357678069),-122.59517962686199,49.21046357678069,RETAIL ONLINE MOVIES
30,00458882,29,24076,112 AVE,V2W 0K2,THE LEDGER WIZ,FINANCIAL & INSTITUTIONAL SERVICES,BOOKKEEPING,,HOME BASED,THELEDGERWIZ.COM,778 989 6313,Work,,,POINT (-122.55529922743055 49.2046466134919),-122.55529922743055,49.2046466134919,INDIAN RESTUARANT
31,00433839,,12749,228 ST,V2X 3M1,MOVIETOPIA ONLINE,DIRECT SALES,E-COMMERCE,2021-12-29,HOME BASED,,604 466 1829,Work,,,POINT (-122.59067259455693 49.23388132710456),-122.59067259455693,49.23388132710456,PLUMBING & GAS CONTRACTOR
32,00435046,,11956,207 ST,V2X 1X7,MAPLE LEAF INDIAN CUISINE LTD,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2021-12-31,COMMERCIAL,,604 760 4242,Work,,,POINT (-122.64678558073655 49.21957977150941),-122.64678558073655,49.21957977150941,MOBILE MEDICAL DOCTOR
34,00457771,,24910,SMITH AVE,V4R 2A8,WEBSTERS PLUMBING LTD,CONTRACTOR,PLUMBING & GAS,2022-01-04,HOME BASED,,604 319 8977,Work,,,POINT (-122.531946307792 49.220996746422585),-122.531946307792,49.220996746422585,CHARITY - MAPLE RIDGE RENT BANK - ADMIN OFFICE/MEETING SPACE
35,00434349,,25011,124 AVE,V4R 1T6,DR. ELIZABETH ZUBEK INC,PROFESSIONAL SERVICES,PHYSICIAN,2021-12-20,HOME BASED,,604 467 8404,Work,,,POINT (-122.52865126196855 49.22886126740953),-122.52865126196855,49.22886126740953,ROOFING AND MAINTENANCE
36,00459971,300,22420,DEWDNEY TRUNK RD,V2X 8H7,THE LOWER MAINLAND PURPOSE SOCIETY FOR FAMILY AND YOUTH,COMMUNITY GROUPS,FAMILY & SOCIAL SERVICES,2021-11-17,COMMERCIAL,,604 526 2522,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,CHIROPRACTIC
37,00434002,,11663,210 ST,V2X 4Y2,CITADEL ROOF AND BUILDING MAINTENANCE,CONTRACTORS,ROOFING,2021-12-30,HOME BASED,,604 612 3601,Work,,,POINT (-122.64008541061916 49.21373447142917),-122.64008541061916,49.21373447142917,IN HOME MULTI AGE DAYCARE
38,00434362,9,20691,LOUGHEED HWY,V2X 2P9,DR. MICHAEL CHAYE,PROFESSIONAL SERVICES,CHIROPRACTOR,2022-01-28,COMMERCIAL,,604 467 4737,Work,,,POINT (-122.64893961131236 49.218832448426156),-122.64893961131236,49.218832448426156,CCFA LICENCED PRESCHOOL
39,00458976,,20622,123 AVE,V2X 4A9,INVENTIVE MINDS CHILDCARE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2022-01-04,HOME BASED,,778 929 9776,Work,,,POINT (-122.64982865762725 49.226050564415104),-122.64982865762725,49.226050564415104,PODIATRIST
40,00436253,,27871,113 AVE,,LAKESIDE PRESCHOOL,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,,COMMERCIAL,,604 462 0026,Work,,,POINT (-122.45060528704205 49.20850667011574),-122.45060528704205,49.20850667011574,PLUMBING & HEATING RELATED SERVICES
41,00436254,,21698,DEWDNEY TRUNK RD,V2X 3G7,MAPLE RIDGE ADVENTURE PRESCHOOL (SOCIETY),COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,2021-11-17,COMMERCIAL,,604 466 1797,Work,,,POINT (-122.62028475263891 49.220306676513125),-122.62028475263891,49.220306676513125,ALUMINUM AND IRON WORKS (Building 1 - Unit 8 130m2)
43,00434397,105,22561,DEWDNEY TRUNK RD,V2X 3K1,DR. DAVID A. DIXON D P M,PROFESSIONAL SERVICES,PHYSICIAN,,COMMERCIAL,,604 477 0999,Work,,,POINT (-122.59692613113789 49.22073192516587),-122.59692613113789,49.22073192516587,"ZUMBA FITNESS, DANCING & FITNESS"
44,00432603,,12517,GRACE ST,V2X 5N3,GUILFOYLE PLUMBING & HEATING,CONTRACTOR,PLUMBING,2021-12-30,HOME BASED,,604 785 7879,Work,,,POINT (-122.61710790637918 49.2298166796469),-122.61710790637918,49.2298166796469,GROCERY STORE
45,00435407,8,20110,STEWART CRES,V2X 0T4,CARLITO'S ALUMINUM AND IRON WORKS,CONTRACTORS,AWNINGS/DECKS/SOLARIUMS/RAILINGS,2022-02-01,COMMERCIAL,,604 729 2203,Work,,,POINT (-122.66228369537428 49.21387014306128),-122.66228369537428,49.21387014306128,26 RENTAL UNITS
46,00435844,100,22722,DEWDNEY TRUNK RD,V2X 3K2,FIESTA LATINA FITNESS,SPORTS & RECREATION SERVICES,ATHLETIC INSTRUCTOR,2022-02-10,COMMERCIAL,,778 868 6100,Work,,,POINT (-122.59285813546889 49.21969134552327),-122.59285813546889,49.21969134552327,MARTIAL ART INSTRUCTIONS
