Business_Category,Business_Name,Business_Description,Website_,Phone_,Address,Email,Y_LAT,X_LONG,Coordinates,OBJECTID,SHAPE__Area,SHAPE__Length,geometry,lon,lat
AUTOMOTIVE,PORT MOODY WHEEL ALIGNMENT (1994),Auto Wheel Alignment,,604-461-2345,"3227 ST JOHNS ST, PORT MOODY",pmwheel@shaw.ca,,,,1,,,,,
CONTRACTORS,CORNELIUS FLOORING,HARDWOOD FLOORS,,778-233-9007,"1130 CECILE DR, PORT MOODY",cuflooring1@gmail.com,,,,2,,,,,
CONTRACTORS,ANYTIME DEMOLITION LTD.,DEMOLITION & ASBESTOS REMOVAL,,604-329-6812,"3026 ST GEORGE ST, PORT MOODY",anytime_demolition@hotmail.com,,,,3,,,,,
SPORT/RECREATION/TRAVEL,REBORN FITNESS,INDEPENDANT PERSONAL TRAINER @ ULTIMATE FITNESS,www.re-bornfitness.com,604-512-2321,"3082 SPRING ST, PORT MOODY",berebornfitness@gmail.com,,,,4,,,,,
FOOD & BEVERAGE,ROYAL CANADIAN LEGION BRANCH #119,RCL BRANCH #119 LEGION - SOCIAL VETERANS/COMMUNITY CLUB,,604-936-1312,"DNU - 2529 CLARKE ST, PORT MOODY",rclegion119@yahoo.ca,,,,5,,,,,
INDUSTRIAL,1254511 BC LTD,"STORAGE OF WHITE LABEL SUPPLEMENTS (PROTEIN POWDER, VITAMINS, IMMUNITY SUPPLEMENTS) ETC.",,604-679-9938,"B - 3006 SPRING ST, PORT MOODY",pyeoman123@gmail.com,,,,6,,,,,
INDUSTRIAL,TRI-SHORE YACHT SERVICES LTD,Boat Repair,,,"13 - 850 BARNET HWY, PORT MOODY",devin@trishoreyachts.com,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",7,394.78125,79.4832379218488,"LINESTRING (-122.88282780535735 49.291588026018026, -122.88265173898697 49.2915878473582, -122.88265201909961 49.291469837406204, -122.88282808504961 49.291470016065276, -122.88282780535735 49.291588026018026)",-122.88273991212321,49.2915289317541
INDUSTRIAL,ALTAMAR MARINE INC.,Service & Repair of Boats,,604-937-7317,"850 BARNET HWY, PORT MOODY",,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",8,394.78125,79.4832379218488,"LINESTRING (-122.88282780535735 49.291588026018026, -122.88265173898697 49.2915878473582, -122.88265201909961 49.291469837406204, -122.88282808504961 49.291470016065276, -122.88282780535735 49.291588026018026)",-122.88273991212321,49.2915289317541
FOOD & BEVERAGE,WILLY'S GALLEY,RESTAURANT,,778-871-1177,"3 - 850 BARNET HWY, PORT MOODY",,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",9,394.78125,79.4832379218488,"LINESTRING (-122.88282780535735 49.291588026018026, -122.88265173898697 49.2915878473582, -122.88265201909961 49.291469837406204, -122.88282808504961 49.291470016065276, -122.88282780535735 49.291588026018026)",-122.88273991212321,49.2915289317541
INDUSTRIAL,PORT MOODY BOAT TOPS INC,MAKING OF CUSTOM BOAT TOPS AND COVERS AND REPAIRS,,604-401-7738,"850 BARNET HWY, PORT MOODY",lily@portmoodyboattops.com,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",10,394.78125,79.4832379218488,"LINESTRING (-122.88282780535735 49.291588026018026, -122.88265173898697 49.2915878473582, -122.88265201909961 49.291469837406204, -122.88282808504961 49.291470016065276, -122.88282780535735 49.291588026018026)",-122.88273991212321,49.2915289317541
