LicenceNumber,DateFrom,DateTo,TradeName,LicenceDesc,LicenceCategory,Unit,Address,StreeName,ESRI_OID
81490,2021/06/21 07:00:00+00,2021/12/31 08:00:00+00,DACROM BATIMENT LTD,Landscaping/paving/construction services,HOME BUSINESS 1 - Craft,,2053,3RD AVE,1
21600,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SPOTLESS DRYCLEANERS & LAUNDROMAT,ESTABLISHMENT,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,2030,5TH AVE,2
72601,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,RAYMOND JAMES LTD,Full service Investment / Financial Office,COMMERCIAL OFFICE - COMMERCIAL OFFICE - OTHER,,1338,CENTRAL ST E,3
9213,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,MD MANAGEMENT LIMITED/MD INSURANCE AGENCY LIMITED,FINANCIAL PLANNING,COMMERCIAL OFFICE - INSURANCE,,177,VICTORIA ST,4
46321,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,KPMG MANAGEMENT SERVICES LP,CHARTERED ACCOUNTANTS,COMMERCIAL OFFICE - ACCOUNTANT,,177,VICTORIA ST,5
7241,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CHERNOFF THOMPSON ARCHITECTS NORTH,ARCHITECT,COMMERCIAL OFFICE - ARCHITECT,,177,VICTORIA ST,6
9829,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CIBC WOOD GUNDY,"BROKERAGE FIRM, FINANACIAL ADVISORS.",Banks and other Financial Institutions.,,177,VICTORIA ST,7
1064,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,UNIGLOBE SUNBURST TRAVEL LTD,TRAVEL AGENCY,COMMERCIAL OFFICE - TRAVEL,,177,VICTORIA ST,8
77675,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,FBB CHARTERED PROFESSIONAL ACCOUNTANTS LLP,Public Accounting Office,COMMERCIAL OFFICE - ACCOUNTANT,,1440,2ND AVE,9
73323,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,DR. ANDREW D. LUKARIS INC,Ophthalmologist,MEDICAL OR DENTAL OFFICE - OTHER - MEDICAL,,1440,2ND AVE,10
70934,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE DOWNTOWN BUSINESS IMPROVEMENT ASSN.,non profit society representing downtown business and property owners,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,1406,2ND AVE,11
71430,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BONFIRE ENTERPRISES,Financial services,COMMERCIAL OFFICE - ACCOUNTANT,,190,VICTORIA ST,12
70897,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HOLMES INVESTIGATIONS LTD.,commercial,BUILDING RENTAL - COMMERCIAL,,190,VICTORIA ST,13
77602,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PALADIN SECURITY GROUP LTD,Security guard services,"CONTRACTOR, TRADE - CONTRACTOR - OTHER",,190,VICTORIA ST,14
4761,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TERLESKY BRAITHWAITE JANZEN,CERTIFIED GENERAL ACCOUNTANT,COMMERCIAL OFFICE - ACCOUNTANT,,180,VICTORIA ST,15
31180,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CAP-ABILITIES EMBROIDERY & SILKSCREENING LTD,EMBROIDERY & SILKSCREENING,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,1313,1ST AVE,16
9429,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,DEFAU NETWORK SYSTEMS CORP,"COMPUTER SALES, SET UP AND REPAIRS",COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,193,QUEBEC ST,17
78069,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,"DEFAUW, PETER F",Building Rental - Commercial,BUILDING RENTAL - COMMERCIAL,,193,QUEBEC ST,18
76855,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,THE PRINCE GEORGE SEXUAL ASSAULT CENTRE SOCIETY,Sexual Violence and Trauma Counselling - Education programs and prevention programs,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,193,QUEBEC ST,19
81077,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,1265727 BC LTD.,Hostel,MOTEL - MOTEL,,197,QUEBEC ST,20
68475,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BID RIGHT CONTRACTING LTD,,COMMERCIAL OFFICE - COMMERCIAL OFFICE,,1320,2ND AVE,21
