BusinessName,BusinessDescription,Address,Phone,Naics,NaicsDescription,BusinessType,FullTime,PartTime
#9 Restaurant,Restaurant,5300 No 3 Rd Unit 812 Richmond BC  V6X 2X9,604-278-7700,722511,Full-service restaurants,Food Service Establishment,20,30
.Com Vanity Hair Salon,Hair Salon,6211 No 3 Rd Unit 120 Richmond BC  V6Y 0C2,604-232-5567,812115,Beauty salons,,5,2
0696787 BC Ltd,motorcycle car storage holding dismantling parts storage (receiving motorcycle and cars from ICBC dismantling parts retail over the internet  internet sales world wide) ,1060 Millcarch St Unit 115 Richmond BC  V6V 2H4,604-837-2942,418110,Recyclable metal merchant wholesalers,Second-Hand Dealer,1,0
0730100 BC Ltd,Software Development,13111 Vanier Pl Unit 200 Richmond BC  V6V 2J1,604-278-4604,541514,Computer systems design and related services (except video game design and development),,36,0
0757765 BC Ltd,Equipment storage and record (file) storage for Tim Hortons with partial office,2560 Shell Rd Unit 1058 Richmond BC  V6X 0B8,604-278-6721,493110,General warehousing and storage,,4,0
0853803 BC Ltd,General contractor - residential,5651 Cathay Rd   Richmond BC  V7C 3E1,604-761-3934,236110,Residential building construction,General Contractor,4,0
0872175 BC Ltd,Restaurant supplies storage,1991 Savage Rd Unit 190 Richmond BC  V6V 0A4,604-808-8821,493110,General warehousing and storage,,1,0
0897914 BC Ltd,Construction & Development Consultant - Residential,9360 Dolphin Ave   Richmond BC  V6Y 1C8,778-881-6729,236110,Residential building construction,General Contractor,1,0
0908206 BC Ltd,Builder/Developer (Residential/Commercial),6086 Russ Baker Way Unit 110 Richmond BC  V7B 1B4,604-279-8033,236220,Commercial and institutional building construction,General Contractor,1,0
0957812 BC Ltd,Providing storage for commercial vehicles,11211 Twigg Pl   Richmond BC  V6V 3C9,604-322-7799,493190,Other warehousing and storage,,1,0
0999167 BC Ltd,General Contractor - residential,11591 Montego St   Richmond BC  V6X 1H5,604-505-9320,236110,Residential building construction,General Contractor,1,0
1 Pro Moving & Shipping,"moving & delivery company
 ",4631 Smith Cr   Richmond BC  V6V 1S5,604-721-4555,484210,Used household and office goods moving,Delivery Services,3,0
1-Bridge Logistics Corp,"Freight brokerage services with a focus on the north american truckload market, export to other provinces or USA from BC, agen/broker",21300 Gordon Way Unit 208 Richmond BC  V6W 1J8,604-284-4285,488519,Other freight transportation arrangement,,8,1
1/2 One Half Bistro,floating restaurant - selling seafood,3540 Bayview St   Richmond BC   ,604-448-7930,722511,Full-service restaurants,Food Service Establishment,4,2
101 Mobility,"Sales office and showroom for mobility and accessibility devices such as stair lifts, wheel chair ramps, patient lifts.",3751 Jacombs Rd Unit 135 Richmond BC  V6V 2R4,604-562-6092,417990,"All other machinery, equipment and supplies merchant wholesalers",Wholesale Trading,2,0
101 Mobility,"Installation of mobility and accessibility devices such as stair lifts, wheel chair ramps, patient lifts.",3751 Jacombs Rd Unit 135 Richmond BC  V6V 2R4,604-562-6092,238990,All other specialty trade contractors,General Contractor,1,2
101 Tech Solutions,"Software programming. Web page developing, computer, mobile application development",9020 Dixon Ave Unit 10 Richmond BC  V6Y 1E4,778-814-8796,541514,Computer systems design and related services (except video game design and development),Home Occupation,1,0
101 Transit Ltd,Renovation of buildings,8651 General Currie Rd Unit 3 Richmond BC  V6Y 1M3,604-270-3389,236220,Commercial and institutional building construction,General Contractor,1,0
1010541 BC Ltd,General Contractor for residential buildings,5540 Colbeck Pl   Richmond BC  V7C 3Z6,604-377-5679,236220,Commercial and institutional building construction,General Contractor,1,0
1010tires.com Inc,Car tires and wheels wholesale. E-Commerce,22091 Fraserwood Way Unit 2000 Richmond BC  V6W 1J5,604-270-4721,415210,Tire merchant wholesalers,Wholesale Trading,12,1
1029020 BC Ltd,New construction of homes and renovations,11140 Bird Rd   Richmond BC  V6X 1N8,604-761-2551,236110,Residential building construction,General Contractor,1,0
103 Apps,Online software development and consulting services,5580 No 3 Rd Unit 807 Richmond BC  V6X 0R8,236-513-7059,511211,Software publishers (except video game publishers),Home Occupation,1,0
1034061 BC Ltd,"Food Prep - cut, cook, marinate vegetables & meat - for restaurants",12811 Rowan Pl Unit 3108 Richmond BC  V6V 2S6,604-897-8955,311990,All other food manufacturing,,6,1
1039186 BC Ltd,Installation of cabinets,11171 Horseshoe Way Unit 11 Richmond BC  V7A 4S5,604-722-7351,238990,All other specialty trade contractors,General Contractor,1,2
1039186 BC Ltd,House - Kitchen & Bathroom - Manufacturing,11171 Horseshoe Way Unit 11 Richmond BC  V7A 4S5,604-722-7351,337127,Institutional furniture manufacturing,,1,2
1040766 BC Ltd,Construction of residential buildings,9731 Pinewell Cr   Richmond BC  V7A 2C7,604-537-6365,236110,Residential building construction,General Contractor,1,0
1041211 BC Ltd,"house building contractor, general contractor, residential",11571 Seafield Cr   Richmond BC  V7A 3J1,604-649-7499,236110,Residential building construction,General Contractor,1,1
1054499 BC Ltd,"Property Leasing & management Consulting , Immigration Consulting Services ",5900 No 3 Rd Unit 800 Richmond BC  V6X 3P7,778-855-0717,541611,Administrative management and general management consulting services,,0,1
1057311 BC Ltd,Investment Consultation / No customer to home,6440 Doulton Ave   Richmond BC  V7C 4Y4,778-840-5211,523930,Investment advice,Home Occupation,1,1
1065456 BC Ltd,Construction related - Project Manager - Residential,6411 Gilbert Rd Unit 318 Richmond BC  V7C 3V8,604-339-2683,236110,Residential building construction,General Contractor,1,0
1073137 BC Ltd,Accountant,5771 No 3 Rd Unit 200 Richmond BC  V6X 2C9,604-821-9890,541212,Offices of  accountants,,3,3
1073803 BC Ltd,Business consulting,6211 Barnard Dr   Richmond BC  V7C 5P8,604-763-5509,541619,Other management consulting services,Home Occupation,0,1
1077816 BC Ltd,Installation of blinds/curtains,3260 Viking Way Unit 3 Richmond BC  V6V 1V3,604-279-2096,238990,All other specialty trade contractors,General Contractor,1,1
10H Plus,Admin office for skin care products,5731 No 3 Rd   Richmond BC  V6X 2C9,778-651-2000,561110,Office administrative services,,8,0
1134092 BC Ltd,Builder,5771 No 3 Rd Unit 110 Richmond BC  V6X 2C9,778-999-5088,236220,Commercial and institutional building construction,General Contractor,1,0
1135979 BC Ltd,making soap and lotions and selling on-line  ,8988 Patterson Rd Unit 1129 Richmond BC  V6X 0R2,778-317-4013,446120,"Cosmetics, beauty supplies and perfume stores",Home Occupation,1,0
1139079 BC Ltd,Vending business - online,7300 Gilbert Rd Unit 109 Richmond BC  V7C 3W2,778-858-5608,419110,Business-to-business electronic markets,Home Occupation,1,0
1141727 BC Ltd,"Bookkeeping, accounting and taxation services",9399 Alexandra Rd Unit 321 Richmond BC  V6X 0L7,604-351-0559,541212,Offices of  accountants,Home Occupation,0,1
1147667 BC Ltd,General Contractor Residential/Commercial,6140 No 1 Rd   Richmond BC  V7C 1T3,604-722-8828,236220,Commercial and institutional building construction,General Contractor,1,0
1155142 BC Ltd,Designated inspection facility for trailers,16160 Blundell Rd   Richmond BC  V6W 0A2,604-515-4688,811199,All other automotive repair and maintenance,,2,0
1157149 BC Ltd,Software development for clients.  Providing AWS Cloud solution for clients.,4851 Wyne Cr   Richmond BC  V6V 2V3,778-855-9763,541514,Computer systems design and related services (except video game design and development),Home Occupation,1,0
1159216 BC Ltd,Online sales of packaging supplies and admin office,12811 Rowan Pl Unit 1116 Richmond BC  V6V 2S6,778-990-9297,418220,Other paper and disposable plastic product merchant wholesalers,Wholesale Trading,30,0
1165702 BC Ltd,Selling cosmetic products,4000 No 3 Rd Unit 2270 Richmond BC  V6X 0J8,778-987-6315,446120,"Cosmetics, beauty supplies and perfume stores",Retail Trading,5,0
1169586 BC Ltd,Beauty Parlour,8260 Westminster Hwy Unit 2160 Richmond BC  V6X 3Y2,604-278-0112,812115,Beauty salons,,4,0
1173402 BC Ltd,"Business consultant - primarily business management, product design & development, software, digital.",5088 Kwantlen St Unit 1502 Richmond BC  V6X 4K5,778-788-3632,523930,Investment advice,Home Occupation,1,0
1177085 BC Ltd,Act as local contact for overseas electrical/electronic componet manufacturers and manage project pipeline,9389 Kingsley Cr   Richmond BC  V7A 4V6,778-995-8180,541330,Engineering services,Home Occupation,2,0
1178620 BC Ltd,Software Development,10451 Shellbridge Way Unit 150 Richmond BC  V6X 2W8,778-522-1517,511211,Software publishers (except video game publishers),,7,0
1187601 BC Ltd,commercial property  management,3631 No 3 Rd Unit 200 Richmond BC  V6X 2B8,,531310,Real estate property managers,Property Management,2,0
1188583 BC Ltd,"Repackaging and wholesaling chinese feng shui products (ornaments, decorations, art)",12811 Rowan Pl Unit 1110 Richmond BC  V6V 2S6,236-818-7037,416390,Other specialty-line building supplies merchant wholesalers,Wholesale Trading,10,10
1193945 BC Ltd,cleaning company (office),8400 Cook Rd Unit 10 Richmond BC  V6Y 1V5,778-891-6891,561722,Janitorial services (except window cleaning),Home Occupation,2,1
1196348 BC Ltd,Automotive wholesaler,21320 Westminster Hwy Unit 2113 Richmond BC  V6V 2X5,604-999-7030,415290,Other new motor vehicle parts and accessories merchant wholesalers,Wholesale Trading,1,0
12 Baskets Nutrition,"Retail Health food, organic food & vitamins",8231 Cambie Rd Unit 110 Richmond BC  V6X 1J8,604-270-1838,445299,All other specialty food stores,Retail Trading,2,2
12 Baskets Nutrition & Health Co,Retail Health Food,8180 No 2 Rd Unit 128 Richmond BC  V7C 5J8,604-270-7831,445299,All other specialty food stores,Retail Trading,6,2
1200382 BC Ltd,Wholesaling of motor vehicles,3691 No 3 Rd   Richmond BC  V6X 2B8,604-233-9299,441110,New car dealers,Automobile Dealer,1,0
1203433 BC Ltd,Vehicle sales/wholesale to general public.  Cars to stored offsite until sale.  Warehouse location Unit 204 - 8363 128 st Surrey.,21320 Westminster Hwy Unit 2118 Richmond BC  V6V 2X5,604-773-9195,441220,"Motorcycle, boat and other motor vehicle dealers",Automobile Dealer,1,0
120616 Consulting Ltd,"currency exchange, money transfer, investment consulting",6068 No 3 Rd Unit 125 Richmond BC  V6Y 4M7,604-278-7857,523130,Commodity contracts dealing,,3,1
1244374 BC Ltd,"Construction of single family dwellings, renovation of single family dwellings as well as commercial",2400 Simpson Rd   Richmond BC  V6X 2P9,604-339-2683,236110,Residential building construction,General Contractor,0,0
1244374 BC Ltd,"Construction of single family dwellings, renovation of single family dwellings as well as commercial",2400 Simpson Rd   Richmond BC  V6X 2P9,604-339-2683,236110,Residential building construction,General Contractor,2,0
1248213 BC Ltd,Admin work for e-commerce and online marketing consultation,11860 Hammersmith Way Unit 128 Richmond BC  V7A 5G1,778-229-3522,561110,Office administrative services,,2,2
1261551 BC LTD,Contracting Consultant,13880 Wireless Way Unit 134 Richmond BC  V6V 0A3,604-935-0863,541990,"All other professional, scientific and technical services",,1,0
1262497 BC Ltd,Online distribution of Health Supplements,3511 Viking Way Unit 3 Richmond BC  V6V 1W1,604-366-1888,311990,All other food manufacturing,,4,0
1272266 BC Ltd,Automobile dealer,8100 Capstan Way Unit 4 Richmond BC  V6X 1R5,778-855-3099,441110,New car dealers,Automobile Dealer,1,0
12801230 Canada Inc.,Wholesale  of restaurant supplies,2631 Viking Way Unit 138 Richmond BC  V6V 3B5,778-986-3882,417920,"Service establishment machinery, equipment and supplies merchant wholesalers",Wholesale Trading,5,0
1305892 BC Ltd,Used vehicle sales,21320 Westminster Hwy Unit 2118 Richmond BC  V6V 2X5,778-682-7913,441120,Used car dealers,Automobile Dealer,2,0
1313773 BC Ltd,RMT (Contractor),7480 Westminster Hwy Unit 100 Richmond BC  V6X 1A1,,621499,All other out-patient care centres,Registered Massage Therapy Clinic,1,0
1316880 BC Ltd,"Logistics company, shipping and receiving goods",13988 Maycrest Way Unit 150 Richmond BC  V6V 3C3,604-719-6223,488519,Other freight transportation arrangement,Delivery Services,1,2
1326873 BC Ltd,Home renovation,6551 Williams Rd Unit 12 Richmond BC  V7E 1K6,778-871-7677,236110,Residential building construction,General Contractor,2,0
1330441 BC Ltd,"General Contractor - flooring, countertop, painting",8160 Lansdowne Rd Unit 1001 Richmond BC  V6X 0A9,,236220,Commercial and institutional building construction,General Contractor,1,0
1331752 BC Ltd,Single family home construction,9691 Alberta Rd Unit 5 Richmond BC  V6Y 1T7,604-339-2683,236110,Residential building construction,General Contractor,2,0
1353169 BC Ltd,Finishing Carpentry,7891 No 1 Rd Unit 303 Richmond BC  V7C 1T7,778-885-0171,238350,Finish carpentry contractors,General Contractor,2,0
14 Oranges Software Inc,Mobile App and Website Development Services,10451 Shellbridge Way Unit 210 Richmond BC  V6X 2W8,604-304-0020,541514,Computer systems design and related services (except video game design and development),,5,2
160 Studio,"Singing and dancing studio, 15 students ",11780 River Rd Unit 160 Richmond BC  V6X 1Z7,604-218-3633,611610,Fine arts schools,Education Institution,1,0
168 My Coffee Ltd,"Service of Coffee, teas and other beverages, sandwiches , snacks, etc",5300 No 3 Rd Unit 924 Richmond BC  V6X 2X9,778-297-7004,722512,Limited-service eating places,"Food Service Establishment, Take-Out",2,0
17 Gaming,Internet Cafe - vending machines - 100 computers - selling snacks/drinks like coffee,4351 No 3 Rd Unit 120 Richmond BC  V6X 3A7,778-223-6705,722310,Food service contractors,"Food Service Establishment, Take-Out",4,4
17 Gaming,"Internet Cafe, vending machines - 80 computers - selling snacks and drinks",4351 No 3 Rd Unit 120 Richmond BC  V6X 3A7,778-223-6705,713120,Amusement arcades,Amusement Centre,4,4
177 Club,"Recreation centre with badminton, table tennis and laser simulator shot pistol and laser simulator shot rifle",11111 Twigg Pl Unit 1033 Richmond BC  V6V 0B7,778-892-0528,713940,Fitness and recreational sports centres,Health Studio,3,3
18 Arts Project Inc,"Art studio, graphic design, consultant, e-commerce",11420 Blacksmith Pl   Richmond BC  V7A 4X1,,541430,Graphic design services,,2,2
1922103 Ontario Inc,Fruit and vegetable distribution - wholesale,2551 No 6 Rd Unit 1135 Richmond BC  V6V 1P3,604-285-9757,413150,Fresh fruit and vegetable merchant wholesalers,Wholesale Trading,5,0
