Business Name,Products or Services,Unit,House Number,Road,Postal Code,Phone,Town Centre,Longitude,Latitude
Stablefly Design,Design Serv.,118,13806,Central Ave,V3T1R9,,SCC,-122.8394985,49.18916104
Eden Electric Ltd,Contractor - Electrical ,79,13766,Central Ave,V3T1R9,,SCC,-122.8408481,49.18927716
Fox Star Construction Ltd,Contractor - Construction,,14377,123A St,V3W1S3,,NTC,,
A & A Satellite Express Ltd,Satellite Cont.,,262,127 St,V4A3S2,,SSTC,,
Visual Art Concrete,Mold making and concrete production is at a facility in Langley ,2007,,151A St,V4A7C6,,SSTC,,
Pro Image Painting,Contractor - Painting,,7415,65A Ave,V3W7L3,,NTC,,
Russcat Electrical Civil Contractors Inc,"Site Development, Excavation Cont.",,2638,Croydon Dr,V3S0C5,,SSTC,,
eBusiness Advantage Canada Inc,Computer Software Consulting and Development,C401,9848,East Whalley Ring Rd,V3T5S8,,SCC,,
The Body Shop,Natural Cosmetics,,2542,Guildford Town Centre,V3R7C1,6045885440,GTC,,
Pink Cosmos Designs,Home Crafts,22,9088,Holt Rd,V3V4H3,,WTC,-122.889864,49.16871563
Ganaan Highland Manufacturing Ltd ,Manufacturing: Design and products for bagpipes and drums ,,10155,Mary Dr,V3V3B8,,WTC,-122.8733448,49.18720264
1082780 BC Ltd,Contractor: Renovations,,10078,Mary Dr,V3V3B7,,WTC,-122.8717761,49.18580838
Bikaner Indian Cuisine &  Sweets,Restaurant - No Alcohol,109,15161,56 Ave,V3S9A5,,NTC,-122.8025301,49.10471729
Spice Kings Bistro Ltd,Restaurant - No Alcohol,102,15325,56 Ave,V3S0X9,,NTC,-122.798429,49.10524442
World Financial Group,Financial Planning/Consultant,305,14928,56 Ave,V3S2N5,,NTC,-122.8089677,49.1042299
Cora Breakfast and Lunch Surrey,Restaurant - No Alcohol,101/,15133,56 Ave,V3S9A5,,NTC,-122.8057861,49.10516994
Sweet Avenue Bakery,Bakery,135,17455,56 Ave,V3X2X6,,CTC,-122.7395975,49.10436862
Virtue Kennels,Hobby Kennel - 3 Dogs,,14246,56 Ave,V3X3A6,,NTC,-122.8276301,49.10433227
Zappone Trucking,"Trucking & Cartage, Excavating Contractor",,18571,56 Ave,V3S8J3,,CTC,-122.7079814,49.10436243
Van Metro Consulting Ltd,Financial Planning/Consultant,311,17750,56 Ave,V3S1K4,,CTC,-122.7304217,49.10394114
I T M Home Construction Ltd,Contractor - Construction,,14466,56 Ave,V3X1B6,,NTC,-122.8206918,49.10423565
H D Drilling,"Contractor - Drilling, Excavating, Shoring",,15926,56 Ave,V3S2J7,,NTC,-122.7809517,49.10423448
Finish Line Kinesiology,Kinesiologist - NOBILE ONLY ,,16212,56 Ave,V3S2J7,,CTC,-122.7733104,49.10423198
Collaborative Accounting Services,Bookkeeping,,14452,56 Ave,V3X0H5,,NTC,-122.821293,49.10423083
Webuyanything WS Sales Ltd,Trucking & Cartage,,13270,58 Ave,V3X2R2,,NTC,-122.8549134,49.10801992
Wineberry Fabrics ,Mail Order - Fabric,,13482,58 Ave,V3X2R4,,NTC,-122.8490181,49.1080153
Tesla Motors Canada ULC | Sales Service Delivery,Automobile Dealer/Rebuilder,,19505,Hwy 10,V3S6K1,,CTC,-122.6832319,49.10880523
Tan Garden Services,Contractor--Landscaping,,12464,Park Dr,V3V3B1,,WTC,-122.8769038,49.18700968
S F Building Services ,Contractor: General ,,12431,Park Dr,V3V3A9,,WTC,-122.877771,49.18724448
Evershine Professional Painting Ltd,Contractor - Painting,,12474,Park Dr,V3V3B1,,WTC,-122.8766767,49.18703504
D F M Technology Inc,Computer Consultant,,10043,Park Dr,V3V3A5,,WTC,-122.8750929,49.18511391
Voob Construction & Maintenance Ltd,Contractor - General Contractor,,14240,Park Dr,V3R5N9,,SCC,-122.8273766,49.20347017
A S A P Plumbing & Heating Ltd,"Plumbing/Heating Cont.,Inter-Municipal Business License Metro,Plumbing & Heating Contractor",,14362,Park Dr,V3R5P3,,SCC,-122.8240317,49.20328682
Sunshine Overall Services Inc,Contractor - Landscaping,,14363,Park Dr,V3R5P2,,SCC,-122.8240233,49.20360783
Goldrock Enterprise Ltd,Contractor - Landscaping/Excavating,,13830,Park Dr,V3R5N4,,SCC,-122.8391083,49.20544576
G l Truck & Crane Service,Trucking & Cartage,,14206,Park Dr,V3R5N9,,SCC,-122.8285632,49.20371807
Northwest Driving School Ltd,Driving School,,7738,Todd Cr,V3W7N6,,NTC,,
Turkey Party Makers Ltd,Whlse. Paper & Plastic Products,,17950,55 Ave,V3S6C8,6045761467,CTC,-122.7250558,49.10222432
Cloverdale Curling Club,Lounge,,6150,176 St,V3S4E7,6045744483,CTC,-122.7349085,49.11384222
Jet Bindery Ltd,"Bindery & Mail House,Dispatch office",101,17910,55 Ave,V3S6C8,6045761118,CTC,-122.7259133,49.10222517
Westower Communications Ltd,"Communication Tower Cont.,Construction - Communication Towers",,17886,55 Ave,V3S6C8,,CTC,-122.7264278,49.10222568
Phoenix Autobody,Auto Body Repair,12,17921,55 Ave,V3S6C4,,CTC,-122.7256988,49.10227893
M R Smith Limited ,Whlse. Bulk Petroleum,,17979,55 Ave,V3G6C4,,CTC,-122.7244555,49.1022777
Comfort Tec Industries Ltd,"Mfg. - Upholstery, Re-upholstery & Furniture Sales",9,17942,55 Ave,V3S6C8,,CTC,-122.7252273,49.10222449
