CITY,NAME,ADDRESS,POSTALCODE
PRINCE GEORGE,Pacific Western Brewing Company,641 NORTH NECHAKO RD,V2K4M4
OSOYOOS,Bordertown Vineyards,9140 92ND AVENUE,V0H1V2
CHILLIWACK,Whispering Horse Winery,43721 VEDDER MTN. ROAD,V2R4C5
KELOWNA,Okanaganvilla Estate Winery,3240 POOLEY ROAD,V1W4G7
OLIVER,Church & State Wines (Black Sage),31120 87TH STREET,V0H1T0
KEREMEOS,Corcelettes Estate Winery,2582 UPPER BENCH ROAD,V0X1N4
DUNCAN,Blue Grouse Vineyards,4365 BLUE GROUSE ROAD AND 2182 LAKESIDE ROAD,V9L6M3
VANCOUVER,City Side Winery,328 WEST 2ND AVENUE,V5Y1C8
WEST KELOWNA,Volcanic Hills Estate Winery,2845 BOUCHERIE ROAD,V1Z2G6
OLIVER,Orchard Hill Estate Cidery,3480 FRUITVALE WAY,V0H1T0
KELOWNA,Travelling Vines Winery,UNIT 4  8860 JIM BAILEY CRESCENT,V4V2L7
WEST KELOWNA,Truck 59 Ciderhouse,3887 BROWN ROAD,V4T2J3
RICHMOND,Aurora Winery,120 - 6753 GRAYBAR ROAD,V6W1H7
OLIVER,Church & State Wines Inc.,31078 HIGHWAY # 97,V0H1T0
SAANICHTON,Sea Cider,2487 MT. ST. MICHAEL ROAD,V8S2H4
PENTICTON,Township 7 Vineyards & Winery,1450 MCMILLAN AVENUE,V2A8T3
PEACHLAND,HAINLE VINEYARDS ESTATE WINERY,5355 TREPANIER BENCH RD,V0H1X0
OSOYOOS,Faustino Estate Cidery,14014 97TH STREET,V0H1V2
LANGLEY,Great Fraser Valley Wine Ltd.,23771 - 0 AVENUE,V2Z2X4
MILL BAY,Unsworth Vineyards,2915 CAMERON-TAGGART ROAD,V0R1L0
LOGAN LAKE,Left Field Cider Company,8821 HIGHWAY 97 C,V0K1W0
OLIVER,Platinum Bench Estate Winery,30640 BLACK SAGE RD,V0H1T0
KEREMEOS,Robin Ridge Winery,2686 MIDDLE BENCH ROAD,V0X1N2
SUMMERLAND,Heaven's Gate Estate Winery,8001 HAPPY VALLEY ROAD,V0H1Z0
SUMMERLAND,Sleeping Giant,6206 CANYON VIEW ROAD,V0H1Z7
OLIVER,Maverick Estate Winery,3986 HIGHWAY 97,V0H1T1
COBBLE HILL,Merridale Cider,1230 MERRIDALE RD.,V0R1L0
PENTICTON,Kanazawa Winery,1465 MCMILLAN AVE,V2A8T4
KELOWNA,Camelot Vineyards Ltd.,3489 EAST KELOWNA ROAD,V1W4H1
CRESTON,Baillie-Grohman Estate Winery,1140 27TH AVENUE SOUTH,V0B1G1
