OBJECTID,Name,Address,Category,Jurisdiction,Comment,geometry,lon,lat
1,Sobey's,1160 FINDLAY BLVD,Primary,Riverview,General Groceries,POINT (-64.79473783661511 46.049393197526584),-64.79473783661511,46.049393197526584
2,Superstore,429 COVERDALE RD,Primary,Riverview,General Groceries,POINT (-64.80128763520871 46.06540486440877),-64.80128763520871,46.06540486440877
3,Superstore,89 TRINITY DR,Primary,Moncton,General Groceries,POINT (-64.83245763552408 46.118430650312746),-64.83245763552408,46.118430650312746
4,Sobey's,55 VAUGHAN HARVEY BLVD,Primary,Moncton,General Groceries,POINT (-64.78783320641128 46.08453440743264),-64.78783320641128,46.08453440743264
5,Superstore,165 MAIN ST,Primary,Moncton,General Groceries,POINT (-64.76863098227922 46.09382865683188),-64.76863098227922,46.09382865683188
6,Sobey's,477 PAUL ST,Primary,Dieppe,General Groceries,POINT (-64.76296767662005 46.09528171263085),-64.76296767662005,46.09528171263085
7,Sobey's,501 REGIS ST,Primary,Dieppe,General Groceries,POINT (-64.75839665443118 46.09841057189041),-64.75839665443118,46.09841057189041
8,Sobey's,77 FILLES DE JESUS AVE,Primary,Moncton,General Groceries,POINT (-64.76808283886898 46.12276105898602),-64.76808283886898,46.12276105898602
9,Sobey's,1380 MOUNTAIN RD,Primary,Moncton,General Groceries,POINT (-64.83241061462665 46.10922506519814),-64.83241061462665,46.10922506519814
10,IGA,615 DIEPPE BLVD,Primary,Dieppe,General Groceries,POINT (-64.70067072399374 46.09630428755962),-64.70067072399374,46.09630428755962
11,Costco,140 GRANITE DR,Primary,Moncton,General Groceries,POINT (-64.77868539083015 46.12916349563233),-64.77868539083015,46.12916349563233
12,Wal-Mart,25 PLAZA BLVD,Primary,Moncton,General Groceries,POINT (-64.8294174129749 46.11449116573546),-64.8294174129749,46.11449116573546
13,Wal-Mart,477 PAUL ST,Primary,Dieppe,General Groceries,POINT (-64.76084044243137 46.09706470059082),-64.76084044243137,46.09706470059082
14,Giant Tiger,165 MAIN ST,Secondary,Moncton,Limited Groceries,POINT (-64.76850966792905 46.09439730651448),-64.76850966792905,46.09439730651448
