FID,Name,Type,Manager,Address,Phone,geometry,lon,lat
1,Bioscript Pharmacy,Community Pharmacy,Andrea Walsh,585 Mapleton Road Suite 202,(506) 204-7581,POINT (-64.82994743827028 46.12494947950092),-64.82994743827028,46.12494947950092
2,Cameron Street Clinic,Community Pharmacy,Kimberley Olscamp,107 Cameron Street P.O. Box 792,(506) 858-0287,POINT (-64.78849413813778 46.08853959156969),-64.78849413813778,46.08853959156969
3,Costco Pharmacy,Community Pharmacy,Colin Enman,"140 Granite Drive, Moncton NB",Phone: (506) 317-0433,POINT (-64.77839915109156 46.129302643836546),-64.77839915109156,46.129302643836546
4,CSC Atlantic Regional Pharmacy,Institutional Pharmacy,Charline Cormier,"859 Main Street, Moncton NB",(506) 851-6386,POINT (-64.78001561875057 46.08813715459324),-64.78001561875057,46.08813715459324
5,Ford's Family Pharmacy & Wellness Centre,Community Pharmacy,Peter R. Ford,"544 St. George Blvd, Moncton NB",(506) 853-0830,POINT (-64.79777184022421 46.08750225630511),-64.79777184022421,46.08750225630511
6,Healthconnect Pharmacy,Community Pharmacy,Suellen Dunn,"10 Desbrisay Avenue, Unit 2, Moncton NB",(506) 867-9854,POINT (-64.87098752636501 46.0959309745469),-64.87098752636501,46.0959309745469
7,Innomar Pharmacy Inc.,Community Pharmacy,Crystal Parker,"100 Arden Street, Suite 309, Moncton NB",(506) 860-3428,POINT (-64.80622631829971 46.10593189717023),-64.80622631829971,46.10593189717023
8,Jean Coutu Pharmacy,Community Pharmacy,Monte Steeves,"1789 Mountain Road North, Moncton NB",(506) 387-9001,POINT (-64.79031811849454 46.08926822603681),-64.79031811849454,46.08926822603681
9,Lawton's Drugs,Community Pharmacy,Stephanie Estey,"565 Elmwood Drive, Moncton NB",(506) 386-3408,POINT (-64.77059156015041 46.12263236547204),-64.77059156015041,46.12263236547204
10,Lawtons Drugs # 141,Community Pharmacy,Stephanie Estey,"800 Mountain Road Suite 101, Moncton NB",(506) 386-3408,POINT (-64.80674624845277 46.09923636857787),-64.80674624845277,46.09923636857787
11,Lawtons Drugs # 147,Community Pharmacy,Rebecca Auffrey,"40 Mapleton Road, Moncton NB",(506) 857-9919,POINT (-64.82305309200483 46.107445161938465),-64.82305309200483,46.107445161938465
12,Loblaw Pharmacy # 326,Community Pharmacy,James Swetnam,"89 Trinity Drive, Moncton NB",(506) 383-4955,POINT (-64.83248128984226 46.1184008665338),-64.83248128984226,46.1184008665338
13,"
Loblaw Pharmacy",Community Pharmacy,,"165 Main Street, Moncton NB",(506) 852-2069,POINT (-64.76857402966576 46.09381427269051),-64.76857402966576,46.09381427269051
14,Mapleton Pharmacy,Community Pharmacy,Bradley Steeves,"500 Mapleton Road Suite 120, Moncton NB",(506) 855-2210,POINT (-64.82953405155205 46.12066346012452),-64.82953405155205,46.12066346012452
15,McKesson Specialty Prescription Services,Community Pharmacy,Kristian Jensen-Ouellette,"290 Frenette Ave, Moncton NB",(506) 777-1240,POINT (-64.72671121664496 46.13594807658557),-64.72671121664496,46.13594807658557
16,Medicine Shoppe Pharmacy # 294,Community Pharmacy,Georgina Hubbard,"1685 Main Street, Moncton NB",(506) 854-2010,POINT (-64.79680957816838 46.07951852707928),-64.79680957816838,46.07951852707928
17,Pharmacie - Hopital Dr. Georges-L. Dumont,Institutional Pharmacy,Melanie Cote,"330 Avenue Uiversite, Moncton NB",(506) 862-4200,POINT (-64.78717110680086 46.098065685659684),-64.78717110680086,46.098065685659684
18,Pharmacy - The Moncton Hospital,Institutional Pharmacy,Natalie Branch,"135 Macbeath Avenue, Moncton NB",,POINT (-64.80564891390517 46.10480409326102),-64.80564891390517,46.10480409326102
19,Phoenix Center,Community Pharmacy,,"353 High Street, Moncton NB",(506) 854-4673,POINT (-64.79338990451765 46.09592140872053),-64.79338990451765,46.09592140872053
