dROLLNMBR,BUSINESSNAME,MUNICIPAL ADDRESS,MUNICIPAL ADDRESS2,MUNICIPAL ADDRESS3,BUSINESSTYPE,PHONE,EMAILADDRESS
549004100,1-2-3 Grow Dayhome                                 ,           ,119,GWILLIAM CRES            ,Dayhomes - Regulated           ,9.03E+13,hkcanadian04@yahoo.ca                                                                                                                                                                                    
906004000,102643 Aviation Ltd O/A Ursus Aviation             ,           ,145,BRISTOL AVE              ,Aircraft Leasing & Charter     ,8.68E+13,beaijensen54@yahoo.com                                                                                                                                                                                   
135002000,11570277 Canada Ltd O/A Circle K                   ,           ,5000,FORREST DR               ,Convenience Stores (tobacco)   ,8.68E+13,singhsukhwinder5544@gmail.com                                                                                                                                                                            
31000501,1190879 Alberta Ltd o/a Gold Range Hotel           ,           ,5010,50 ST                    ,Hotels/Motels                  ,8.68E+13,goldrangehotel@gmail.com                                                                                                                                                                                 
906001100,14500 NWT Ltd. O/A Quiznos                         ,           ,100-102    ,IDAA ROAD                ,Restaurant/Cafe (No Liquor)    ,8679207827work       ,ykquiznos@gmail.com                                                                                                                                                                                      
               ,1623996 Alberta Ltd O/A Nutec Electro Tel          ,           ,           ,                         ,Communication Services         ,8.01E+13,sales@nutecelectrotel.com                                                                                                                                                                                
19000200,283605 Canada Ltd. O/A P&P Intergration            ,           ,3603,50 AVE                   ,Electricians                   ,8.68E+13,allanhjelmeland@gmail.com                                                                                                                                                                                
564003300,360 Contracting                                    ,           ,193,MAGRUM CRES              ,Electrical Retail              ,8.67E+13,ryan@360-contracting.com                                                                                                                                                                                 
504001000,3D Management & Financial Services                 ,           ,483,RANGE LAKE RD            ,Financial Services             ,8.68E+13,3d.management@northwestel.net                                                                                                                                                                            
1001059200,3JS                                                ,           ,592,CATALINA DR              ,Handyman                       ,8.67E+13,justdoit3js@gmail.com                                                                                                                                                                                    
4003500,4763 NWT Ltd                                       ,           ,3506,MCDONALD DR              ,Holding Companies              ,8.68E+13,michelle.gillis@aurorageosciences.com                                                                                                                                                                    
563000700,4893 NWT Ltd O/A Polar Fuels                       ,           ,349,OLD AIRPORT RD           ,Delivery Services              ,8.68E+13,polarfuels@theedge.ca                                                                                                                                                                                    
21100101,4912 NWT (Explorer Hotel)                          ,           ,4825,49 AVE                   ,Hotels/Motels                  ,7.81E+13,gm@explorerhotel.ca                                                                                                                                                                                      
21100101,4912 NWT Limited O/A Traders Grill                 ,           ,4825,49 AVE                   ,Family Restaurant (Liquor)     ,8.68E+13,gm@explorerhotel.ca                                                                                                                                                                                      
21100101,4912 NWT Limited O/A Traders Grill                 ,           ,4825,49 AVE                   ,Family Restaurant (Liquor)     ,8.68E+13,gm@explorerhotel.ca                                                                                                                                                                                      
21100101,4912 NWT Limited O/A Trapline Lounge               ,           ,4825,49 AVE                   ,Lounges & Bars                 ,8.68E+13,gm@explorerhotel.ca                                                                                                                                                                                      
21100101,4912 NWT Limited O/A Trapline Lounge               ,           ,4825,49 AVE                   ,Lounges & Bars                 ,8.68E+13,gm@explorerhotel.ca                                                                                                                                                                                      
504001000,4956 NWT Ltd                                       ,           ,483,RANGE LAKE RD            ,Convenience Stores (tobacco)   ,8674452983home       ,nwt4956ltd@yahoo.com                                                                                                                                                                                     
28000201,4956 NWT Ltd c/o Discovery Inn                     ,           ,4701,47 ST                    ,Hotels/Motels                  ,8678734151work       ,discoveryinn@theedge.ca                                                                                                                                                                                  
556012200,5037 NWT Ltd (Numac Dev Corp)                      ,           ,1,BARTESKO CRT             ,Rental & Storage Services      ,8.68E+13,frontdesk@tcent.com                                                                                                                                                                                      
               ,503758 NWT Ltd O/A The Wildcat Cafe                ,           ,3507,Wiley RD                 ,Family Restaurant (Liquor)     ,8.67E+13,bullocksbistro@gmail.com                                                                                                                                                                                 
531000400,506465 NWT Ltd. O/A Arctic Express II              ,           ,124,KAM LAKE RD              ,Delivery Services              ,8674453974work       ,pjs@theedge.ca                                                                                                                                                                                           
27002800,506548 NWT Ltd. O/A Yellowknife Apartments         ,           ,4906,53 ST                    ,Property Management & Services ,8.67E+13,kim.knutson@century21.ca                                                                                                                                                                                 
310000103,506639 NWT Ltd O/A The Cliff                       ,           ,4570,48 ST                    ,Restaurant/Cafe (No Liquor)    ,8.68E+13,thecliff@ssimicro.com                                                                                                                                                                                    
162000900,506701 NWT Ltd. o/a Bento Sushi                    ,           ,250,OLD AIRPORT RD           ,Restaurant/Cafe (No Liquor)    ,8.67E+13,yalinbento@gmail.com                                                                                                                                                                                     
531003000,506822 NWT LTD O/A Best Movers (RCM Transport)     ,           ,162,KAM LAKE RD              ,Trucking/Hauling               ,8.67E+13,info@ykbestmovers.com                                                                                                                                                                                    
531003000,506822 NWT Ltd O/A Dash Event Designs & Rentals    ,           ,162,KAM LAKE RD              ,Speciality                     ,8.67E+13,info@ykbestmovers.com                                                                                                                                                                                    
608003200,506856 NWT Inc                                     ,           ,27,CON PLACE                ,Contractors                    ,8674470023cell       ,mike.506856nwt@gmail.com                                                                                                                                                                                 
28000201,506905 NWT Ltd O/A Aurora Emporium Art Gallery     ,           ,4701,50 AVE                   ,Arts and Crafts                ,8.68E+13,auroraemporiumartgallery@gmail.com                                                                                                                                                                       
29001500,506907 NWT Ltd O/A YK Hotpot                       ,           ,5019,49 ST                    ,Restaurant/Cafe (No Liquor)    ,8.68E+13,admin@ykhotpot.com                                                                                                                                                                                       
512002300,506975 NWT Ltd O/A Mary Brown's                    ,           ,335,OLD AIRPORT RD           ,Restaurant/Cafe (No Liquor)    ,8.67E+13,pjs@theedge.ca                                                                                                                                                                                           
31002600,506992 NWT Ltd O/A Cabin Radio                     ,           ,5007,50 AVE                   ,Consultants                    ,8.68E+13,mailbox@cabinradio.ca                                                                                                                                                                                    
               ,507041 NWT LTD O/A Reddi Mart 2016 Ltd             ,60,5014,49 St                    ,Convenience Stores (tobacco)   ,8.68E+13,ykreddimart@yahoo.com                                                                                                                                                                                    
               ,507044 NWT Ltd O/A The Nineteenth Hole             ,           ,           ,                         ,Restaurant/Cafe (No Liquor)    ,8.68E+13,dinham@live.ca                                                                                                                                                                                           
21001401,507063 NWT LTD O/A Yellowknife Tattoo              ,           ,4919,48 ST                    ,Tattoo Parlor                  ,0,harleyshardrocksaloonyk@gmail.com                                                                                                                                                                        
21001401,507063 NWT Ltd O/A Harley's Hardrock Saloon        ,           ,4919,48 ST                    ,Adult-Orientated Entertainment ,0,harleyshardrocksaloonyk@gmail.com                                                                                                                                                                        
24002700,507063 NWT Ltd O/A Shirt Shack                     ,B          ,5014,50 AVE                   ,Apparel                        ,0,harleyshardrocksaloonyk@gmail.com                                                                                                                                                                        
560002300,507070 NWT Ltd O/A H2 Solutions                    ,           ,484,RANGE LAKE RD            ,Property Management & Services ,8.67E+13,paul@h2-solutions.ca                                                                                                                                                                                     
23002800,507121 NWT Ltd O/A Miniso Canada Yellowknife       ,           ,4916,49 ST                    ,Gen. Mixed Retail/ Dept. Store ,0,minisoyellowknife@gmail.com                                                                                                                                                                              
39002400,507162 NWT Ltd O/A Barren Ground Coffee            ,A          ,5103,52 ST                    ,Manufactiring                  ,8.68E+13,eric@barrengroundcoffee.com                                                                                                                                                                              
35001800,507166 NWT Ltd O/A LCK Dragon Import & Export      ,           ,5115,48 ST                    ,Home & Garden                  ,8.67E+13,leonorekwong@outlook.com                                                                                                                                                                                 
516004329,507218 NWT LTD O/A Propertyguys.com                ,           ,49,GOLD CITY CRT            ,Real Estate                    ,8.56E+13,asuri@propertyguys.com                                                                                                                                                                                   
28000800,507229 NWT LTD                                     ,           ,5016,47 ST                    ,Bookkeepers                    ,8.67E+13,admin@connietaylor.ca                                                                                                                                                                                    
