Name,Effective Date,Community,Region
3017885 Canada Inc. o/a Illutsataarvik,2021-08-18,Iqaluit,Qikiqtaaluk
4660 Nunavut Ltd,2020-03-10,Gjoa Haven,Kitikmeot
5027 Nunavut Ltd.,2021-05-05,Arctic Bay,Qikiqtaaluk
506521 NWT Ltd.,2021-12-20,Iqaluit,Kivalliq
5140 Nunavut Ltd. O/A Qillaq Innovations,2021-02-11,Cambridge Bay,Kitikmeot
5550 Nunavut Ltd,2021-02-18,Iqaluit,Qikiqtaaluk
5575 Nunavut Ltd. o/a Amaruq Consulting Co.,2021-01-28,Baker Lake,Kivalliq
5581 Nunavut Ltd.,2020-03-03,Iqaluit,Qikiqtaaluk
5673 Nunavut Ltd.,2020-03-11,Iqaluit,Qikiqtaaluk
6999514 Canada Inc. o/a KCM Maintenance & Construction,2020-06-30,Iqaluit,Qikiqtaaluk
943557 N.W.T. Ltd. o/a Arctic Fuel Services Ltd.,2021-06-16,Baker Lake,Kivalliq
953731 N.W.T. Ltd. - Resolute Bay,2020-03-06,Resolute Bay,Qikiqtaaluk
953731 NWT Ltd - Rankin Inlet - Head Office,2020-03-06,Rankin Inlet,Kivalliq
Ajungi Arctic Consulting,2020-06-02,Iqaluit,Qikiqtaaluk
AKAT Consulting,2020-03-05,Iqaluit,Qikiqtaaluk
Akiuq Corporation,2021-03-19,Iqaluit,Qikiqtaaluk
Aksut Media Ltd.,2021-02-11,Iqaluit,Qikiqtaaluk
Allurvik,2021-07-23,Iqaluit,Qikiqtaaluk
Ambrose Livingstone o/a Livingstone Architect,2021-12-16,Iqaluit,Qikiqtaaluk
Anthony Mercredi o/a Top Notch Services,2020-09-16,Rankin Inlet,Kivalliq
Aqsarniit Hotel and Conference Centre Inc.,2021-07-19,Iqaluit,Qikiqtaaluk
Arctic Circle Construction Ltd.,2021-01-26,Iqaluit,Qikiqtaaluk
Arctic Fresh Projects Inc.,2021-03-09,Igloolik,Qikiqtaaluk
Arctic Heating & General Contracting Ltd.,2020-06-30,Rankin Inlet,Kivalliq
Arctic Kingdom Inc.,2021-02-18,Iqaluit,Qikiqtaaluk
Arctic UAV Inc.,2020-03-20,Iqaluit,Qikiqtaaluk
ArcticDeco Interior Design,2020-03-13,Iqaluit,Qikiqtaaluk
Arqvartuuq Services Ltd.,2021-01-06,Arctic Bay,Qikiqtaaluk
Aulajuq Limited - Chesterfield Inlet,2020-03-13,Chesterfield Inlet,Kivalliq
Aulajuq Limited - Rankin Inlet (Head Office),2022-02-01,Rankin Inlet,Kivalliq
Aurora Energy Solutions Inc.,2021-01-19,Cambridge Bay,Kitikmeot
AV Nunavut Fuels Inc. - Rankin Inlet - Head Office,2020-07-08,Rankin Inlet,Kivalliq
Baffin Central Construction Inc.,2020-03-13,Iqaluit,Qikiqtaaluk
Baker Bros Services,2020-06-30,Arviat,Kivalliq
Baker Lake Contracting & Supplies Ltd.,2020-07-23,Baker Lake,Kivalliq
Beat's Treats,2020-07-23,Iqaluit,Qikiqtaaluk
Black Diamond Nunavut Ltd.,2020-11-16,Pond Inlet,Qikiqtaaluk
C&C Consulting,2021-08-20,Baker Lake,Kivalliq
C&K Services Ltd.,2021-10-12,Iqaluit,Qikiqtaaluk
C&R Mechanical Ltd.,2021-11-09,Iqaluit,Qikiqtaaluk
Canadrill Limited - Iqaluit - Head Office,2020-05-20,Iqaluit,Qikiqtaaluk
Chickweed Arts,2020-09-04,Iqaluit,Qikiqtaaluk
CHOU Consulting & Development Inc. o/a The Ublu Inn,2020-04-28,Cambridge Bay,Kitikmeot
Combustion Performance Inc.,2021-02-26,Iqaluit,Qikiqtaaluk
Curley Construction Corporation,2021-10-26,Rankin Inlet,Kivalliq
D & EL Inc.,2020-11-09,Iqaluit,Qikiqtaaluk
Dancing Bear Plumbing Heating General Contracting Inc.,2020-10-21,Cambridge Bay,Kitikmeot
E&L Janitorial Services Ltd.,2021-08-12,Iqaluit,Qikiqtaaluk
EPLS Cargo and Equipment Ltd.,2021-02-17,Arviat,Kivalliq
EPLS Maintenance and Services Ltd,2021-12-03,Rankin Inlet,Kivalliq
EPLS Store LTD - Arviat (Head Office),2021-02-08,Arviat,Kivalliq
EPLS Store LTD - Rankin Inlet,2020-07-08,Rankin Inlet,Kivalliq
Flaherty Holdings Inc.,2021-09-27,Iqaluit,Qikiqtaaluk
Hall Beach Co-operative Association Limited also Hall Beach Inns North,2021-01-26,Hall Beach,Qikiqtaaluk
Hatku Ltd,2021-07-19,Cambridge Bay,Kitikmeot
HIKU Projects Ltd.,2020-07-07,Cambridge Bay,Kitikmeot
