OBJECTID,Fax_Number,City,Province,Geo_X,Geo_Y,Business_Id,Business_Name,Site_Postal_Code,Created_Date,Updated_Date,NAICSCode,NAICSCode_Desc,Telephone_Number,Web_Address,Mailing_Address1,Mailing_Address2,Mailing_City,Mailing_Province,Mailing_Country,Mailing_Postal_Code,Unit_Number,Business_Description,Street_Number,Street_Name,Street_Type,Street_Direction,Municipality,geometry,lon,lat
36571,,Whitby,Ontario,665534.87,4862785.96,11289,Village Grocery,L1N8Y9,2019-05-01,,452999.0,All other miscellaneous general merchandise stores,9054302654,,,,,,,L1N8Y9,12,Variety store.,701,Rossland,Road,East,Whitby,POINT (-78.9387984785121 43.89959118016333),-78.9387984785121,43.89959118016333
36572,,Oshawa,Ontario,671236.87,4863474.55,6048,Parkwood National Historic Site (the R.S. McLaughlin Estate),L1G4T5,2019-05-08,2019-08-22,712120.0,Historic and heritage sites,9054334311,www.parkwoodestate.com,,,,,,L1G4T5,,"National historic site, community museum, tours, special events, filming.",270,Simcoe,Street,North,Oshawa,POINT (-78.86762503842776 43.90448430719436),-78.86762503842776,43.90448430719436
36573,9054322372,Oshawa,Ontario,671949.99,4862649.16,4296,Tribute Communities Centre,L1H1J8,2019-05-08,2019-08-22,713991.0,"Sports clubs, teams and leagues performing before a non-paying audience",9054388811,,,,,,,L1H1J8,,Multi-purpose arena.,99,Athol,Street,East,Oshawa,POINT (-78.85901708982726 43.89689194639331),-78.85901708982726,43.89689194639331
36574,,Ajax,Ontario,659103.29,4857200.14,1698,Ajax Town Hall,L1S2H9,2019-05-08,,913910.0,"Other local, municipal and regional public administration",9056834550,,,,,,,L1S2H9,,Town administration for Ajax.,65,Harwood,Avenue,North,Ajax,POINT (-79.0205000298348 43.85074439310905),-79.0205000298348,43.85074439310905
36575,,Ajax,Ontario,659141.177,4860352.826,173634,Ajax Operations Centre,L1T0H4,2019-05-08,2019-05-08,913910.0,"Other local, municipal and regional public administration",9056832951,,,,,,,,,Town of Ajax operations centre.,800,Salem,Road,North,Ajax,POINT (-79.01908935831509 43.879105167460764),-79.01908935831509,43.879105167460764
36576,,Ajax,Ontario,659063.81,4857275.0,374835,Ajax Library - Main Branch,L1S2H9,2019-05-08,,519121.0,Libraries,9056834000,,,,,,,,,Ajax library - Main branch.,55,Harwood,Avenue,South,Ajax,POINT (-79.02096865220717 43.85142651677007),-79.02096865220717,43.85142651677007
36577,,Ajax,Ontario,657738.09,4858835.61,1998,Mclean Community Centre,L1T4M5,2019-05-08,,913910.0,"Other local, municipal and regional public administration",9054287711,,,,,,,L1T4M5,,Community centre and Maclean public library.,95,Magill,Drive,,Ajax,POINT (-79.03699249259599 43.86575398196896),-79.03699249259599,43.86575398196896
36578,,Ajax,Ontario,657738.09,4858835.61,1997,Town of Ajax Library - Mclean Branch,L1T4M5,2019-05-08,,519121.0,Libraries,9056834000,www.ajaxlibrary.ca,,,,,,L1T4M5,,Library.,95,Magill,Drive,,Ajax,POINT (-79.03699249259599 43.86575398196896),-79.03699249259599,43.86575398196896
36579,,Ajax,Ontario,656149.58,4857816.57,374836,Ajax Public Library - Village Branch,L1T2W4,2019-05-08,,519121.0,Libraries,9056831140,,,,,,,,,Ajax Public Library - Village Branch.,58,Church,Street,North,Ajax,POINT (-79.05704773999743 43.85692191633665),-79.05704773999743,43.85692191633665
36580,,Ajax,Ontario,659127.464,4855954.843,173628,Ajax Community Centre,L1S4S4,2019-05-08,,913910.0,"Other local, municipal and regional public administration",9054278811,,,,,,,,,Community recreation centre.,75,Centennial,Road,,Ajax,POINT (-79.02057016049616 43.83953353425372),-79.02057016049616,43.83953353425372
