OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
1,14 286590 07 1K,Food Shop,Basic,002423605 BULK BARN FOODS LTD O/A BULK BARN,1187 BARTON ST E U HAMILTON ON L8H 2V4,2022/09/10 00:00:00+00
2,19 296636 02 1K,Food Shop,Basic,002624480 ONTARIO INC O/A HEALTHY PLANET (HAMILTON),2180 RYMAL RD E  GLANBROOK ON,2022/09/16 00:00:00+00
3,15 124023 07 1K,Food Shop,Basic,1018188 ONT LTD O/A KERNEL'S POPCORN,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/08/01 00:00:00+00
4,19 295529 02 1K,Food Shop,Basic,10375691 CANADA INC. O/A AFRICO GLOBAL MARKET,333 BARTON ST E  HAMILTON ON,2022/03/19 00:00:00+00
5,18 294816 02 1K,Food Shop,Basic,10820288 CANADA INC. O/A TOP DISCOUNT FOODS,969 UPPER OTTAWA ST  HAMILTON ON L8T 4V9,2022/02/06 00:00:00+00
6,18 295188 03 1K,Food Shop,Basic,11015966 CANADA INC. O/A BIG BEE CONVENIENCE,1557 MAIN ST E  HAMILTON ON,2022/11/29 00:00:00+00
7,18 295170 03 1K,Food Shop,Basic,1122630 ONTARIO LIMITED O/A S & H HEALTH FOODS,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/11/15 00:00:00+00
8,19 296569 02 1K,Food Shop,Basic,11557351 CANADA INC. O/A SALVAGE'S VARIETY,315 YORK BLVD  HAMILTON ON L8R 3K5,2022/09/08 00:00:00+00
9,14 136191 07 1K,Food Shop,Basic,1208018 ONTARIO LIMITED O/A 4 SEASONS CONVENIENCE,990 UPPER WENTWORTH ST  HAMILTON ON L9A 4V9,2022/11/02 00:00:00+00
10,20 298092 01 1K,Food Shop,Basic,12117720 CANADA INC O/A SWIFT MART,234 GOVERNORS RD  DUNDAS ON,2022/09/29 00:00:00+00
11,20 297984 01 1K,Food Shop,Basic,12208679 CANADA INC O/A CORNER STORE 108,108 CUMBERLAND AVE  HAMILTON ON L8M 1Z3,2022/09/10 00:00:00+00
12,21 298706 00 1K,Food Shop,Basic,12312565 CANADA INC O/A LIQUIDATION & DISCOUNT OUTLET,773 MAIN ST E  HAMILTON ON L8M 1L3,2022/04/21 00:00:00+00
13,20 298387 01 1K,Food Shop,Basic,12324377 CANADA INC. O/A CROWN POINT MARKET,162 OTTAWA ST N  HAMILTON ON,2022/11/24 00:00:00+00
14,21 299121 00 1K,Food Shop,Caterer,1256049-6 O/A PINATA SMASH CAKE INC.,570 HWY 8  STONEY CREEK ON,2022/11/02 00:00:00+00
15,21 298664 00 1K,Food Shop,Basic,12674955 CANADA INC,581 CONCESSION ST  HAMILTON ON L8V 1B2,2022/02/19 00:00:00+00
16,16 290642 05 1K,Food Shop,Basic,1267797 ONTARIO LIMITED O/A MAC'S CONVENIENCE,1300 GARTH ST  HAMILTON ON L9C 4L7,2022/03/16 00:00:00+00
17,20 298242 01 1K,Food Shop,Basic,1282264 ONTARIO LTD   O/A LALY'S SMOKE SHOP,1003 FENNELL AVE E  HAMILTON ON L8T 1R1,2022/11/18 00:00:00+00
18,16 291313 05 1K,Food Shop,Basic,1284063 ONTARIO LIMITED O/A JAMES NORTH GENERAL STORE,95 JAMES ST N  HAMILTON ON,2022/08/30 00:00:00+00
19,21 299688 00 1K,Food Shop,Basic,1284063 ONTARIO LIMITED O/A JAMES NORTH GENERAL STORE,35 YORK BLVD  HAMILTON ON,2022/12/03 00:00:00+00
20,21 299469 00 1K,Food Shop,Basic,13116867 CANADA INC O/A RADFAN CONVENIENCE,11 STRATHCONA AVE N  HAMILTON ON L8R 3B8,2022/12/06 00:00:00+00
21,15 288196 06 1K,Food Shop,Basic,1316682 ONTARIO INC O/A UNO STOP CONVENIENCE,1447 UPPER OTTAWA ST 1 HAMILTON ON,2022/12/01 00:00:00+00
22,21 299694 00 1K,Food Shop,Basic,13340678 CANADA INC O/A GOLD DOOR VARIETY STORE,125 GAILMONT DR  HAMILTON ON L8K 4B8,2022/12/23 00:00:00+00
23,14 244951 07 1K,Food Shop,Basic,1349448 ONTARIO INC O/A GAGE MARKET,961 MAIN ST E  HAMILTON ON L8M 1N1,2022/11/17 00:00:00+00
24,14 275305 06 1K,Food Shop,Basic,1419696 ONTARIO INC. O/A HONEY BEE FOOD MART,25 REDMOND DR  HAMILTON ON L8W 3K7,2022/02/20 00:00:00+00
25,14 178011 07 1K,Food Shop,Basic,1498674 ONTARIO LTD  O/A ROCKLAND VARIETY,1001 RYMAL RD E  HAMILTON ON L8W 3M2,2022/05/07 00:00:00+00
26,22 299976 00 1K,Food Shop,Bake Shop,1521131 ONTARIO O/A CRISTINA'S CAKES INC.,129 EAST 23RD ST  HAMILTON ON L8V 2W9,2023/01/13 00:00:00+00
27,13 280308 07 1K,Food Shop,Butcher,1531553 ONTARIO LTD. O/A CUMBRAE'S,26 KING ST W  DUNDAS ON,2022/07/13 00:00:00+00
28,14 206168 07 1K,Food Shop,Basic,1568596 ONTARIO LTD O/A M & M MEAT SHOPS STORE # 014,2732 BARTON ST E  HAMILTON ON L8E 4M6,2022/06/23 00:00:00+00
29,14 216603 06 1K,Food Shop,Basic,1573028  ONTARIO INC O/A EVER CONVENIENCE,675 BARTON ST E  HAMILTON ON L8L 3A5,2022/03/24 00:00:00+00
30,19 296200 02 1K,Food Shop,Basic,1588373 ONTARIO LIMITED O/A GIORGIO'S NO FRILLS,435 MAIN ST E  HAMILTON ON L8N 1K1,2022/06/04 00:00:00+00
31,20 297706 01 1K,Food Shop,Bake Shop,1639190 ONT. INC. O/A CUPCAKES,1050 KING ST W  HAMILTON ON L8S 1L5,2022/07/10 00:00:00+00
32,14 281656 07 1K,Food Shop,Basic,1677035 ONTARIO LTD.,50 KING ST W  DUNDAS ON L9H 1T8,2022/10/11 00:00:00+00
33,16 291023 05 1K,Food Shop,Basic,1714064 ONTARIO INC O/A HASTY MARKET,210 MOHAWK RD E  HAMILTON ON L9A 2H6,2022/06/16 00:00:00+00
34,15 278211 06 1K,Food Shop,Basic,1726153 ONTARIO INC. O/A ROYAL CONVENIENCE & FOODMART,524 MAIN ST E  HAMILTON ON L8M 1J1,2022/04/16 00:00:00+00
35,14 276042 07 1K,Food Shop,Basic,1726357 ONTARIO INC. O/A BIG BONUS CONVENIENCE AND FOOD MART,78 QUEENSTON RD  HAMILTON ON L8K 6R6,2022/07/19 00:00:00+00
36,14 286823 07 1K,Food Shop,Basic,1749707 ONTARIO INC. O/A VILLAGE VARIETY,1148 FENNELL AVE E  HAMILTON ON L8T 1S6,2022/12/11 00:00:00+00
37,21 298917 00 1K,Food Shop,Basic,1757352 ONTARIO INC O/A HAMILTON MEAT PIE CO,856 KING ST W  HAMILTON ON L8S 1K3,2022/05/25 00:00:00+00
38,16 291566 05 1K,Food Shop,Caterer,1757352 ONTARIO INC. O/A HAMILTON MEAT PIE CO.,601 BURLINGTON ST E  HAMILTON ON,2022/11/03 00:00:00+00
39,14 277914 07 1K,Food Shop,Basic,1778269 ONTARIO INC. O/A KEON'S SUPER CONVENIENCE,77 KING ST E  HAMILTON ON L8N 1A5,2022/06/23 00:00:00+00
