OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,Restaurant, AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,787 BARTON ST E  HAMILTON ON,2022/04/13 00:00:00+00,14 268204 07 1J,Eating Establishment
2,Restaurant, AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,674 QUEENSTON RD  HAMILTON ON,2022/02/03 00:00:00+00,14 276439 06 1J,Eating Establishment
3,Restaurant, AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,2190 RYMAL RD E  GLANBROOK ON,2022/12/13 00:00:00+00,14 276442 07 1J,Eating Establishment
4,Restaurant, NARULA'S BANQUET HALL INC. O/A NARULA'S AUTHENTIC INDIAN CUISINE,291 QUEENSTON RD  HAMILTON ON L8K 1H2,2022/05/01 00:00:00+00,20 297532 01 1J,Eating Establishment
5,Restaurant Take-Out,0 0 2 8 0 3 4 6 6 ONTARIO INC O/A OSMOWS ,1187 WILSON ST W UNIT 1 ANCASTER ON,2022/12/13 00:00:00+00,21 299041 00 1J,Eating Establishment
6,Restaurant,002676944 O/A CHEEZAATAR,667 FENNELL AVE E  HAMILTON ON,2022/06/14 00:00:00+00,18 293948 03 1J,Eating Establishment
7,Restaurant,002693390 ONTARIO INC O/A CYPRUS LOUNGE AND CAFE,445 CONCESSION ST  HAMILTON ON,2022/08/20 00:00:00+00,20 297286 01 1J,Eating Establishment
8,Restaurant with Liquor Service,002823563 ONTARIO CORPORATION NO. O/A ENDLESS BEER SHOP INC.,1203 CANNON ST E  HAMILTON ON,2023/01/14 00:00:00+00,21 299468 00 1J,Eating Establishment
9,Restaurant Take-Out,002834078 ONTARIO INC O/A SOUTH GARDEN RESTAURANT,1300 GARTH ST  HAMILTON ON L9C 4L7,2022/06/28 00:00:00+00,21 299124 00 1J,Eating Establishment
10,Restaurant,002856190 ONTARIO INC O/A BARTON PIZZERIA INC.,1610 BARTON ST E  HAMILTON ON,2022/10/17 00:00:00+00,21 299647 00 1J,Eating Establishment
11,Restaurant with Liquor Service,10004197 CANADA CORPORATION O/A PIZZA PIZZA,1281 MAIN ST E  HAMILTON ON,2022/04/27 00:00:00+00,17 292111 04 1J,Eating Establishment
12,Restaurant Take-Out,1002547 ONTARIO LTD. O/A SUBWAY SANDWICHES & SALADS,1275 BARTON ST E  HAMILTON ON L8H 2V4,2022/10/18 00:00:00+00,14 280368 07 1J,Eating Establishment
13,Restaurant Take-Out,10066770 CANADA INC. O/A SUBWAY RESTAURANT,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,2022/07/04 00:00:00+00,17 292431 04 1J,Eating Establishment
14,Restaurant,10224740 CANADA LTD. O/A MR. SUB,963 RYMAL RD E  HAMILTON ON L8W 3M2,2022/06/19 00:00:00+00,17 292488 04 1J,Eating Establishment
15,Restaurant,10243779 CANADA INC O/A CHERRY BIRCH GENERAL,219 KING ST E  HAMILTON ON,2022/11/16 00:00:00+00,17 292662 04 1J,Eating Establishment
16,Restaurant,10247596 CANADA INC O/A BOOSTER JUICE,1187 WILSON ST W UNIT 3 ANCASTER ON,2022/11/27 00:00:00+00,19 296881 02 1J,Eating Establishment
17,Restaurant with Liquor Service,1038641 ONTARIO LTD  O/A THE WINCHESTER ARMS ,120 KING ST W  DUNDAS ON,2022/06/21 00:00:00+00,15 181563 07 1J,Eating Establishment
18,Restaurant,10402575 CANADA INC O/A PITA N MORE INC.,1309 MAIN ST W  HAMILTON ON L8S 1C5,2022/09/25 00:00:00+00,18 294206 03 1J,Eating Establishment
19,Restaurant,10485292 ONTARIO INC. O/A THE ARCH NOODLE HOUSE,1309 MAIN ST W  HAMILTON ON L8S 1C5,2022/09/25 00:00:00+00,18 294605 03 1J,Eating Establishment
20,Restaurant with Liquor Service,10573434 CANADA INC O/A CHUCKS ROADHOUSE BAR & GRILL,140 CENTENNIAL PKWY N  HAMILTON ON,2022/05/08 00:00:00+00,18 293829 03 1J,Eating Establishment
21,Restaurant,1059181 ONTARIO INC. O/A TIM HORTONS,2651 REGIONAL ROAD 56  GLANBROOK ON,2022/05/07 00:00:00+00,13 282709 07 1J,Eating Establishment
22,Restaurant,10597970 CANADA LTD O/A PIZZA INFERNO,483 HWY 8  STONEY CREEK ON L8G 5B9,2022/06/25 00:00:00+00,18 293990 03 1J,Eating Establishment
23,Restaurant Take-Out,10674656 CANADA INC O/A WARRAICH MEATS HAMILTON,40 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,2022/08/13 00:00:00+00,21 299311 00 1J,Eating Establishment
24,Restaurant with Liquor Service,1071637 ONTARIO INC. O/A MAC RONI'S ITALIAN EATERY & BAR LTD.,1560 MAIN ST W  HAMILTON ON L8S 1E7,2022/08/20 00:00:00+00,15 125002 07 1J,Eating Establishment
25,Lunch Counter,10805475 CANADA INC O/A ROYAL PIZZA,180 JAMES ST S  HAMILTON ON L8P 4V1,2022/10/21 00:00:00+00,14 261338 07 1J,Eating Establishment
26,Restaurant,1087355 ONTARIO INC  O/A THE PURPLE PEAR,946 BARTON ST E  HAMILTON ON,2022/03/18 00:00:00+00,15 221456 06 1J,Eating Establishment
27,Restaurant with Liquor Service,109 GEORGE INC O/A AMIGO'S,109 GEORGE ST  HAMILTON ON,2022/11/29 00:00:00+00,18 295125 03 1J,Eating Establishment
28,Restaurant with Liquor Service,109 GEORGE INC O/A LUCKY'S BBQ,116 GEORGE ST  HAMILTON ON L8P 1E2,2022/02/22 00:00:00+00,21 298582 00 1J,Eating Establishment
29,Restaurant,10929077 CANADA INC. O/A ONE JAMES CAFE,1 JAMES ST S  HAMILTON ON,2022/03/11 00:00:00+00,18 295374 02 1J,Eating Establishment
30,Restaurant,11060228 CANADA INC. O/A OSMOW'S,140 HWY 8  STONEY CREEK ON L8G 1C2,2022/02/20 00:00:00+00,19 295584 02 1J,Eating Establishment
31,Restaurant,11125788 CANADA INC. O/A MARY BROWN'S,1090 WILSON ST W  ANCASTER ON,2022/02/27 00:00:00+00,20 297272 01 1J,Eating Establishment
32,Restaurant Take-Out,1112821 ONTARIO LIMITED O/A MIKE SUBS,90 WELLINGTON ST N  HAMILTON ON,2022/07/27 00:00:00+00,14 164276 07 1J,Eating Establishment
33,Restaurant,1112916 ONTARIO INC. O/A MAPLE LEAF PANCAKE HOUSE,1520 MAIN ST W  HAMILTON ON L8S 1E3,2022/05/21 00:00:00+00,15 125072 07 1J,Eating Establishment
34,Restaurant,11178962 CANADA INC. O/A QUESADA,301 FRUITLAND RD  STONEY CREEK ON L8E 5M1,2022/07/04 00:00:00+00,19 296275 02 1J,Eating Establishment
35,Restaurant with Liquor Service,11331647 CANADA LTD O/A THE SIDE DOOR BAR,1831 MAIN ST W  HAMILTON ON L8S 1H6,2022/11/25 00:00:00+00,19 296016 02 1J,Eating Establishment
36,Restaurant with Liquor Service,11373650 CANADA INC O/A WIMPY'S DINER ,771 QUEENSTON RD  HAMILTON ON,2022/09/01 00:00:00+00,20 297609 01 1J,Eating Establishment
37,Restaurant with Liquor Service,11511955 CANADA INC O/A JITTERBUG CAFE,35 MAIN ST N  FLAMBOROUGH ON,2022/08/19 00:00:00+00,19 296495 02 1J,Eating Establishment
38,Restaurant Take-Out,11519646 CANADA INC O/A PITA LITE,75 CENTENNIAL PKWY N  STONEY CREEK ON,2022/03/11 00:00:00+00,20 297607 01 1J,Eating Establishment
39,Restaurant with Liquor Service,1152383 ONTARIO LIMITED O/A SEASONS UNDER THE RED ROOF,1039 5TH CON RD W  FLAMBOROUGH,2022/05/13 00:00:00+00,14 286308 06 1J,Eating Establishment
40,Restaurant,11531697 CANADA INC O/A YOGURTY'S,1309 MAIN ST W  HAMILTON ON L8S 1C5,2022/09/16 00:00:00+00,19 296684 02 1J,Eating Establishment
41,Restaurant with Liquor Service,11554891 CANADA INC O/A COOP WICKED CHICKEN,272 KING ST W  HAMILTON ON,2022/07/14 00:00:00+00,15 288017 05 1J,Eating Establishment
42,Restaurant,1156537 ONTARIO INC. O/A THE OAK CAFE,2 KING ST W  HAMILTON ON,2022/10/03 00:00:00+00,14 275016 07 1J,Eating Establishment
43,Restaurant Take-Out,1160473 ONTARIO LTD O/A MIKE'S SUBS-FENNELL,1104 FENNELL AVE E  HAMILTON ON,2022/06/26 00:00:00+00,15 125595 07 1J,Eating Establishment
44,Restaurant Take-Out,1165417 ONTARIO LIMITED O/A MIKE'S SUBS,122 OTTAWA ST N  HAMILTON ON,2022/06/09 00:00:00+00,14 102694 07 1J,Eating Establishment
45,Restaurant,11693344 CANADA INC O/A THE BROOK FAMILY RESTAURANT,2537 REGIONAL ROAD 56  GLANBROOK ON,2022/11/13 00:00:00+00,19 297017 02 1J,Eating Establishment
46,Restaurant Take-Out,11718355 CANADA INC O/A OKO BAGELS,118 JAMES ST N  HAMILTON ON L8R 2K7,2022/07/06 00:00:00+00,20 297856 01 1J,Eating Establishment
47,Restaurant,1177106 ONTARIO INC O/A HUTCH'S HARBOUR FRONT,325 BAY ST N  HAMILTON ON L8L 1M5,2022/10/15 00:00:00+00,16 125504 07 1J,Eating Establishment
48,Restaurant,1180229 ONTARIO INC O/A COACH & LANTERN,386 WILSON ST E  ANCASTER ON,2022/06/12 00:00:00+00,14 284443 07 1J,Eating Establishment
49,Restaurant,"1180347 ONTARIO INC., O/A VALENTINO'S PLACE RESTAURANT",835 PARAMOUNT DR  STONEY CREEK ON,2022/09/20 00:00:00+00,14 283022 07 1J,Eating Establishment
50,Restaurant,11850962 CANADA INC. O/A COWABUNGA,536 UPPER WELLINGTON ST  HAMILTON ON,2022/03/02 00:00:00+00,20 298176 00 1J,Eating Establishment
51,Restaurant,11881434 CANADA INC O/A YIFANG TAIWAN FRUIT TEA,100 MAIN ST E  HAMILTON ON L8N 1G3,2022/04/28 00:00:00+00,20 298206 00 1J,Eating Establishment
52,Restaurant,11892916 CANADA INC O/A ROYAAL SPICE INDIAN RESTAURANT,1685 MAIN ST W  HAMILTON ON L8S 1G5,2022/09/15 00:00:00+00,20 298114 01 1J,Eating Establishment
53,Restaurant,11905325 CANADA INC. O/A SHUYI,217 KING ST E  HAMILTON ON,2022/07/09 00:00:00+00,20 297781 01 1J,Eating Establishment
54,Restaurant Take-Out,1201129 ONTARIO LTD O/A SECOND CUP,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/11/25 00:00:00+00,14 286581 07 1J,Eating Establishment
55,Restaurant Take-Out,12049406 CANADA INC O/A MR FINGER LICK'N KITCHEN,1247 MAIN ST E  HAMILTON ON L8K 1A8,2022/03/04 00:00:00+00,20 298191 00 1J,Eating Establishment
56,Restaurant Take-Out,1205979 ONTARIO INC O/A TIM HORTONS,1368 UPPER GAGE AVE  HAMILTON ON L8W 1N2,2022/05/27 00:00:00+00,14 277041 07 1J,Eating Establishment
57,Restaurant,1205979 ONTARIO INC. O/A TIM HORTONS,675 MOHAWK RD E  HAMILTON ON L8V 2K6,2022/03/02 00:00:00+00,14 287000 06 1J,Eating Establishment
58,Restaurant,1215516 ONTARIO INC O/A  THE EGG AND I RESTAURANT,1242 GARNER RD W  ANCASTER ON,2022/07/10 00:00:00+00,14 177052 07 1J,Eating Establishment
59,Restaurant,12215574 CANADA CORP. O/A SPICY PALACE,212 KING ST E  HAMILTON ON,2022/11/22 00:00:00+00,19 296972 02 1J,Eating Establishment
60,Restaurant Take-Out,12292190 CANADA INC O/A TWICE THE DEAL PIZZA,695 QUEENSTON RD  HAMILTON ON,2022/05/12 00:00:00+00,21 298639 00 1J,Eating Establishment
61,Restaurant,1237414 ONTARIO INC. O/A MEADOWLAND SUBWAYS,1015 GOLF LINKS RD  ANCASTER ON L9K 1L6,2022/10/04 00:00:00+00,13 256011 07 1J,Eating Establishment
62,Restaurant with Liquor Service,"1246381 ONTARIO INC., O/A THE SNOOTY FOX",1011 KING ST W  HAMILTON ON L8S 1L3,2022/09/21 00:00:00+00,14 100748 07 1J,Eating Establishment
63,Restaurant Take-Out,12504600 CANADA INC O/A A1 PIZZA CENTRE,2 CASTLEWOOD BLVD  DUNDAS ON L9H 7M8,2023/01/25 00:00:00+00,21 298589 01 1J,Eating Establishment
64,Restaurant Take-Out,12506203 CANADA INC. O/A PIZZA BEA,314 QUEENSTON RD A HAMILTON ON,2022/02/16 00:00:00+00,21 298567 00 1J,Eating Establishment
65,Restaurant,12552507 CANADA INC O/A BOUCHEE CUPCAKE CAFE AND CUSTOM CAKE BOUTIQUE,24 KING ST W  DUNDAS ON,2022/03/19 00:00:00+00,21 298798 00 1J,Eating Establishment
66,Restaurant with Liquor Service,1277211 ONT. INC. O/A ESPLANADA CAFE & RESTAURANT,419 BARTON ST E  HAMILTON ON L8L 2Y5,2022/02/16 00:00:00+00,18 100877 06 1J,Eating Establishment
67,Restaurant Take-Out,12791986 CANADA INC. O/A MAZZA PITAS & PIZZA,997 CANNON ST E  HAMILTON ON L8L 2H4,2022/12/23 00:00:00+00,21 299714 00 1J,Eating Establishment
68,Restaurant,12966166 CANADA INC. O/A GONG CHA,107 JAMES ST N  HAMILTON ON L8R 2K6,2022/10/22 00:00:00+00,21 299673 00 1J,Eating Establishment
69,Restaurant,12978890 CANADA INC. O/A FLORA PIZZERIA,183 JAMES ST S  HAMILTON ON,2022/08/30 00:00:00+00,21 299390 00 1J,Eating Establishment
70,Restaurant with Liquor Service,13025802 ONT INC O/A MOTO BISTRO & GEAR,554 BARTON ST E  HAMILTON ON,2022/10/13 00:00:00+00,21 299183 00 1J,Eating Establishment
71,Restaurant,1304545 ONTARIO LTD. O/A MANDARIN HAMILTON ,1508 UPPER JAMES ST  HAMILTON ON,2022/03/10 00:00:00+00,15 100953 06 1J,Eating Establishment
