OBJECTID,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,,138 BROADWAY AVE  HAMILTON ON L8S 2W1,2021/08/30 00:00:00+00,14 280081 06 1M,Lodging House
2,,256 MACNAB ST N  HAMILTON ON,2021/05/29 00:00:00+00,15 124782 06 1M,Lodging House
3,,258 MACNAB ST N  HAMILTON ON,2021/11/19 00:00:00+00,15 124783 06 1M,Lodging House
4,,66 EAST AVE S  HAMILTON ON,2021/08/14 00:00:00+00,15 124793 06 1M,Lodging House
5,,234 MACNAB ST S  HAMILTON ON,2021/05/17 00:00:00+00,15 288323 04 1M,Lodging House
6,1694562 ONTARIO INC ,76 VICTORIA AVE S  HAMILTON ON,2021/05/04 00:00:00+00,13 284587 05 1M,Lodging House
7,1788786 ONTARIO INC.,253 KENILWORTH AVE N  HAMILTON ON,2021/01/27 00:00:00+00,14 280365 05 1M,Lodging House
8,1917929 ONTARIO INC,542 BARTON ST E  HAMILTON ON,2021/11/10 00:00:00+00,15 287479 04 1M,Lodging House
9,2202055 ONTARIO INC.,413 KING ST W  HAMILTON ON L8S 1B5,2021/08/17 00:00:00+00,12 280423 06 1M,Lodging House
10,2202055 ONTARIO INC.,415 KING ST W  HAMILTON ON L8S 1B5,2021/09/10 00:00:00+00,19 283488 06 1M,Lodging House
11,2455644 ONTARIO LTD.,907 KING ST E  HAMILTON ON,2021/09/02 00:00:00+00,15 287669 05 1M,Lodging House
12,602327 ONTARIO INC.,563 WILSON ST  HAMILTON ON,2021/04/29 00:00:00+00,12 283125 05 1M,Lodging House
13,ACADEMICA HALL,240 JAMES ST N  HAMILTON ON,2021/05/19 00:00:00+00,13 219177 06 1M,Lodging House
14,DIANA LODGING,667 FENNELL AVE E  HAMILTON ON,2021/01/08 00:00:00+00,14 283815 05 1M,Lodging House
15,INDWELL COMMUNITY HOMES,311 STRATHEARNE AVE  HAMILTON ON,2021/06/12 00:00:00+00,14 286107 06 1M,Lodging House
16,MARGARET HOUSE,46 MARGARET ST  HAMILTON ON L8P 4C8,2021/02/05 00:00:00+00,13 194677 05 1M,Lodging House
17,QUEENSTON LODGE,1646 MAIN ST E  HAMILTON ON,2021/05/24 00:00:00+00,14 282580 06 1M,Lodging House
18,REAL ESTATE ACHIEVERS LEAGUE INC.,180 OTTAWA ST N  HAMILTON ON,2020/12/18 00:00:00+00,14 286391 05 1M,Lodging House
19,,43 EARL ST  HAMILTON ON,2021/10/19 00:00:00+00,16 291175 04 1M,Lodging House
20,SANDERS GARDEN INC. ,69 SANDERS BLVD  HAMILTON ON L8S 3J8,2021/03/08 00:00:00+00,18 294475 01 1M,Lodging House
21,W. O. BURWELL INVESTMENTS INC.,19 STRATHCONA AVE N  HAMILTON ON L8R 3B8,2021/07/27 00:00:00+00,13 278762 06 1M,Lodging House
