OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,A - New/Used Vehicle Sales,002805051 ONTARIO CORP O/A MASTER CAR RENTAL INC.,1094 UPPER SHERMAN AVE  HAMILTON ON,2022/12/03 14:19:48+00,21 299889 00 1R,Public Garage
2,Multiple Use Garage,0850038 BC LTD (CORPORATION NO. 1824887) O/A KAL TIRE,696 ARVIN AVE  STONEY CREEK ON,2022/09/24 13:01:41+00,19 295591 02 1R,Public Garage
3,B2 - Motor Repair,0850038 BC LTD (CORPORATION NO. 1824887) O/A KAL TIRE,1275 MAIN ST E  HAMILTON ON,2022/02/17 10:04:52+00,20 297385 00 1R,Public Garage
4,B2 - Motor Repair,1000015000 ONTARIO INC. O/A WILLSON AUTO,588 UPPER SHERMAN AVE  HAMILTON ON,2023/01/14 12:14:27+00,21 299840 00 1R,Public Garage
5,A - New/Used Vehicle Sales,1053038 ONTARIO INC. O/A STERLING HONDA,1821 UPPER JAMES ST  GLANBROOK ON,2022/01/28 07:39:29+00,20 298454 00 1R,Public Garage
6,Multiple Use Garage,1053038 ONTARIO LIMITED  O/A STERLING HONDA,1495 UPPER JAMES ST  HAMILTON ON,2022/06/27 00:00:00+00,14 181322 07 1R,Public Garage
7,A - New/Used Vehicle Sales,10623458 CANADA INC. O/A DRIVATO,61 DALHOUSIE AVE  HAMILTON ON,2022/08/16 13:38:48+00,18 294618 03 1R,Public Garage
8,A - New/Used Vehicle Sales,1077220 ONTARIO INC. O/A DEWILDT CAR SALES ,450 LAKE AVE N  HAMILTON ON,2022/05/24 00:00:00+00,14 159836 07 1R,Public Garage
9,A - New/Used Vehicle Sales,1097409 ONTARIO INC. O/A ROCKCLIFF AUTO,56 KENILWORTH AVE N  HAMILTON ON,2022/05/08 09:13:08+00,17 292341 04 1R,Public Garage
10,A - New/Used Vehicle Sales,1105729 ONTARIO INC O/A PENINSULA TOWING,858 NEBO RD  GLANBROOK ON,2022/10/17 00:00:00+00,14 284951 07 1R,Public Garage
11,A - New/Used Vehicle Sales,1105729 ONTARIO INC. O/A CLASSIC TOWING,858 NEBO RD  GLANBROOK ON,2023/01/09 00:00:00+00,18 283851 07 1R,Public Garage
12,B2 - Motor Repair,1112861 ONTARIO LIMITED  O/A LAST CHANCE GARAGE,449 UPPER GAGE AVE  HAMILTON ON,2022/05/14 00:00:00+00,14 102145 07 1R,Public Garage
13,A - New/Used Vehicle Sales,1121211 ONTARIO INC. O/A PARKDALE AUTO CENTRE,115 PARKDALE AVE N  HAMILTON ON,2022/07/21 15:16:51+00,17 292714 04 1R,Public Garage
14,Multiple Use Garage,1140424 ONTARIO INC,373 WENTWORTH ST N  HAMILTON ON,2022/02/02 00:00:00+00,16 124602 06 1R,Public Garage
15,Multiple Use Garage,1145678 ONTARIO LIMITED O/A AUDI,1215 UPPER JAMES ST  HAMILTON ON,2022/09/08 08:47:36+00,19 296402 02 1R,Public Garage
16,Multiple Use Garage,1145678 ONTARIO LIMITED O/A HAMILTON VOLKSWAGEN/AUDI,1221 UPPER JAMES ST  HAMILTON ON,2022/09/10 00:00:00+00,15 124516 07 1R,Public Garage
17,B2 - Motor Repair,11528963 CANADA INC,371 BARTON ST  STONEY CREEK ON,2022/02/27 09:02:28+00,20 297298 01 1R,Public Garage
18,B3 - Body Shop,11791028 CANADA INC. O/A CARFIX AUTO RESTORE,776 BURLINGTON ST E  HAMILTON ON L8L 4K3,2022/03/24 12:50:14+00,20 298307 00 1R,Public Garage
19,A - New/Used Vehicle Sales,1219738 ONT INC. O/A INTERNATIONAL AUTO SALES,2553 BARTON ST E  HAMILTON ON,2022/06/06 00:00:00+00,14 282594 07 1R,Public Garage
20,B2 - Motor Repair,1262247 ONT. INC O/A GRIFFITHS AUTOMOTIVE,1060 RYMAL RD E  HAMILTON ON,2022/09/16 00:00:00+00,14 255902 07 1R,Public Garage
21,Multiple Use Garage,1262252 ONTARIO INC O/A SAM'S SERVICE CENTRE,654 RYMAL RD E  HAMILTON ON,2022/10/22 00:00:00+00,15 124270 07 1R,Public Garage
22,B2 - Motor Repair,1290712 O/A HAMILTON AUTO & COOLING,1028 UPPER WELLINGTON ST  HAMILTON ON,2022/04/20 00:00:00+00,15 100750 06 1R,Public Garage
23,A - New/Used Vehicle Sales,1297748 ONTARIO INC. O/A WAYNE'S AUTO WORLD,303 QUEENSTON RD  HAMILTON ON,2022/11/12 00:00:00+00,15 288309 06 1R,Public Garage
24,Multiple Use Garage,1298199 ONTARIO INC.,1134 CANNON ST E  HAMILTON ON L8L 2J8,2022/04/12 00:00:00+00,15 155805 06 1R,Public Garage
25,B3 - Body Shop,1322270 ONTARIO LIMITED O/A MILES COLLISION,2481 UPPER JAMES ST  GLANBROOK ON,2022/05/07 00:00:00+00,14 248796 07 1R,Public Garage
26,A - New/Used Vehicle Sales,1322553 ONTARIO INC O/A HOLLIS AUTO SALES,2795 BARTON ST E 3 HAMILTON ON,2022/10/16 00:00:00+00,14 283511 07 1R,Public Garage
27,D - Parking Lot,1371738 ONTARIO INC O/A LOCKE STREET PARKING,158 LOCKE ST S  HAMILTON ON,2022/08/05 00:00:00+00,15 287966 05 1R,Public Garage
