OBJECTID,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,1099694 ONTARIO INC. O/A J & M REST HOME,849 MAIN ST E  HAMILTON ON,2022/04/21 00:00:00+00,14 124847 07 1Y,Residential Care Facility (11 or more )
2,1112824 ONTARIO LIMITED O/A MAPLE CREST MANOR,904 KING ST E  HAMILTON ON,2022/06/20 00:00:00+00,15 124841 07 1Y,Residential Care Facility (11 or more )
3,1112824 ONTARIO LIMITED O/A ST. ANDREW'S LODGE,100 HERKIMER ST  HAMILTON ON,2022/04/13 00:00:00+00,16 124802 06 1Y,Residential Care Facility (11 or more )
4,118 MARKET ST GP LTD O/A CAROLINE PLACE RETIREMENT RESIDENCE ,118 MARKET ST  HAMILTON ON,2022/09/25 00:00:00+00,14 283161 07 1Y,Residential Care Facility (11 or more )
5,1233735 ONTARIO INC. O/A GOVERNOR'S MANOR,37 OGILVIE ST  DUNDAS ON,2022/06/22 00:00:00+00,14 171275 07 1Y,Residential Care Facility (11 or more )
6,1562576 ONTARIO INC,130 BOLD ST  HAMILTON ON,2023/01/15 00:00:00+00,14 277575 07 1Y,Residential Care Facility (11 or more )
7,1562576 ONTARIO INC,132 BOLD ST  HAMILTON ON,2023/01/15 00:00:00+00,14 277576 07 1Y,Residential Care Facility (11 or more )
8,1562576 ONTARIO INC. ,7 BLAKE ST  HAMILTON ON,2022/11/07 00:00:00+00,14 206433 07 1Y,Residential Care Facility (11 or more )
9,1617602 ONTARIO LTD O/A EVERGREEN MANOR,41 CATHCART ST  HAMILTON ON,2022/07/30 00:00:00+00,14 229971 07 1Y,Residential Care Facility (11 or more )
10,1775319 ONTARIO INC. o/a FAITH HOPE MANOR,178 JOHN ST N  HAMILTON ON,2022/12/06 00:00:00+00,15 124862 07 1Y,Residential Care Facility (11 or more )
11,1775319 ONTARIO INC. o/a VEROLEN'S REST HOME,106 CATHARINE ST S  HAMILTON ON,2022/12/07 00:00:00+00,15 124815 07 1Y,Residential Care Facility (11 or more )
12,1804248 ONTARIO INC O/A JERELDAY,418 MAIN ST E  HAMILTON ON,2022/02/22 00:00:00+00,14 279026 06 1Y,Residential Care Facility (11 or more )
13,1869423 ONTARIO LTD. O/A YORKVILLE RETIREMENT RESIDENCE,211 YORK RD  DUNDAS ON L9H 1M9,2022/05/02 00:00:00+00,14 282950 07 1Y,Residential Care Facility (11 or more )
14,1906293 ONTARIO INC. o/a MABUHAY RESIDENTIAL CARE FACILITY,325 WENTWORTH ST N  HAMILTON ON,2022/06/16 00:00:00+00,16 290568 05 1Y,Residential Care Facility (11 or more )
15,2094509 ONTARIO INC.  O/A MAXWELL'S SECOND LEVEL LODGING HOME,274 BAY ST S  HAMILTON ON,2023/01/19 00:00:00+00,14 275320 07 1Y,Residential Care Facility (11 or more )
16,2178949 ONTARIO INC O/A ABERDEEN GARDENS,330 DUNDURN ST S  HAMILTON ON,2022/08/16 00:00:00+00,14 277312 07 1Y,Residential Care Facility (11 or more )
17,2244786 ONTARIO INC. O/A ORCHARD TERRACE CARE CENTRE FACILITY INC,199 GLOVER RD  STONEY CREEK ON,2022/02/13 00:00:00+00,14 285075 06 1Y,Residential Care Facility (11 or more )
18,346 - 348 QUEENSTON ROAD HAMILTON HOLDINGS INC. O/A QUEENSTON RETIREMENT HOME,346 QUEENSTON RD  HAMILTON ON,2022/07/31 00:00:00+00,14 286413 07 1Y,Residential Care Facility (11 or more )
19,AMICA DUNDAS INC.,50 HATT ST  DUNDAS ON,2022/03/31 00:00:00+00,15 288324 05 1Y,Residential Care Facility (11 or more )
20,AMICA STONEY CREEK,135 KING ST E  STONEY CREEK ON,2022/06/16 00:00:00+00,16 291744 04 1Y,Residential Care Facility (11 or more )
21,BARTON RETIREMENT INC. O/A THE WELLINGTON,1430 UPPER WELLINGTON ST  HAMILTON ON,2022/04/06 00:00:00+00,16 124874 06 1Y,Residential Care Facility (11 or more )
22,BERTRAM PLACE RETIREMENT LIVING CENTRE INC.,21 HATT ST  DUNDAS ON,2022/10/04 00:00:00+00,16 291162 05 1Y,Residential Care Facility (11 or more )
23,C. MORE'S VILLA INC.,60 WEST AVE S  HAMILTON ON,2022/05/05 00:00:00+00,15 124836 07 1Y,Residential Care Facility (11 or more )
24,CARRINGTON PLACE FACILITY INC. O/A CARRINGTON PLACE RETIREMENT,75 DUNHAM DR  ANCASTER ON,2022/03/10 00:00:00+00,17 292002 04 1Y,Residential Care Facility (11 or more )
25,CHARTWELL GEORGIAN RETIREMENT RESIDENCE,255 GOVERNORS RD  DUNDAS ON,2022/07/07 00:00:00+00,14 171276 07 1Y,Residential Care Facility (11 or more )
