OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
1,15 282665 05 1V,Salvage Yard,1685486 ONTARIO INC O/A FLAMBOROUGH SCRAP IRON & METAL,1633 HWY 6  FLAMBOROUGH ON,2021/05/12 00:00:00+00
2,13 282289 06 1V,Salvage Yard,2284710 ONTARIO INC O/A HAMILTON SCRAP PROCESSORS,250 LOTTRIDGE ST  HAMILTON ON,2021/10/02 00:00:00+00
3,14 281862 06 1V,Salvage Yard,2292009 ONTARIO INC. O/A HOTZ FERROUS INC.,171 BRANT ST  HAMILTON ON,2021/08/22 00:00:00+00
4,14 281864 06 1V,Salvage Yard,2292009 ONTARIO INC. O/A HOTZ FERROUS INC.,77 BRANT ST  HAMILTON ON,2021/08/22 00:00:00+00
5,14 275892 06 1V,Salvage Yard,AMERICAN IRON & METAL COMPANY INC,75 STEEL CITY CRT  HAMILTON ON,2021/06/10 00:00:00+00
6,15 125770 06 1V,Salvage Yard,B G RECYCLING,6 MACALLUM ST  HAMILTON ON,2021/05/22 00:00:00+00
7,15 290426 04 1V,Salvage Yard,BING NG & SONS LTD,83 MEAD AVE  HAMILTON ON,2021/02/12 00:00:00+00
8,14 279240 05 1V,Salvage Yard,BUDGET ENVIRONMENTAL DISPOSAL INC,344 SHERMAN AVE N  HAMILTON ON,2021/01/14 00:00:00+00
9,17 292699 03 1V,Salvage Yard,DIVISION METALS,140 REGIONAL ROAD 20  GLANBROOK ON,2021/08/10 00:00:00+00
10,16 291782 03 1V,Salvage Yard,EISA TRADING INC,842 NEBO RD 852 GLANBROOK ON,2021/06/27 00:00:00+00
11,15 125725 06 1V,Salvage Yard,HOTZ & SONS LTD.,166 FERGUSON AVE N  HAMILTON ON,2021/08/13 00:00:00+00
12,19 295536 01 1V,Salvage Yard,MAXUC TRADING LTD.,622 MIDDLETOWN LINE  FLAMBOROUGH ON,2021/04/10 00:00:00+00
13,15 178571 06 1V,Salvage Yard,MIKE'S AUTO WRECKERS,62 UPPER CENTENNIAL PKWY  STONEY CREEK ON,2021/09/21 00:00:00+00
14,15 125739 05 1V,Salvage Yard,PATCO CHEMICALS,281 BAY ST N  HAMILTON ON,2021/02/14 00:00:00+00
15,14 125728 06 1V,Salvage Yard,POSNER METALS LIMITED,610 BEACH RD  HAMILTON ON,2021/05/10 00:00:00+00
16,15 125745 06 1V,Salvage Yard,POSNER METALS LIMITED  /  BEACH ROAD STEEL,71 MORLEY ST  HAMILTON ON,2021/05/09 00:00:00+00
17,15 125740 06 1V,Salvage Yard,SAM'S AUTO WRECKING CO LTD,495 WENTWORTH ST N  HAMILTON ON,2021/05/13 00:00:00+00
18,13 285533 06 1V,Salvage Yard,SCRAP METAL DEPOT INC,2089 HWY 6  FLAMBOROUGH ON,2021/06/06 00:00:00+00
19,14 278606 06 1V,Salvage Yard,TRIPLE M METAL CORP.,1640 BRAMPTON ST  HAMILTON ON,2021/07/04 00:00:00+00
20,14 278607 06 1V,Salvage Yard,TRIPLE M METAL CORP.,1641 BRAMPTON ST  HAMILTON ON,2021/07/07 00:00:00+00
21,14 278608 06 1V,Salvage Yard,TRIPLE M METAL CORP.,799 PARKDALE AVE N  HAMILTON ON,2021/10/08 00:00:00+00
22,14 278609 06 1V,Salvage Yard,TRIPLE M METAL CORP.,670 STRATHEARNE AVE  HAMILTON ON,2021/07/17 00:00:00+00
