OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
1,15 288023 05 1W,Second Hand Shop,1937138 ONTARIO INC. O/A WATERDOWN RETAIL,64 HAMILTON ST N  FLAMBOROUGH ON L0R 2H6,2021/08/24 00:00:00+00
2,16 290657 04 1W,Second Hand Shop,2163837 ONTARIO INC. O/A The 689 R Multi Item Store,222 KENILWORTH AVE N  HAMILTON ON,2021/02/22 00:00:00+00
3,19 296000 01 1W,Second Hand Shop,2670010 ONTARIO INC O/A NEW 2 YOU,351 MAIN ST E  HAMILTON ON,2021/04/23 00:00:00+00
4,17 292690 03 1W,Second Hand Shop,"AARON'S CANADA, ULC O/A AARON'S SALES AND LEASE OWNERSHIP #C6011",1565 BARTON ST E  HAMILTON ON L8H 2X7,2021/07/18 00:00:00+00
5,14 170828 06 1W,Second Hand Shop,ANCASTER JEWELLERS LIMITED,88 WILSON ST W  ANCASTER ON L9G 4S1,2021/11/23 00:00:00+00
6,12 280056 05 1W,Second Hand Shop,ANTIQUE AVENUE,321 OTTAWA ST N  HAMILTON ON,2021/04/04 00:00:00+00
7,14 284338 06 1W,Second Hand Shop,BARGAIN KING,321 KING ST E  HAMILTON ON,2021/05/16 00:00:00+00
8,16 125800 05 1W,Second Hand Shop,BELL ARTE CAMERA,85 OTTAWA ST N  HAMILTON ON,2021/03/28 00:00:00+00
9,19 297119 00 1W,Second Hand Shop,BFM (HAMILTON) ENTERPRISES SOCIETY,601 UPPER GAGE AVE  HAMILTON ON L8V 4J7,2021/02/13 00:00:00+00
10,19 295739 01 1W,Second Hand Shop,C & D JEWELLERY LIMITED,651 UPPER JAMES ST B1 HAMILTON ON,2021/02/25 00:00:00+00
11,17 293195 03 1W,Second Hand Shop,C DEGREE MUSIC & NEW AND USED APPLIANCES,783 BARTON ST E  HAMILTON ON,2021/10/19 00:00:00+00
12,14 285340 05 1W,Second Hand Shop,CELL PHONE DEPO,77 JAMES ST N  HAMILTON ON L8R 2K3,2021/10/04 00:00:00+00
13,17 293509 02 1W,Second Hand Shop,CHARM JEWELRY (ONTARIO) LIMITED o/a CHARM DIAMOND CENTRES,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,2021/01/24 00:00:00+00
14,16 290722 04 1W,Second Hand Shop,CHESLEY ROSE INC. O/A CASH DEPOT,276 KENILWORTH AVE N  HAMILTON ON L8H 4S9,2021/02/24 00:00:00+00
15,14 286911 05 1W,Second Hand Shop,CHRISSANDRA COLLECTIBLES,194 KENILWORTH AVE N  HAMILTON ON,2021/06/28 00:00:00+00
16,14 206994 05 1W,Second Hand Shop,CRANBROOK GLEN ENTERPRISES LTD O/A HENRY'S,737 GOLF LINKS RD  ANCASTER ON,2021/03/25 00:00:00+00
