FID,ID,Name,EmplRange,NAICSTitle,NAICSDescr,NAICSCode,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Address,PostalCode,BldgNo,UnitNo,Modified,PIN,CHArea,Ward
1,7,Peel Car & Truck Rentals,1 to 4,Retail,Used Car Dealers,441120,905-670-2442,905-670-6458,1-855-670-2442,peelcarrentals@gmail.com,www.peelcarrentals.com,7050,Bramalea Rd,7050 Bramalea Rd,L5S 1T1,Bldg A,7,1.57611E+12,14795700,Northeast EA (West),5
2,4246,Real Fruit Bubble Tea,5 to 9,Accommodation,Limited-service eating places,722512, , , , ,www.realfruitbubbletea.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E10,1.56885E+12,6068300,DT Core,4
3,10,Unifor 2002,10 to 19,Other Services,Labour Organizations,813930,905-678-1551,905-678-0100,1-888-226-8885,info@unifor2002.org,www.unifor2002.org,7015,Tranmere Dr,7015 Tranmere Dr,L5S 1M2, ,5,1.57611E+12,14793500,Northeast EA (West),5
4,4247,Laura with Plus and Petites,5 to 9,Retail,Women's Clothing Stores,448120,905-277-8247, , , ,www.laura.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E9,1.56885E+12,6068300,DT Core,4
5,4250,Footlocker,20 to 49,Retail,All Other Clothing Stores,448199,905-276-7172, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F10-E11,1.56885E+12,6068300,DT Core,4
6,16,Nuance Group,N/A,Management,Head Offices,551114,905-676-2857,905-676-4895, ,nanorthamwarehousemanagers@ca.thefry/com, ,3130,Caravelle Dr,3130 Caravelle Dr,L4V 1K9, , ,1.44625E+12,10322200,Northeast EA (East),5
7,4251,Classic Fit Dry Clean & Alterations,5 to 9,Other Services,Dry Cleaning and Laundry Services (except Coin-Ope,812320,905-276-1507, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O5,1.56885E+12,6068300,DT Core,4
8,18,Fire Station 119,20 to 49,Public Administration,Municipal Fire-Fighting Services,913140,905-615-3777, , , ,www.mississauga.ca/portal/residents/fire,3201,Elmbank Rd,3201 Elmbank Rd,L4V 1A6, , ,1.5006E+12,31141506,Airport SPA,5
9,4257,L'Occitane En Provence,1 to 4,Retail,"Cosmetics, Beauty Supplies and Perfume Stores",446120,905-848-2442, , , ,www.loccitane.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F8,1.5101E+12,6068300,DT Core,4
10,4259,Peoples Jewellers,10 to 19,Retail,Jewellery Stores,448310,905-277-9507,905-277-3018, , ,www.peoplesjewellers.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F11,1.5101E+12,6068300,DT Core,4
11,20,Triumph Express Service Canada Inc.,20 to 49,Transportation,Other Freight Transportation Arrangement,488519,905-673-9300,905-673-8599,1-800-793-5255,hr@triumph.ca,www.triumph.ca,3030,Orlando Dr,3030 Orlando Dr,L4V 1S8, , ,1.57611E+12,27937800,Northeast EA (East),5
12,4261,Stitch It,5 to 9,Other Services,Other Personal and Household Goods Repair and Main,811490,905-566-4906,905-335-9060, , ,www.stitchit.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E10,1.5692E+12,6068300,DT Core,4
13,4263,Fairweather,5 to 9,Retail,Women's Clothing Stores,448120,365-207-0142, , , ,www.fairweather.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,D9,1.56885E+12,6068300,DT Core,4
14,21,A B F Custom Manufacturing Ltd.,50 to 99,Manufacturing,Machine Shops,332710,905-612-0743,905-612-1931, ,abdul@abfmfg.com,www.abfmfg.com,6750,Professional Crt,6750 Professional Crt,L4V 1X6, , ,1.57611E+12,10307100,Northeast EA (East),5
15,23,Light It Up Electric Supply Corp,5 to 9,Wholesale,"Electronic Components, Navigational and Communicat",417320,905-405-0008,905-405-1001, ,info@lightitupelectric.ca,www.lightitupelectric.ca,7895,Tranmere Dr,7895 Tranmere Dr,L5S 1V9, ,10,1.49602E+12,10070400,Northeast EA (West),5
16,4264,Caryl Baker Visage,1 to 4,Other Services,Beauty Salons,812115,905-848-6655, , , ,www.carylbakervisage.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E4,1.53827E+12,6068300,DT Core,4
17,26,Malton Islamic Centre,N/A,Other Services,Religious Organizations,813110,905-671-2911,905-671-2911, ,shaniff@hotmail.com,www.maltonsislamiccenter.ca,6836,Professional Crt,6836 Professional Crt,L4V 1X6, , ,1.54613E+12,10306800,Northeast EA (East),5
18,4268,Magenta Studio Photo,1 to 4,Professional,Photographic Services,541920,905-276-1666, , ,squareone@magenta.com,www.magentaphoto.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E9,1.56885E+12,6068300,DT Core,4
19,4270,Laura Secord,1 to 4,Retail,Confectionery and Nut Stores,445292,905-275-2166, , , ,www.laurasecord.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E10,1.56885E+12,6068300,DT Core,4
20,4271,Torrid,5 to 9,Retail,Family Clothing Stores,448140,905-270-3986, , , ,www.facebook@torridsquareone.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E11,1.56885E+12,6068300,DT Core,4
21,4272,American Eagle Outfitters,20 to 49,Retail,Family Clothing Stores,448140,905-306-9828, , , ,www.ae.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E11,1.5101E+12,6068300,DT Core,4
22,4276,Bell (Level 2),5 to 9,Retail,"Appliance, television and other electronics stores",443143,905-270-3325,905-270-2192,1-866-310-2355, ,www.bell.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,K12,1.56885E+12,6068300,DT Core,4
23,4288,Build-A-Bear,5 to 9,Retail,"Hobby, Toy and Game Stores",451120,905-366-1330, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P11,1.54613E+12,6068300,DT Core,4
24,4289,Indochino,10 to 19,Retail,Men's Clothing Stores,448110,289-813-6264, , ,squareone@indochino.com,www.indochino.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G7,1.56885E+12,6068300,DT Core,4
25,4290,Banana Republic,20 to 49,Retail,Family Clothing Stores,448140,905-270-6420, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G12,1.56885E+12,6068300,DT Core,4
26,4291,Birks (Maison Birks),5 to 9,Retail,Jewellery Stores,448310,905-275-1344, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,I10,1.56885E+12,6068300,DT Core,4
27,4295,Swarovski,5 to 9,Retail,Jewellery Stores,448310,905-290-8193, , , ,www.swarovski.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F8,1.5101E+12,6068300,DT Core,4
28,4299,Godiva Chocolatier,5 to 9,Retail,Confectionery and Nut Stores,445292,905-273-4602, , ,Godiva.retail.store414@godiva.com,www.godiva.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G7,1.56885E+12,6068300,DT Core,4
29,4301,Villa Madina,5 to 9,Accommodation,Limited-service eating places,722512,905-276-3866, , , ,www.villamadina.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q9,1.56885E+12,6068300,DT Core,4
30,4304,Hakim Optical,1 to 4,Retail,Optical Goods Stores,446130,905-896-9900, , ,store025@hakimoptical.ca,www.hakimoptical.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,M7,1.56885E+12,6068300,DT Core,4
31,4305,Simons,100 to 299,Retail,Family Clothing Stores,448140,289-777-3630,905-276-3035, ,mississauga@simons.ca,www.simons.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,D8,1.54613E+12,6068300,DT Core,4
32,4307,GoodLife Fitness Club,20 to 49,Arts,Fitness and Recreational Sports Centres,713940,905-804-0707,905-804-0044, , ,www.goodlifefitness.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,R9,1.54613E+12,6068300,DT Core,4
33,4310,Charley's Philly Steaks,5 to 9,Accommodation,Limited-service eating places,722512,905-272-2123, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q9,1.56885E+12,6068300,DT Core,4
34,4312,A & W,10 to 19,Accommodation,Limited-service eating places,722512,647-479-8058,905-878-7507, ,aw4823,www.aw.ca.dhg@gmail.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q9,1.56885E+12,6068300,DT Core,4
35,4313,Taco Bell,5 to 9,Accommodation,Limited-service eating places,722512,905-896-9600, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q8,1.54613E+12,6068300,DT Core,4
