NAME,NAME_FR,ADDRESS,ADDRES_FR,CITY,PROVINCE,PC,PC_ADDRESS,PHONE,EMAIL,DATE_MOD,WEB_1,WEB_2,ID,IMAGE,SUB,OBJECTID
COLES,COLES,100 Bayshore Drive,"100, prom Bayshore",Ottawa,ON,K2B 8C1,K2B 8C1,,,20180608,http://www.chapters.indigo.ca/home/,,FP335,,Bookstores,0
LIBRAIRIE COOPCO,LIBRAIRIE COOPCO,101 Saint-Jean-Bosco St,"101, rue Saint-Jean-Bosco",Gatineau,QC,K1K 4R3,K1K 4R3,819-773-1673,,20180608,,,FP339,,Bookstores,1
KALEIDOSCOPE KIDS' BOOKS,KALEIDOSCOPE KIDS' BOOKS,1018 Bank St,"1018, rue Bank",Ottawa,ON,K1S 3W8,K1S 3W8,,info@kaleidoscopekidsbooks.ca,20180608,http://www.kaleidoscopekidsbooks.ca/,,FP348,,Bookstores,2
PATRICK MCGAHERN BOOKS INC,PATRICK MCGAHERN BOOKS INC,11 Murray St,"11, rue Murray",Ottawa,ON,K1N 9M5,K1N 9M5,,,20180608,http://www.mcgahernbooks.ca/,,FP395,,Bookstores,3
OCTOPUS BOOKS,OCTOPUS BOOKS,116 Third Ave,"116, av Third",Ottawa,ON,K1S 2K1,K1S 2K1,613-233-2589,octopus@octopusbooks.ca,20180608,http://octopusbooks.ca,http://octopusbooks.ca,FP350,,Bookstores,4
BENJAMIN BOOKS,BENJAMIN BOOKS,122 Osgoode Street,"122, rue Osgoode",Ottawa,ON,K1N 6S1,K1N 6S1,613-232-7495,,20180608,,,FP368,,Bookstores,5
INDIGO BOOKS & MUSIC,INDIGO BOOKS & MUSIC,125 RioCan Avenue,"125, av Riocan",Ottawa,ON,K2J 5G4,K2J 5G4,,,20180608,http://www.chapters.indigo.ca/home/,,FP336,,Bookstores,6
THE BOOK COMPANY,THE BOOK COMPANY,128 Bank St,"128, rue Bank",Ottawa,ON,K1P 5N6,K1P 5N6,,,20180608,http://www.chapters.indigo.ca/home/,,FP355,,Bookstores,7
SERENDIPITY BOOKS & GIFTS,SERENDIPITY BOOKS & GIFTS,1337B Welllington St W,"1337B, rue Wellington Ouest",Ottawa,ON,K1Y 3B8,K1Y 3B8,613-722-3400,info@serendipitybooks-gifts.ca,20180608,http://www.serendipitybooks-gifts.ca/,,FP362,,Bookstores,8
THE COMIC BOOK SHOPPE,THE COMIC BOOK SHOPPE,1400 Clyde Avenue,"1400, av Clyde",Ottawa,ON,K2G 3J2,K2G 3J2,,,20180608,http://thecomicbookshoppe.com/,,FP377,,Bookstores,9
LIBRAIRE AGORA & CAFE INTERNET,LIBRAIRE AGORA & CAFE INTERNET,145 Besserer Street,"145, rue Besserer",Ottawa,ON,K1N 6A7,K1N 6A7,613-562-4672,,20180608,http://www.agorabookstore.ca/,,FP346,,Bookstores,10
Book Market - Nepean,Book Market - Nepean,1534 Merivale Rd,"1534, chemin Merivale",Ottawa,ON,K2G 3G4,K2G 3G4,613-226-3672,bookmarket@bellnet.ca,20180608,http://www.bookmarket.ca/index.html,,FP405,,Bookstores,11
BOUND 2 LEARN,BOUND 2 LEARN,16 Jarlan Terr,"16, tsse Jarlan",Ottawa,ON,K2L 3L6,K2L 3L6,,,20180608,http://www.bound2learn.com/,,FP402,,Bookstores,12
COIN DU LIVRE,COIN DU LIVRE,1657 Cyrville Rd,"1657, chemin Cyrville",Ottawa,ON,K1B 3L7,K1B 3L7,613-746-1242,,20180608,http://www.coindulivre.ca/accueil.php,,FP329,,Bookstores,13
Book Market - Orleans,Book Market - Orleans,1675 10th Line Rd,"1675, chemin 10th Line",Ottawa,ON,K1E 2H8,K1E 2H8,613-824-3198,bookmarket@bellnet.ca,20180608,http://www.bookmarket.ca/index.html,,FP404,,Bookstores,14
BOOK GALLERY,BOOK GALLERY,19 Lake Avenue West,"19, av Laurier Ouest",Carleton Place,ON,K7C 1L1,K7C 1L1,613-257-2373,,20180608,http://www.thebookgallery.ca/Home,,FP390,,Bookstores,15
LEARN TO LIVE BOOKSTORE,LEARN TO LIVE BOOKSTORE,190 Av Melrose,"190, av Melrose",Ottawa,ON,K1Y 4K7,K1Y 4K7,613-725-6326,,20180608,,,FP359,,Bookstores,16
