FID,Trade_Name,Concept,Licence_,Location,X,Y,Website,Twitter,Facebook,FID2
1,Ad Mare Mobile Seafood Inc,Sustainable fish and seafood,Vehicle,South side of slater East of O'Connor,-75.697689,45.420304,http://admareseafood.com,@Ad_Mare,https://www.facebook.com/AdMareSeafood,1
2,Aleks,,cart,East side of Bank South of Queen ,-75.7008,45.42052,,,,2
3,Aleks,,cart,East side of Metcalfe  North of Spark ,-75.69738,45.42284,,,,3
4,Alexander's Hot Dogs, ,Vehicle,East Side of Elgin North of Queen,-75.694762,45.423613, , , ,4
5,Angry Dragonz,Asian fusion with a twist,Vehicle,South side of Albert West of O'Connor,-75.702718,45.416194,angrydragonz.ca,@angrydragonz, ,5
6,B &  B Chips, ,Vehicle,South Side of Cooper East of Bank,-75.69641,45.416176, , , ,6
7,BAP,Bibimbap - authentic Korean cuisine,Cart,West side of Bank between Slater and Albert,-75.700082,45.41969, ,@RaonKitchen, ,7
8,Canapola, ,Cart,West side of MetcalfeSouth of Sparks,-75.697366,45.422637, , , ,8
9,Chef on Wheels, ,Vehicle,North side of Lisgar East of Elgin,-75.691098,45.419501, , , ,9
10,Ha Lou French Fries, ,Vehicle,West side of Kent South of Slater,-75.702549,45.418359, , , ,10
11,Hot Diggity Dogs, ,Cart,East side of Bank South of Laurier,-75.698758,45.418384,hotdogottawa.com,@hotdigdogottawa,https://www.facebook.com/Hot-Diggitty-Dog,11
12,Ivailo's Ice-Cream, ,Cart,West side of Metcalfe between Sparks and Wellington,-75.697839,45.423133, , , ,12
13,Ivailo's Super Dogs, ,Cart,West side of Metcalfe between Sparks and Wellington,-75.697839,45.423133, , , ,13
14,Le Snack Attack, ,Vehicle,South side of Nepean West of Elgin,-75.692237,45.419626, , , ,14
15,Lou Fast Foods, ,Vehicle,West side of Metcalfe North of Queen,-75.697148,45.422309, , , ,15
16,Margie's Filipino BBQ,,Cart,West side of Bank South of Sparks,-75.70134,45.421139,,,,16
17,Mikey's Fast Food, ,Cart,West side of Metcalfe between Laurier and Slater,-75.695541,45.420671, , , ,17
18,Pelican Streat Gourmet,"fresh, local and seasonal ever-changing menu.  Gourmet inspired. Chef driven",Vehicle,North side of Queen between Bank and Kent,-75.6991,45.421351,http://streatottawa.ca/,@StreatOttawa,https://www.facebook.com/pages/Ottawa-Streat-Gourmet/139622142853155,18
19,Rico Peru Truck, ,Vehicle,East side of Kent between Laurier and Slater,-75.701332,45.418134,http://www.ricoperu.ca/,@Rico_Peru, ,19
20,Season Chips, ,Vehicle,North side of Albert East of Lyon,-75.705969,45.41928, , , ,20
21,Sula Wok,Asian fusion with a twist,Cart,East side O'Connor South of Sparks,-75.699168,45.421894, , , ,21
22,Summerville Refreshment, ,Cart,West side of Elgin between Nepean and Gloucester,-75.692506,45.420191, , , ,22
23,T.D. Chips, ,Vehicle,North side of Lisgar West of Bank,-75.697895,45.416606, , , ,23
24,The Carribean Cruiser,,vehicle,West side of O'Connor between Laurier and Gloucester,-75.696888,45.419044,,,,24
25,Tommy's Chip Wagon, ,Vehicle,West side of Metcalfe South of Wellington,-75.697879,45.42334, , , ,25
26,Andy's Hot Dog, ,Cart,South side of Richmond between Roosevelt and Churchill,-75.755142,45.391436, , , ,26
27,Crystal Dog, ,Cart,West Side of North River at Mcarthur,-75.668878,45.430919, , , ,27
29,Emily's Chip Wagon, ,Truck,South side of St.Laurent Blvd East of Thurston,-75.619852,45.384108, , , ,28
30,Frenchies Super Fries, ,Truck,North Side of Wellington  West of McCormick,-75.727211,45.40168, , , ,29
31,Glen's Fries, ,Truck,South Side of Richmond between Patricia and Hilson,-75.744932,45.395951, ,https://www.facebook.com/Glens-Fries-190125937687791/, ,30
32,K & H Fries, ,Truck,East side of Booth North of Norman,-75.793211,45.350554, , , ,31
34,Long Patates, ,Truck,Ruskin outside of Heart Institute,-75.720555,45.394674, , , ,32
35,My Vina French Fries,,Truck,South side of Queen between Metcalfe and O'Connor,-75.697806,45.421781,,,,33
36,Royi Latina Fusion,,Truck,West side of Courtwood South of Woodward,-75.751487,45.370247,,,,34
37,Streetside Concessions, ,Cart,North side of Laurier West of pedestrian crosswalk at Ottawa U,-75.685622,45.42467, , , ,35
38,Streetside Concessions, ,Cart,South Side of Laurier East of Pedestrian Crosswalk at Ottawa U.,-75.685429,45.424171, , , ,36
39,Thee Chip Shoppe, ,Truck,West side of Booth South of Norman,-75.705547,45.400938, , , ,37
40,Thee Chip Shoppe, ,Truck,Nelson at York directly across 96 Nelson,-75.685441,45.431368, , , ,38
41,Tommy's Chip Wagon, ,Truck,North side of Wellington East of Huron,-75.732895,45.399613, , , ,39
42,Urasie,,Cart,East side of Holland North Scott,-75.734074,45.40375,,,,40
