OBJECTID,ID,Company,SectorDescription,Address,City,Prov,PC,Telephone,Extension,Telephone2,Fax,Email,WebSite,FullTime,PartTime,Seasonal,Estab,LanguageEN,LanguageFr,LanguageOTHER
1,5658,Ali Bakes Cakes,"Catering, Restaurants and Food Services",116 Balsam Street,Welland,Ontario,L3C7H2,(905) 923-6618,,,,alibakescakes1@gmail.com,www.alibakescakes.ca,1,0,0,2017,-1,0,
2,5659,Chuck's Roadhouse Bar & Grill,"Catering, Restaurants and Food Services",657 Niagara Street,Welland,Ontario,L3C1E2,(905) 732-1298,,,,,www.chucksroadhouse.com,,0,0,,0,0,
3,5660,Main Mini Storage Welland,Transportation and Warehousing,399 East Main Street,Welland,Ontario,L3B3X1,(905) 834-9090,,,,mainministoragewelland@gmail.com,,,0,0,2020,-1,0,
4,5661,The Grand Canal Retirement Residence,Health and Social Services,439 King Street,Welland,Ontario,L3B6E1,(905) 218-3650,,,,Info@GrandCanal.ca,www.grandcanal.ca,,0,0,,-1,-1,
5,5662,Caffeineoline Coffee House,"Catering, Restaurants and Food Services",69 East Main Street,Welland,Ontario,L3B3W4,,,,,caffeineoline@gmail.com,www.caffeineoline.ca/?fbclid=IwAR37jSkCUVv5isxgOZafUKVeAc29lItpz_c2H3cKXs5jTRya3vvOfRCvgNY,,0,0,,0,0,
6,5663,Write 2 the Point,Communications,Hagar Street,Welland,Ontario,L3B5Y2,(289) 213-6622,,,,mail@write2thepoint.ca,www.write2thepoint.ca,1,0,0,2011,-1,-1,
7,5664,Rexall Clinic Pharmacy,Pharmacies,399 King Street,Welland,Ontario,L3B 3K4,(905) 732-9611,,,(905) 732-9640,6923rx@rexall.ca,www.rexall.ca,7,6,,1991,-1,0,
8,5665,Kay's Korner Variety Ltd.,Convenience and Variety Stores,150 Thorold Road,Welland,Ontario,L3C 3V4,(905) 732-5385,,,,,,5,7,,1986,0,0,
9,5666,KFC,"Catering, Restaurants and Food Services",815 Ontario Road,Welland,Ontario,L3B5V2,(905) 732-3613,,,,2027-welland-on@soulrestaurants.com,,4,5,,1963,0,0,
10,5667,KFC,"Catering, Restaurants and Food Services",623 Niagara Street,Welland,Ontario,L3C 1L9,(905) 734-7796,,,,,,3,12,,1963,0,0,
11,5668,Ministry of Correctional Services (Probation & Parole Services),Government Services,3 Cross Street,Welland,Ontario,L3B 5X6,(905) 735-1660,,,(905) 735-5665,,,7,,,1950,-1,0,
12,5669,Bishop Waterproofing and Trenching,Construction and Construction Equipment,585 Lincoln Street,Welland,Ontario,L3B 4P7,(905) 735-0988,,,,,,1,,4,1991,-1,0,
13,5670,"Bonsu, Dr. Peter",Health and Social Services,390 Lincoln Street,Welland,Ontario,L3B 3K4,(905) 788-1777,,(905) 734-7411,(905) 788-1779,,,3,,,1987,0,0,
14,5671,Buckner's Source for Sports,Retail,545 Niagara Street,Welland,Ontario,L3C 1L7,(905) 734-6422,,,(905) 734-9155,buckners@sourceforsports.ca,www.sourceforsports.com/en-US/Stores/23-Buckners-Welland-Source-For-Sports.aspx,3,4,,1988,0,0,
15,5672,Scotia Bank,Financial Institutions,440 Niagara Street,Welland,Ontario,L3C 1L5,(905) 735-8750,,,(905) 735-3671,,www.scotiabank.com,12,12,,1968,0,0,
16,5673,Tim Horton's,"Catering, Restaurants and Food Services",990 East Main Street,Welland,Ontario,L3B 3Z3,(905) 788-1952,,,,,,30,,,1996,0,0,
17,5674,4500 Taxi,Transportation and Warehousing,64 Vaughan Road,Welland,Ontario,L3B 5Y1,(905) 735-4500,,,,,,6,3,,1960,0,0,
18,5675,"Abraham, Dr. Eapen G.",Health and Social Services,"115 MacLean Place, 3rd Floor",Welland,Ontario,L3B 5X9,(905) 788-0960,,,(905) 788-9278,,,2,,,1984,0,0,
19,5676,Sobeys,Retail,609 South Pelham Road,Welland,Ontario,L3C 3C7,(905) 735-7467,,,(905) 735-7467,,www.sobeys.ca,25,79,,2005,0,0,
20,5677,A & W Foods (Food Court),"Catering, Restaurants and Food Services",800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 734-8272,,,(905) 734-8272,,,11,,,1989,-1,0,
21,5678,A - 1 Flooring (Welland),Interior and Exterior Design,6 Clark Street,Welland,Ontario,L3B 5W6,(905) 735-3223,,,(905) 735-0854,a1flooring2@bellnet.ca,www.a1flooringwelland.com,10,2,,1950,0,0,
22,5679,Niagara Community Legal Clinic,Legal Services,15 Burgar Street,Welland,Ontario,L3B2S6,(905) 682-6635,,,(905) 732-6133,,www.niagaracommunitylegalclinic.com,15,3,,1978,-1,-1,
23,5680,Canada Post,Government Services,26 Division Street,Welland,Ontario,L3B3Z0,(905) 732-1062,,,(905) 734-7480,,www.canadapost.ca,48,7,15,1854,-1,-1,
24,5681,"Aqua-Blue Pools, Spas and Baths (Niagara) Ltd.",Retail,633 King Street,Welland,Ontario,L3B 3L4,(905) 735-9131,,,(905) 734-1671,info@aquablue.ca,www.aquablue.ca,5,,18,1985,-1,0,
25,5682,Canton House,"Catering, Restaurants and Food Services",904 Ontario Road,Welland,Ontario,L3B 5E3,(905) 735-6221,,,,,,,6,,1987,0,0,
26,5683,Avondale Stores Ltd.,Convenience and Variety Stores,626 East Main Street,Welland,Ontario,L3B 3Y3,(905) 788-3174,,,(905) 788-3174,,,,3,,1987,0,0,
27,5684,Avondale Stores Ltd.,Convenience and Variety Stores,104 Elmview Avenue,Welland,Ontario,L3C 4K7,(905) 735-6774,,,(905) 735-6774,,,1,4,,n/a,0,0,
