Company Name,Sectors,Website,Contact,Location,Description
(GFL) Direct Line Environmental Corp. ,Waste Management,www.dlenv.com ,"Tom Kahler, V.P. Commercial Division<br />tkahler@dlenv.com<br />800 541-2527 ex 233",Pickering,A fully integrated liquid waste management company involved in the collection and processing of waste. 
(C.L.E.A.N.) - Closed Loop Environmental Alliance Network Inc. ,"Air Pollution Prevention and Control;Contracting and Engineering;Consulting; Education, Training and Information;Environmental Management Systems; Equipment;Research and Development;Remediation;Waste Management;Water and Wastewater Management",www.cleanalliance.com ,"George Poltis, President & CEO<br />gpolitis@cleanalliance.com<br />905 951-3244",Bolton,"C.L.E.A.N. is a one stop integrated service provider for environmental products and services, offering its clients a 'Closed Loop' approach with a responsible and affordable environmental solution for their environmental needs."
BSI Entropy International,Environmnetal Management Systems,bsi-entropy.com ,"Paul Stanfield, Direct Marketing Manager<br />paul.stanfield@bsi-entropy.com<br />613 254-8478 ex 223",Ottawa,BSI Entropy provides web-based auditable and integrated management system software solutions for leading organizations around the world to manage their risks.
2CG Inc ,Consulting,www.2cg.ca ,"Paul Vander Werf, President<br />2cg@sympatico.ca<br />519 317-7733",London,2cg are specialists in waste diversion and developing economically and environmentally sound strategies for the private and public sectors. Services include: Waste auditing Waste management planning studies
360 Energy Inc ,Air Pollution Prevention and Control;Energy Efficiency and Renewable Energy;Consulting,360energy.net ,"Lisa Vande Walle, Marketing and Sales Coordinator<br />lisa.vandewalle@360energy.net<br />905 634-8877 ex 22",Burlington,360 Energy Inc provides comprehensive energy management solutions to industrial organizations and sophisticated greenhouses.
5 Star Water Solutions ,Water and Wastewater Management,,"Ken Kinzie, President<br />ken@5starwatersolutions.ca<br /> 519 743-9800 ",Kitchener,"Residential, commercial and industrial sales and service for water softeners, purifiers, iron and sulfur filters."
A & A Environmental Services Inc. ,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Consulting;Environmental Management Systems;Remediation",www.AAenvironmental.ca ,"George Duncan, Dr.<br />gduncan@AAenvironmental.ca<br />705 642-9811",Kirkland Lake,"Broad-based environmental consulting firm specializing in site investigations, groundwater studies, indoor/outdoor air quality including stack testing, site remediation."
A Cubed IT Solutions Inc,Waste Management,www.freerecycling.ca ,"Will Seto, Recycling Director<br />info@freerecycling.ca<br />416 438-2823 ",Toronto,"FreeRecycling.ca is diligently working to turn your high-tech 'junk' into marketable commodities, and keeping them from becoming problems in the landfill."
A&L Canada Laboratories,"Analytical Services, Data Collection and Analysis",www.alcanada.com ,"Robert Deakin, Laboratory Director<br />rdeakin@alcanada.com<br />519 457-2575 ex 224",London,"Private laboratory specializing in soil, compost, fertilizer, manure, plant tissue, animal feed, and waste water. "
Aaroc Aggregates Ltd.  ,Waste Management,,"Jim Aarts, General Manager<br />jimaarts@aaroc.on.ca<br />519 652-2104",London,"Aaroc operates several locations, manufacturing and supplying quality aggregate materials. Delivery is available, either on a wholesale or retail basis and recyclable materials such as concrete, asphalt and brick are accepted for reprocessing."
Abacon Environmental Consultants Inc. ,Consulting,www.abacon.ca ,"Marek Jakubczyk, Principal<br />abacon@abacon.ca<br />905 893-9609",Woodbridge,"An environmental consulting company specializing in asbestos management and environmental site assessment. Other services include: mould assessment, indoor air quality, occupational hygiene and hazardous materials management."
Accomodating Green,"Ecotourism;Consulting;Education, Training and Information;Environmental Management Systems;Research and Development;Waste Management",accommodatinggreen.com ,"Sonya Graci, Director<br />sonyagraci@accommodatinggreen.com<br />647 839-1344",Toronto,"Consulting that focuses on integrating sustainability practices into business. Focus on sustainable tourism, environmental management systems, facilitation, environmental assessment, public consultation and training. "
