"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"110 % TRAVAILLEUR",565,"Rue King Est","J1G 1B6","819 679-5341","Magasins De Tous Les Autres Vetements"
"12 SERVICES CONSEILS",2959,"Boulevard de l'Université","J1K 2X6","819 580-8875","Autres Services De Conseils Scientifiques Et Techniques"
"30MINUTE HIT",2655,"Rue King Ouest","J1L 2G4","819 791-1846","Centre De Sports Recreatifs Et De Conditionnement Physique"
"3677559 CANADA INC.",1480,"Rue Parent","J1K 2E1",NA,"Autres Services De Conseils En Gestion"
"48E GROUPE SCOUT LES RASSEMBLEURS DE ST-ÉLIE",4505,"Chemin Saint-Roch Nord","J1R 0K7",NA,"Organisations Civiques Et Amicales"
"52E AMBULANCE DE CAMPAGNE DE SHERBROOKE",315,"Rue William","J1H 4E8","819 564-4238","Services De Defense"
"5IEME SAISON",96,"Rue Queen","J1M 1J4","819 572-9105","Tous Les Autres Magasins D'Alimentation Specialisee"
"8776628 CANADA INC.",1671,"Rue Galt Est","J1G 3H6",NA,"Fabrication D'Enseignes"
"88 QUEEN ST.BOUTIQUE ET ATELIER",88,"Rue Queen","J1M 1J4","819 993-5775","Magasins De Vetements Pour Femmes"
"9146-5799 QUÉBEC INC.",6791,"Boulevard Bourque","J1N 3K4",NA,"Construction Residentielle"
"9289-9103 QUÉBEC INC.",538,"Rue du Parc-Industriel","J1C 0J9",NA,"Tous Les Autres Services De Reparation Et D'Entretien De Vehicules Automobiles"
"9303 8552 QUÉBEC INC.",1080,"Rue Galt Est","J1G 1Y5","819 565-5080","Toutes Les Autres Activites Diverses De Fabrication"
"9368-9886 QUÉBEC INC.",2883,"Rue King Est","J1G 5J1",NA,"Entreposage General"
"9381-0323 QUÉBEC INC.",158,"Chemin Duplessis","J1E 3C7",NA,"Bailleurs D'Immeubles Non Residentiels(Sauf Les Mini-Entrepots)"
"9387-2489 QUÉBEC INC.",1950,"Rue Roy","J1K 2X8",NA,"Editeurs De Journaux"
"A & W (BOULEVARD BOURQUE)",5181,"Boulevard Bourque","J1N 1H9","819 416-5871","Etablissements De Restauration A Service Restreint"
"A BOURQUE ACIER & MÉTAUX INC.",137,"Chemin Godin","J1R 0S6","819 569-6960","Grossistes-Distributeurs D'Autres Fournitures Speciales De Construction"
"A FLEUR DE VIE",292,"Rue Alexandre","J1H 4S7","819 346-2404","Magasins De Tous Les Autres Produits De Sante Et De Soins Personnels"
"À L'AFFICHE 2000 INC.",1327,"Chemin Gendron","J1R 0J6","819 569-3522","Distributeurs De Publicite Par L'Objet"
"A PIZZA SHERBROOKE",287,"Rue Galt Ouest","J1H 1Y1","819 674-9377","Etablissements De Restauration A Service Restreint"
"A&W (12E AVENUE N)",2015,"12e Avenue Nord","J1E 4J5","819 566-6472","Etablissements De Restauration A Service Restreint"
"A&W (BOUL. DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 569-0091","Etablissements De Restauration A Service Restreint"
"A&W (RUE GALT O)",3550,"Rue Galt Ouest","J1H 0A5","819 416-1464","Etablissements De Restauration A Service Restreint"
"A&W (RUE KING O)",2193,"Rue King Ouest","J1J 2G2","819 416-1461","Etablissements De Restauration A Service Restreint"
"A&W (RUE SAINT-JACQUES)",24,"Rue Saint-Jacques","J1R 0T2","819 933-1200","Etablissements De Restauration A Service Restreint"
"A. G. MINI-EXCAVATION",1300,"Rue Galt Est","J1G 5C1","819 640-0081","Entrepreneurs En Preparation De Terrains"
"A. J. R. INC.",1180,"Rue Galt Est","J1G 1Y5","819 346-4816","Toutes Les Autres Activites Diverses De Fabrication"
"A. M. MIDATECH",3527,"Boulevard Industriel","J1L 1X7","819 416-0646","Atelier D'Usinage"
"A. R. WILSON",512,"Rue Joseph-Latour","J1C 0W2","819 569-2509","Tous Les Autres Entrepreneurs Specialises"
"A.C.E.F. ESTRIE",187,"Rue Laurier","J1H 4Z4","819 563-8144","Organisme D'Action Sociale"
"A.R.C.H.E DE L'ESTRIE",782,"Rue Galt Ouest","J1H 1Z2","819 348-2670","Organisme D'Action Sociale"
"A3 SÉCURITÉ INC.",161,"Rue Hémond","J1J 4M8","819 564-3011","Services De Systemes De Securite, Sauf Les Serruriers"
"AASANTE GESTION DE PATRIMOINE",2202,"Rue King Ouest","J1J 2E8","819 566-9415","Services De Conseil En Placement"
"AB EXPRESS SHERBROOKE",4352,"Boulevard Industriel","J1L 2S8","819 565-5061","Grossistes-Distributeurs De Machines, Materiel Et Fournitures D'Usage Professionnel"
"AB STRATÉGIES ÉQUILIBRE",493,"Rue Wellington Sud","J1H 5E2","819 312 8655","Agences De Placement"
"ABCO RÉPARATION PORTES ET FENÊTRES",1831,"Chemin Galvin","J1G 3E7","819 566-5214","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"ABSOLU COIFFURE PLUS",480,"13e Avenue Nord","J1G 1B3","819 566-7587","Salons De Coiffure Pour Homme"
"ABSOLUE BEAUTÉ",1240,"Chemin Moulton-Hill","J1G 5E5","819 575-1370","Tous Les Autres Services Personnels"
"ABTECH SERVICES POLYTECHNIQUES INC.",204,"Rue Joseph-Robertson","J1L 2X3","819 566-6183","Grossistes-Distributeurs De Machines Et De Materiel De Bureau Et De Magasin"
"ACADÉMIE CCM",2959,"Boulevard de l'Université","J1K 2X6","819 578-7172","Tous Les Autres Services De Divertissement Et De Loisirs"
"ACADÉMIE DE DANSE BARBARA DESROCHERS",125,"Rue du Frère-Théode","J1C 0S3",NA,"Tous Les Autres Services De Divertissement Et De Loisirs"
"ACADÉMIE DE SECOURISME MÉDICAL INC. (ASM)",3025,"Rue King Ouest","J1L 2B5","819 933-1911","Tous Les Autres Etablissements De Formation Et D'Education"
"ACADÉMIE DES FUTURS GERANTS",1370,"Rue Jolliet","J1K 1Y9","819 943-7946","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"ACADÉMIE ENYO",720,"Rue Galt Ouest","J1H 1Z2","819 943-9674","Toutes Les Autres Activites Diverses De Fabrication"
"ACADÉMIE LE TROUBADOUR (RUE DE GIBRALTAR)",875,"Rue de Gibraltar","J1N 2H5","819 823-5343","Tous Les Autres Etablissements De Formation Et D'Education"
"ACADÉMIE LE TROUBADOUR (RUE DE LA CATHÉDRALE)",114,"Rue de la Cathédrale","J1H 4M1","819 791-5777","Tous Les Autres Etablissements De Formation Et D'Education"
"ACADÉMIE MASSAGE SCIENTIFIQUE",740,"Rue Galt Ouest","J1H 1Z3","1 800 475-1964","Tous Les Autres Etablissements De Formation Et D'Education"
"ACADÉMIE SGS / ARTS MARTIAUX SHERBROOKE",297,"Rue King Ouest","J1H 1R2","819 620-5566","Centre De Sports Recreatifs Et De Conditionnement Physique"
"ACASTI PHARMA",2650,"Rue Maximilien-chagnon","J1E 0M8","819 481-0449","Laboratoires Medicaux Et D'Analyses Diagnostiques"
