X,Y,OBJECTID,facilityid,name,factype,fulladdr,municipality,agencytype,phone,agencyurl,operhours,pocphone,comments,CreationDate,EditDate,Delivery,GlobalID
-113.839399410599,51.0261051413289,1,,NO FRILLS GROCERY STORE,Grocery Store,100 Rainbow Rd,Chestermere,, ,,8 a.m. to 10 p.m.,403-273-0111,,2020/03/27 19:43:15+00,2020/04/03 17:17:27+00,Not Available,{010FB492-C7F4-460A-B42D-E2F06FDEF632}
-113.828889083148,51.0500066598297,2,,BEST WESTERN PLUS - 80 UNITS,Hotel,200 Marina Dr,Chestermere,, ,https://www.bestwestern.com/en_US/book/hotel-rooms.61099.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:61099,,587-349-7444,,2020/03/27 19:43:16+00,2020/04/03 17:17:28+00,,{632182AF-0AB6-4EA7-8D1C-13664B49681F}
-113.84088527708,51.0251559916725,3,,RAINBOW FALLS DENTAL,Dental,214 - 100 Rainbow Rd,Chestermere,, ,https://rainbowfallsdental.ca/,8: 30 a.m. to 4:30 p.m.,587-470-1447,,2020/03/27 19:43:16+00,2020/04/03 17:17:28+00,,{A4C54CA2-0D86-4665-BFCD-BBC040081B19}
-113.841434995728,51.0251085722141,4,,LAVENDER NAILS & SPA,Cosmetic ,101-100 Rainbow Rd,Chestermere,, ,https://www.facebook.com/Lavender-NAILS-SPA-705056032945198/,10 a.m. to 7 p.m.,403-569-0404,,2020/03/27 19:43:17+00,2020/04/03 17:17:29+00,,{140A07F7-E9C0-4B17-B779-2D3951D99252}
-113.841434099209,51.0253713384035,5,,PIZZA HUT,Restaurant,100 Rainbow Rd,Chestermere,, ,https://www.pizzahut.ca/,11 a.m. to 11 p.m.,587-470-7927,delivery only,2020/03/27 19:43:17+00,2020/04/03 17:17:29+00,,{6E647D19-E263-4BDC-87C4-E3CE77EDC5D5}
-113.841529706007,51.0251380053378,6,,PHARMACY GUARDIAN,Pharmacy,103 - 100 Rainbow Rd,Chestermere,, ,https://www.guardian-ida-pharmacies.ca/en/alberta/chestermere/universal-health-5-chestermere-7032840?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,9 a.m. to 7 p.m.,403-452-2228,,2020/03/27 19:43:18+00,2020/04/03 17:17:30+00,,{3F48F0F4-AB0C-4B8A-B4C0-570FDC2FAC7A}
-113.841436894767,51.0250639540896,7,,FAMILY AND WALK-IN MEDICAL CLINIC,Medical Centre,,Chestermere,, ,,,,,2020/03/27 19:43:18+00,2020/04/03 17:17:30+00,,{6C851D32-BF58-4D9D-86A6-F97A77D60B22}
-113.841432536141,51.0253173508131,8,,CHESTERMERE REGIONAL FOOD BANK,Grocery Store,105 - 100 Rainbow Rd,Chestermere,, ,http://chestermerefoodbank.ca/,11 a.m. to 1 p.m.,403-273-0777,,2020/03/27 19:43:18+00,2020/04/03 17:17:30+00,,{3501968F-975E-4D5A-8E5A-BE73951707E2}
-113.841437924236,51.0252743895286,9,,REVITAL HEALTH,Medical Centre,106 - 100 Rainbow Rd,Chestermere,, ,https://www.revitalhealth.ca/,9 a.m. to 8 p.m.,403-455-5275,,2020/03/27 19:43:19+00,2020/04/03 17:17:31+00,,{837DD209-2C86-4929-8D85-D0C9DA1B1955}
-113.840780320617,51.0381139044498,10,,CENTER FOR COMMUNITY LEADERSHIP / PARK,Learning,101 - 340 Merganser Drive West,Chestermere,Municipal,403-207-7050,,,403-212-0242,,2020/03/27 19:43:20+00,2020/04/03 17:17:31+00,,{D5B0EA30-D2CC-4ED1-A476-C8012422B1D9}
