X,Y,OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,BusinessDescription,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE
529245.8253,5451707.3222,1,00458525,250,22529,LOUGHEED HWY,V2X 0L5,VN NAILS & SPA SALON,PERSONAL SERVICES,NAIL SALON,NAIL SALON,2022/01/10 08:00:00+00,COMMERCIAL,,,Work,,
529652.2796,5451568.4825,2,00434318,3,22722,LOUGHEED HWY,V2X 2V6,CARE PLACE WELLNESS CENTRE INC,PROFESSIONAL SERVICES,ACUPUNCTURE,HEALTH CARE ACUPUNCTURE,2022/03/03 08:00:00+00,COMMERCIAL,,604 466 2818,Work,,
529182.4112,5451594.9463,3,00435936,,11771,225 ST,V2X 6E6,CIRCUIT BUILDING,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,4 RENTAL UNITS (DWELLING).  THERE ARE 15 ROOMS RENTED IN TOTAL.,2021/12/03 08:00:00+00,COMMERCIAL,,,Work,,
528651.6997,5452622.8054,4,00460494,102,12310,222 ST,,ROMSAN TRUCKING,TRANSPORT GOODS & SERVICES,TRUCKING,TRANSPORTATION,2021/12/09 08:00:00+00,HOME BASED,,604 761 0037,Work,,
525698.8423,5451720.1299,5,00434673,1,20726,LOUGHEED HWY,V2X 2R1,ANDIAMO'S 2 FOR 1 PIZZA & PASTA LTD,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,PIZZA AND PASTA HOUSE,2022/05/19 07:00:00+00,COMMERCIAL,,604 463 9292,Work,,
540993.973,5451849.44,6,00432115,,28316,DEWDNEY TRUNK RD,V2W 1M1,CAMP GOOD DOG INC,ANIMAL SERVICES,KENNEL COMMERCIAL - BOARDING,COMMERCIAL KENNEL,2022/01/31 08:00:00+00,COMMERCIAL,,604 515 2267,Work,,
531108.2813,5454780.7681,7,00433576,,23476,133 AVE,V4R 2W7,A LASTING IMPRESSION INTERIOR DESIGN,DESIGN SERVICES,INTERIOR,INTERIOR DESIGN,2022/01/04 08:00:00+00,HOME BASED,,604 476 9978,Work,,
528656.0482,5452071.9292,9,00457592,,22219,DEWDNEY TRUNK RD,V2X 3H8,ALISSA BANNS,PROFESSIONAL SERVICES,CHIROPRACTOR,CHIROPRACTOR,2021/12/03 08:00:00+00,COMMERCIAL,,604 467 7444,Work,,
531818.5896,5449361.2531,10,00434994,,10442,TAMARACK CRES,V2W 1B5,SMART CLEANING,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,JANITORIAL/CLEANING,2021/12/23 08:00:00+00,HOME BASED,,604 862 9797,Work,,
,,11,00434155,,12968,232 ST,,SC ATM SERVICES,FINANCIAL & INSTITUTIONAL SERVICES,ATM/KIOSK,1 ATM MACHINE AT BLACK SHEEP PUB,2021/12/24 08:00:00+00,COMMERCIAL,,604 945 2055,Work,,
525312.1801,5450553.6956,12,00434153,5,11250,WARESLEY ST,V2X 1Z2,NEW MAPLE MARKET,FOOD & BEVERAGE RETAIL,GROCERY/SUPERMARKET,GROCERY STORE,2021/12/17 08:00:00+00,COMMERCIAL,,604 460 1288,Work,,
525939.5721,5451787.2968,13,00434660,,20855,LOUGHEED HWY,,7069252BC LTD  DBA WHITE SPOT RESTAURANT,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,RESTAURANT,2022/01/04 08:00:00+00,COMMERCIAL,,604 467 3922,Work,,
525090.8691,5452059.7338,14,00439296,160,20398,DEWDNEY TRUNK RD,V2X 3E3,WESTGATE LIQUOR STORE,FOOD & BEVERAGE RETAIL,LIQUOR RETAIL STORE,LIQUOR RETAIL STORE,2021/12/08 08:00:00+00,COMMERCIAL,,604 460 9119,Work,,
539439.7306,5452945.8275,15,00458375,,27580,SAYERS CRES,V2W 1N3,SUGARING PRO,PERSONAL SERVICES,SPA SERVICES,SUGARING PRACTITIONER,2021/12/06 08:00:00+00,HOME BASED,,778 344 2395,Work,,
525811.6378,5451797.3145,17,00440565,C,20779,LOUGHEED HWY,V2X 2R2,WESTERN HEATING & POOL SERVICES,RETAIL,UNCLASSIFIED MISCELLANEOUS RETAIL,POOL SUPPLIES,2022/01/21 08:00:00+00,COMMERCIAL,,604 477 3188,Work,,
524426.3751,5451112.0477,18,00435243,5,20121,115A AVE,V2X 0Z3,STICKLE CONSTRUCTION LTD,MANUFACTURING,WOOD PRODUCTS,CABINETRY & MILLWORK,2021/12/30 08:00:00+00,COMMERCIAL,,604 576 8012,Work,,
528975.8304,5452632.0525,19,00440748,307,12283,224 ST,,LEON ZUVIC TAX SERVICES,FINANCIAL & INSTITUTIONAL SERVICES,TAX PREPARATION,INCOME TAX PREPARATION,2021/12/23 08:00:00+00,HOME BASED,,604 773 9905,Work,,
531688.3538,5449542.7661,20,00434469,,10417,TAMARACK CRES,V2W 1B3,ROBERT J. D'EITH LAW CORP (DBA D'EITH & CO),PROFESSIONAL SERVICES,BARRISTER/LAWYER/SOLICITOR,LAWYER,2021/12/29 08:00:00+00,HOME BASED,,604 675 6227,Work,,
535235.3848,5453224.5874,22,00433100,,12590,254 ST,V4R 1V4,BELLA VISTA HOME BUILDERS LTD,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),GENERAL CONTRACTOR,,HOME BASED,,604 462 0602,Work,,
525565.5494,5451740.3911,23,00434157,100,20690,LOUGHEED HWY,,MAPLE RIDGE LIQUOR STORE,FOOD & BEVERAGE RETAIL,LIQUOR RETAIL STORE,LIQUOR STORE,2021/12/09 08:00:00+00,COMMERCIAL,,604 465 2779,Work,,
530775.9629,5453849.3238,24,00435850,,12892,232 ST,V2X 6T9,G.E.N. ENTERPRISES LTD DBA GARIBALDI TRAILER COURT,RENTAL UNIT,TRAILER COURT,MOBILE HOME PARK,2021/12/14 08:00:00+00,COMMERCIAL,,604 802 1906,Work,,
528856.0713,5452011.6089,25,00436448,,22330,DEWDNEY TRUNK RD,V2X 3J2,HAPPY HEARTS CHILDCARE CENTRE INC,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,DAYCARE - OCCUPANT LOAD = 30,2021/12/20 08:00:00+00,COMMERCIAL,,778 846 4838,Work,,
537317.1638,5452925.9932,26,00459872,,26505,124 AVE,V2W 1P1,PROACTIVE INTEGRATED SECURITY LTD,SECURITY,SECURITY SYSTEMS SALES/SERVICE,MONITORED ALARM/CAMERA INSTALLATIONS,2022/03/11 08:00:00+00,HOME BASED,WWW.PROACTIVEALARMS.COM,604 522 2121,Work,,
529484.5901,5450931.3092,27,00436108,,22610,116 AVE,V2X 9V1,FRASERVIEW VILLAGE COMMUNITY ASSOCIATION,COMMUNITY GROUPS,CIVIC/SOCIAL ORGANIZATIONS,COMMUNITY HALL IN FRASERVIEW VILLAGE- NON PROFIT,2021/11/17 08:00:00+00,COMMERCIAL,,604 463 2902,Work,,
532393.0214,5450300.948,28,00458882,29,24076,112 AVE,V2W 0K2,THE LEDGER WIZ,FINANCIAL & INSTITUTIONAL SERVICES,BOOKKEEPING,BOOKKEEPING SERVICES (ACCOUNTING & ADMIN),2022/04/25 07:00:00+00,HOME BASED,THELEDGERWIZ.COM,778 989 6313,Work,,
529798.7695,5453536.4062,29,00433839,,12749,228 ST,V2X 3M1,MOVIETOPIA ONLINE,DIRECT SALES,E-COMMERCE,RETAIL ONLINE MOVIES,2021/12/29 08:00:00+00,HOME BASED,,604 466 1829,Work,,
525721.2113,5451925.9234,30,00435046,,11956,207 ST,V2X 1X7,MAPLE LEAF INDIAN CUISINE LTD,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,INDIAN RESTUARANT,2021/12/31 08:00:00+00,COMMERCIAL,,604 760 4242,Work,,
534082.8536,5452128.8311,32,00457771,,24910,SMITH AVE,V4R 2A8,WEBSTERS PLUMBING LTD,CONTRACTOR,PLUMBING & GAS,PLUMBING & GAS CONTRACTOR,2022/01/04 08:00:00+00,HOME BASED,,604 319 8977,Work,,
534317.3455,5453004.612,33,00434349,,25011,124 AVE,V4R 1T6,DR. ELIZABETH ZUBEK INC,PROFESSIONAL SERVICES,PHYSICIAN,MOBILE MEDICAL DOCTOR,2021/12/20 08:00:00+00,HOME BASED,,604 467 8404,Work,,
529069.0702,5451987.9071,34,00459971,300,22420,DEWDNEY TRUNK RD,V2X 8H7,THE LOWER MAINLAND PURPOSE SOCIETY FOR FAMILY AND YOUTH,COMMUNITY GROUPS,FAMILY & SOCIAL SERVICES,CHARITY - MAPLE RIDGE RENT BANK - ADMIN OFFICE/MEETING SPACE,2021/11/17 08:00:00+00,COMMERCIAL,,604 526 2522,Work,,
526212.2102,5451278.4057,35,00434002,,11663,210 ST,V2X 4Y2,CITADEL ROOF AND BUILDING MAINTENANCE,CONTRACTORS,ROOFING,ROOFING AND MAINTENANCE,2021/12/30 08:00:00+00,HOME BASED,,604 612 3601,Work,,
525564.7397,5451842.1141,36,00434362,9,20691,LOUGHEED HWY,V2X 2P9,DR. MICHAEL CHAYE,PROFESSIONAL SERVICES,CHIROPRACTOR,CHIROPRACTIC,2022/01/28 08:00:00+00,COMMERCIAL,,604 467 4737,Work,,
525496.2844,5452644.2467,37,00458976,,20622,123 AVE,V2X 4A9,INVENTIVE MINDS CHILDCARE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,IN HOME MULTI AGE DAYCARE,2022/01/04 08:00:00+00,HOME BASED,,778 929 9776,Work,,
527650.6024,5452016.0793,38,00436254,,21698,DEWDNEY TRUNK RD,V2X 3G7,MAPLE RIDGE ADVENTURE PRESCHOOL (SOCIETY),COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,CCFA LICENCED PRESCHOOL,2021/11/17 08:00:00+00,COMMERCIAL,,604 466 1797,Work,,
529351.3053,5452072.1525,39,00434397,105,22561,DEWDNEY TRUNK RD,V2X 3K1,DR. DAVID A. DIXON D P M,PROFESSIONAL SERVICES,PHYSICIAN,PODIATRIST,2022/05/04 07:00:00+00,COMMERCIAL,,604 477 0999,Work,,
527876.5873,5453074.465,40,00432603,,12517,GRACE ST,V2X 5N3,GUILFOYLE PLUMBING & HEATING,CONTRACTOR,PLUMBING,PLUMBING & HEATING RELATED SERVICES,2021/12/30 08:00:00+00,HOME BASED,,604 785 7879,Work,,
524595.4674,5451286.036,41,00435407,8,20110,STEWART CRES,V2X 0T4,CARLITO'S ALUMINUM AND IRON WORKS,CONTRACTORS,AWNINGS/DECKS/SOLARIUMS/RAILINGS,ALUMINUM AND IRON WORKS (Building 1 - Unit 8 130m2),2022/02/01 08:00:00+00,COMMERCIAL,,604 729 2203,Work,,
529648.1531,5451958.0582,42,00435844,100,22722,DEWDNEY TRUNK RD,V2X 3K2,FIESTA LATINA FITNESS,SPORTS & RECREATION SERVICES,ATHLETIC INSTRUCTOR,"ZUMBA FITNESS, DANCING & FITNESS",2022/02/10 08:00:00+00,COMMERCIAL,,778 868 6100,Work,,
532204.6364,5452128.2605,43,00434152,,23981,DEWDNEY TRUNK RD,V4R 1W1,SAVE-ON-FOODS LIMITED PARTNERSHIP,FOOD & BEVERAGE RETAIL,GROCERY/SUPERMARKET,GROCERY STORE,2021/12/08 08:00:00+00,COMMERCIAL,,604 463 2667,Work,,
529093.0033,5451512.2575,45,00435712,,22422,NORTH AVE,V2X 2L7,NORTH STAR APARTMENTS,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,26 RENTAL UNITS,2021/12/16 08:00:00+00,COMMERCIAL,,604 467 5271,Work,,
529710.6081,5451546.7535,47,00435929,,22760,LOUGHEED HWY,,MAPLE RIDGE MARTIAL ARTS INC,SPORTS & RECREATION CENTRE,FITNESS CENTRE/GYM,MARTIAL ART INSTRUCTIONS,2022/03/29 07:00:00+00,COMMERCIAL,,778 836 7473,Work,,
528712.0615,5452496.018,48,00458834,105,22255,122 AVE,V2X 3X8,GODDARD ACCOUNTING,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,ACCOUNTING SERVICES,2021/12/29 08:00:00+00,HOME BASED,,604 313 9347,Work,,
529682.35,5452673.7036,49,00436409,,12314,FLETCHER ST,V2X 6K9,JULIE'S WHIPPERSNAPPERS,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,DAYCARE,2021/12/06 08:00:00+00,HOME BASED,,604 785 9419,Work,,
532848.0893,5452610.2811,51,00436364,,12283,244 ST,V4R 1K9,CLOCKWORK SAFETY & EQUIPMENT TRAINING,EDUCATION & INSTRUCTION,TRADE/TECH SCHOOL,"SAFETY TRAINING, CONSULTING AND EDUCATION",2021/12/23 08:00:00+00,HOME BASED,,604 377 7345,Work,,
532246.1513,5450479.1387,52,00458471,102,11225,240 ST,,CMP NAILS & ESTHETICS,PERSONAL SERVICES,SPA SERVICES,ESTHETICS,2022/03/08 08:00:00+00,COMMERCIAL,,,Work,,
531090.4141,5454743.6326,53,00433083,,23462,133 AVE,V4R 2W7,BULLDOG BEAD & SUPPLIES LTD,CONTRACTORS,UNCLASSIFIED CONTRACTOR,DIRECT SHIPPING OF WHOLESALE CONSTRUCTION SUPPLIES,2021/12/08 08:00:00+00,HOME BASED,,778 808 9449,Work,,
525074.6521,5451937.9332,55,00434184,410,20395,LOUGHEED HWY,V2X 2P9,HSBC BANK CANADA,FINANCIAL & INSTITUTIONAL SERVICES,BANK/CREDIT UNION,BANK,2021/12/23 08:00:00+00,COMMERCIAL,,604 467 1131,Work,,
529069.0702,5451987.9071,56,00432501,300,22420,DEWDNEY TRUNK RD,V2X 8H7,RGN MANAGEMENT LIMITED PARTNERSHIP,BUSINESS SERVICES,OFFICE/BUSINESS SERVICE,"REGUS OFFICES - PACKAGED OFFICE SPACE, LEASE OFFICE SPACE TO SMALLER COMPANIES",2022/03/22 07:00:00+00,COMMERCIAL,,604 901 5080,Work,,
