Business_Category,Business_Name,Business_Description,Website_,Phone_,Address,Email,Y_LAT,X_LONG,Coordinates,OBJECTID,SHAPE__Area,SHAPE__Length
RETAIL COMMERCIAL,SHAPOUR'S TAILORING & ALTERATIONS,TAILORING & ALTERATIONS.,www.shapourstailoring.com,604-492-0733,"3262 ST JOHNS ST, PORT MOODY",shapourtailoringandalterations@gmail.com,,,,1,,
CONTRACTORS,CORNELIUS FLOORING,HARDWOOD FLOORS,,778-233-9007,"1130 CECILE DR, PORT MOODY",cuflooring1@gmail.com,,,,2,,
CONTRACTORS,ANYTIME DEMOLITION LTD.,DEMOLITION & ASBESTOS REMOVAL,,604-329-6812,"3026 ST GEORGE ST, PORT MOODY",anytime_demolition@hotmail.com,,,,3,,
SPORT/RECREATION/TRAVEL,REBORN FITNESS,INDEPENDANT PERSONAL TRAINER @ ULTIMATE FITNESS,www.re-bornfitness.com,604-512-2321,"3082 SPRING ST, PORT MOODY",berebornfitness@gmail.com,,,,4,,
FOOD & BEVERAGE,ROYAL CANADIAN LEGION BRANCH #119,RCL BRANCH #119 LEGION - SOCIAL VETERANS/COMMUNITY CLUB,,604-936-1312,"DNU - 2529 CLARKE ST, PORT MOODY",rclegion119@yahoo.ca,,,,5,,
INDUSTRIAL,TRI-SHORE YACHT SERVICES LTD,Boat Repair,,,"13 - 850 BARNET HWY, PORT MOODY",devin@trishoreyachts.com,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",6,394.78125,79.4832379218488
INDUSTRIAL,ALTAMAR MARINE INC.,Service & Repair of Boats,,604-937-7317,"850 BARNET HWY, PORT MOODY",,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",7,394.78125,79.4832379218488
INDUSTRIAL,PORT MOODY BOAT TOPS INC,MAKING OF CUSTOM BOAT TOPS AND COVERS AND REPAIRS,,604-401-7738,"850 BARNET HWY, PORT MOODY",lily@portmoodyboattops.com,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",8,394.78125,79.4832379218488
RETAIL COMMERCIAL,FLOAT 30,RESTAURANT,,,"3 - 850 BARNET HWY, PORT MOODY",linuschoo07@gmail.com,5459871.105417991,508526.52999243035,"508520.1286809122,5459877.665067829,0|508532.9313039485,5459877.665067829,0|508532.93130394816,5459864.545768154,0|508520.1286809133,5459864.545768155,0|508520.1286809122,5459877.665067829,0",9,394.78125,79.4832379218488
BUSINESS SERVICES,BEVERLEY A RICHARDS INTERIORS,INTERIOR DESIGN.,barinteriordesigns.com,604-469-0539,"2 - 3009 MURRAY ST, PORT MOODY",barinteriors@shaw.ca,5458426.203,511325.3985,"511301.079,5458402.215|511349.177,5458400.988|511349.718,5458451.212|511349.718,5458451.212|511349.675,5458451.212|511301.771,5458451.418|511301.079,5458402.215",10,5609.328125,299.643379169627
RETAIL COMMERCIAL,BEYOND THE GRAPE ON PREMISE WINEMAKING LTD.,Winemaking,www.beyondthegrape.com,604-461-8891,"3044 ST JOHNS ST, PORT MOODY",info@beyondthegrape.com,5458256.765000001,511391.96,"511402.411,5458236.813|511402.835,5458276.497|511381.508,5458276.717|511381.085,5458237.033|511402.411,5458236.813",11,1988.2265625,187.106409465826
ANIMALS,DIAMOND IN THE RUFF,Dog Grooming,,604-936-7981,"613 WATERLOO DR, PORT MOODY",whitecliff2@shaw.ca,5459397.23,509083.783,"509102.012,5459380.473|509093.084,5459389.557|509080.27,5459402.596|509069.076,5459413.987|509065.554,5459413.987|509065.554,5459380.473|509102.012,5459380.473",12,1574.3203125,184.68457016401
