X,Y,FID,Name,Type,Manager,Address,Phone
2629061.015,7459673.0511,1,Bioscript Pharmacy,Community Pharmacy,Andrea Walsh,585 Mapleton Road Suite 202,(506) 204-7581
2632351.6499,7455695.1557,2,Cameron Street Clinic,Community Pharmacy,Kimberley Olscamp,107 Cameron Street P.O. Box 792,(506) 858-0287
2633033.8002,7460242.0918,3,Costco Pharmacy,Community Pharmacy,Colin Enman,"140 Granite Drive, Moncton NB",Phone: (506) 317-0433
2633008.2137,7455664.6274,4,CSC Atlantic Regional Pharmacy,Institutional Pharmacy,Charline Cormier,"859 Main Street, Moncton NB",(506) 851-6386
2631636.7362,7455564.4235,5,Ford's Family Pharmacy & Wellness Centre,Community Pharmacy,Peter R. Ford,"544 St. George Blvd, Moncton NB",(506) 853-0830
2625956.0022,7456382.1265,6,Healthconnect Pharmacy,Community Pharmacy,Suellen Dunn,"10 Desbrisay Avenue, Unit 2, Moncton NB",(506) 867-9854
2630939.2082,7457598.5201,7,Innomar Pharmacy Inc.,Community Pharmacy,Crystal Parker,"100 Arden Street, Suite 309, Moncton NB",(506) 860-3428
2632208.8653,7455773.0848,8,Jean Coutu Pharmacy,Community Pharmacy,Monte Steeves,"1789 Mountain Road North, Moncton NB",(506) 387-9001
2633653.2498,7459513.959,9,Lawton's Drugs,Community Pharmacy,Stephanie Estey,"565 Elmwood Drive, Moncton NB",(506) 386-3408
2630914.9189,7456853.5796,10,Lawtons Drugs # 141,Community Pharmacy,Stephanie Estey,"800 Mountain Road Suite 101, Moncton NB",(506) 386-3408
2629634.94,7457739.0237,11,Lawtons Drugs # 147,Community Pharmacy,Rebecca Auffrey,"40 Mapleton Road, Moncton NB",(506) 857-9919
2628880.5339,7458941.1677,12,Loblaw Pharmacy # 326,Community Pharmacy,James Swetnam,"89 Trinity Drive, Moncton NB",(506) 383-4955
2633879.1431,7456314.7942,13,"
Loblaw Pharmacy",Community Pharmacy,,"165 Main Street, Moncton NB",(506) 852-2069
2629103.0024,7459197.4119,14,Mapleton Pharmacy,Community Pharmacy,Bradley Steeves,"500 Mapleton Road Suite 120, Moncton NB",(506) 855-2210
2637011.0111,7461068.6992,15,McKesson Specialty Prescription Services,Community Pharmacy,Kristian Jensen-Ouellette,"290 Frenette Ave, Moncton NB",(506) 777-1240
2631730.2125,7454678.7848,16,Medicine Shoppe Pharmacy # 294,Community Pharmacy,Georgina Hubbard,"1685 Main Street, Moncton NB",(506) 854-2010
2632431.0687,7456756.0073,17,Pharmacie - Hopital Dr. Georges-L. Dumont,Institutional Pharmacy,Melanie Cote,"330 Avenue Uiversite, Moncton NB",(506) 862-4200
2630986.5217,7457474.1403,18,Pharmacy - The Moncton Hospital,Institutional Pharmacy,Natalie Branch,"135 Macbeath Avenue, Moncton NB",
2631955.4214,7456507.3381,19,Phoenix Center ,Community Pharmacy,,"353 High Street, Moncton NB",(506) 854-4673
2632365.185,7455031.6833,20,Shoppers Drug Mart # 182,Community Pharmacy,Nicholas Steylen,"45 Vaughan Harvey Blvd. , Moncton NB",(506) 857-8702
2632480.4359,7455868.4298,21,Shoppers Drug Mart # 588,Community Pharmacy,Trevor Bourque,"350 St. George Street , Moncton NB",(506) 857-6330
2628384.5802,7458796.0257,22,Shoppers Drug Mart # 593,Community Pharmacy,Cynthia Jayne Gillam," 1633 Mountain Road, Moncton NB",(506) 858-0055
2630557.9121,7456973.3607,23,Shoppers Drug Mart # 184,Community Pharmacy,Nicholas Steylen," 860 Mountain Road PO Box 25066, Moncton NB",(506) 857-9700
2633379.7436,7458466.5206,24,Shoppers Drug Mart # 590 ,Community Pharmacy,Deirdre Kyle,"320 Elmwood Drive , Moncton NB",(506) 383-8303
2631204.709,7456923.0174,25,Shoppers Drug Mart # 2011,Community Pharmacy,Timothy Dunn,"681 Mountain Road , Moncton NB",(506) 382-8615
2633845.144,7459510.9624,26,Sobeys Elmwood #783,Community Pharmacy,Shannon MacKinnon,"77 Filles De Jesus Avenue , Moncton NB",(506) 855-6925
2628926.7966,7457932.0925,27,,Community Pharmacy, Cory Morris," 1380 Mountain Road, Moncton NB",(506) 854-7727
2632417.2728,7455244.3828,28,Sobeys Pharmacy ,Community Pharmacy,Kassandra Campbell,"55 Vaughan Harvey Boulevard, Moncton NB",(506) 855-0253
2632483.399,7455917.4184,29,Staples Drugs,Community Pharmacy,John Staples,"321 St George Street , Moncton NB",(506) 857-4150
2629509.7589,7457888.0172,30,The Medicine Shoppe # 174 ,Community Pharmacy,Alida Rautenbach,"90 Mapleton Road , Moncton NB",(506) 869-5221
2629832.5958,7454961.6477,31,The Medicine Shoppe # 219,Community Pharmacy,Natasha King,"960 St. George Blvd , Moncton NB",(506) 852-8082
2634355.5446,7457347.8473,32,The Medicine Shoppe Pharmacy,Community Pharmacy,Tammy Davis-Gallant,"120 Shediac Road , Moncton NB",(506) 858-6161
2629151.0849,7458463.5608,33,Wal-Mart Pharmacy,Community Pharmacy,Nicole Lidstone,"25 Plaza Boulevard, Moncton NB",(506) 853-7664
2635916.47,7456137.889,34,Dieppe Guardian 556615,Community Pharmacy,Nicole Barkhouse,"185 Acadie Avenue, Dieppe NB",(506) 384-6343
2638657.1846,7457498.9163,35,Express Scripts Canada Pharmacy,Community Pharmacy,Alan Strashok," 1040 Champlain Street, Dieppe NB",(888) 204-4876
2636679.4791,7455376.8369,36,Familiprix Dieppe ,Community Pharmacy,Nicole Williams,"318 rue Amirault , Dieppe NB",506) 830-2555
2639186.5631,7456853.6538,37,Jean Coutu #337,Community Pharmacy,Erin Kierstead,"600 Blvd Dieppe , Dieppe NB",(506) 854-7474
2635105.1631,7456462.9707,38,Jean Coutu Pharmacy,Community Pharmacy,Dennis Abud,"123 Champlain Street , Dieppe NB",(506) 859-1990
2634572.6435,7456611.8486,39,Shoppers Drug Mart # 181,Community Pharmacy,Keith Bernard,"477 Paul Street , Dieppe NB",(506) 857-0820
2634654.3363,7456215.2745,40,Shoppers Drug Mart 2005,Community Pharmacy,Sylvie Després,"18 Champlain St , Dieppe NB",(506) 389-1680
2634307.7353,7456495.6683,41,Sobeys Pharmacy #602 ,Community Pharmacy,Yackoub Khalil,"477 Paul Street, Dieppe NB",(506) 857-8019
2634466.9349,7456710.5878,42,Wal-Mart Pharmacy,Community Pharmacy,Joshua Sharpe,"477 Paul Street, Dieppe NB",(506) 855-6011
2631384.6492,7452931.0582,43,Ford's Pharmacy/Jean Coutu Pharmacy,Community Pharmacy,David Wadden,"438 Coverdale Road, Dieppe NB",(506) 853-0825
2631426.7001,7453072.3246,44,Loblaw Pharmacy # 361,Community Pharmacy,Jenna MacLellan,"425 Coverdale Road, Dieppe NB",(506) 387-5085
2632324.1499,7451639.5805,45,Riverview Guardian Pharmacy,Community Pharmacy,Jonathan Walsh,"645 Pinewood Road, Dieppe NB",(506) 386-2111
2631024.6326,7452796.9624,46,Shoppers Drug Mart # 185,Community Pharmacy,Stephen Kelloway,"500 Coverdale Road, Dieppe NB",(506) 857-6380
